mode,section,cluster,count,section_fraction
independent,Mouse_Spleen1,0,142,0.05529595015576324
independent,Mouse_Spleen1,1,300,0.11682242990654206
independent,Mouse_Spleen1,2,196,0.0763239875389408
independent,Mouse_Spleen1,3,184,0.07165109034267912
independent,Mouse_Spleen1,4,273,0.10630841121495327
independent,Mouse_Spleen1,5,262,0.10202492211838006
independent,Mouse_Spleen1,6,209,0.08138629283489096
independent,Mouse_Spleen1,7,230,0.0895638629283489
independent,Mouse_Spleen1,8,190,0.07398753894080996
independent,Mouse_Spleen1,9,212,0.08255451713395638
independent,Mouse_Spleen1,10,175,0.06814641744548286
independent,Mouse_Spleen1,11,195,0.07593457943925233
independent,Mouse_Spleen2,0,200,0.07225433526011561
independent,Mouse_Spleen2,1,213,0.07695086705202313
independent,Mouse_Spleen2,2,215,0.07767341040462428
independent,Mouse_Spleen2,3,198,0.07153179190751445
independent,Mouse_Spleen2,4,274,0.09898843930635838
independent,Mouse_Spleen2,5,264,0.0953757225433526
independent,Mouse_Spleen2,6,274,0.09898843930635838
independent,Mouse_Spleen2,7,157,0.056719653179190754
independent,Mouse_Spleen2,8,252,0.09104046242774566
independent,Mouse_Spleen2,9,212,0.07658959537572255
independent,Mouse_Spleen2,10,303,0.10946531791907514
independent,Mouse_Spleen2,11,206,0.07442196531791907
