mode,section,cluster,count,section_fraction
joint,Mouse_Spleen1,0,215,0.0837227414330218
joint,Mouse_Spleen1,1,155,0.060358255451713395
joint,Mouse_Spleen1,2,236,0.09190031152647975
joint,Mouse_Spleen1,3,227,0.08839563862928349
joint,Mouse_Spleen1,4,319,0.12422118380062305
joint,Mouse_Spleen1,5,181,0.0704828660436137
joint,Mouse_Spleen1,6,209,0.08138629283489096
joint,Mouse_Spleen1,7,240,0.09345794392523364
joint,Mouse_Spleen1,8,198,0.07710280373831775
joint,Mouse_Spleen1,9,197,0.07671339563862928
joint,Mouse_Spleen1,10,196,0.0763239875389408
joint,Mouse_Spleen1,11,195,0.07593457943925233
joint,Mouse_Spleen2,0,221,0.07984104046242775
joint,Mouse_Spleen2,1,176,0.06358381502890173
joint,Mouse_Spleen2,2,237,0.085621387283237
joint,Mouse_Spleen2,3,281,0.10151734104046242
joint,Mouse_Spleen2,4,367,0.13258670520231214
joint,Mouse_Spleen2,5,195,0.07044797687861272
joint,Mouse_Spleen2,6,214,0.0773121387283237
joint,Mouse_Spleen2,7,259,0.09356936416184972
joint,Mouse_Spleen2,8,224,0.08092485549132948
joint,Mouse_Spleen2,9,207,0.07478323699421965
joint,Mouse_Spleen2,10,166,0.05997109826589595
joint,Mouse_Spleen2,11,221,0.07984104046242775
