row_index,selected_spot_index,cluster,x,y
0,0,3,59.0,19.0
1,1,3,14.0,94.0
2,2,4,43.0,9.0
3,3,1,47.0,13.0
4,4,2,62.0,0.0
5,5,3,42.0,28.0
6,6,3,52.0,42.0
7,7,1,37.0,19.0
8,8,3,58.0,4.0
9,9,1,35.0,79.0
10,10,4,14.0,118.0
11,11,4,8.0,110.0
12,12,4,23.0,113.0
13,13,0,45.0,67.0
14,14,1,64.0,12.0
15,15,3,45.0,19.0
16,16,0,64.0,2.0
17,17,3,66.0,22.0
18,18,4,62.0,54.0
19,19,0,55.0,55.0
20,20,2,24.0,62.0
21,21,4,10.0,106.0
22,22,1,51.0,27.0
23,23,4,37.0,15.0
24,24,2,44.0,94.0
25,25,3,42.0,96.0
26,26,0,14.0,88.0
27,27,4,31.0,115.0
28,28,0,47.0,69.0
29,29,3,36.0,106.0
30,30,4,53.0,79.0
31,31,4,57.0,5.0
32,32,2,44.0,56.0
33,33,3,71.0,3.0
34,34,3,21.0,111.0
35,35,2,13.0,69.0
36,36,0,49.0,17.0
37,37,0,33.0,51.0
38,38,1,34.0,58.0
39,39,2,14.0,86.0
40,40,1,26.0,94.0
41,41,4,35.0,115.0
42,42,2,55.0,31.0
43,43,4,15.0,119.0
44,44,4,6.0,90.0
45,45,2,47.0,33.0
46,46,3,28.0,42.0
47,47,2,61.0,37.0
48,48,2,51.0,93.0
49,49,3,45.0,21.0
50,50,2,59.0,31.0
51,51,3,15.0,67.0
52,52,4,29.0,31.0
53,53,1,27.0,99.0
54,54,4,17.0,113.0
55,55,0,67.0,23.0
56,56,4,64.0,52.0
57,57,4,36.0,24.0
58,58,2,6.0,92.0
59,59,2,65.0,11.0
60,60,0,56.0,14.0
61,61,4,67.0,43.0
62,62,3,40.0,96.0
63,63,0,24.0,70.0
64,64,3,46.0,92.0
65,65,4,12.0,64.0
66,66,3,54.0,68.0
67,67,0,16.0,92.0
68,68,4,58.0,8.0
69,69,3,53.0,73.0
70,70,1,15.0,53.0
71,71,0,24.0,76.0
72,72,3,20.0,104.0
73,73,1,23.0,65.0
74,74,3,50.0,92.0
75,75,3,47.0,39.0
76,76,3,48.0,42.0
77,77,4,24.0,40.0
78,78,3,9.0,83.0
79,79,1,36.0,74.0
80,80,4,75.0,127.0
81,81,2,55.0,61.0
82,82,1,38.0,44.0
83,83,0,12.0,92.0
84,84,1,35.0,93.0
85,85,2,53.0,41.0
86,86,4,9.0,111.0
87,87,0,16.0,66.0
88,88,2,20.0,66.0
89,89,4,3.0,89.0
90,90,4,29.0,27.0
91,91,0,75.0,7.0
92,92,0,62.0,6.0
93,93,3,60.0,54.0
94,94,3,36.0,68.0
95,95,1,35.0,77.0
96,96,2,39.0,29.0
97,97,0,36.0,80.0
98,98,0,59.0,39.0
99,99,4,59.0,73.0
100,100,3,53.0,69.0
101,101,4,74.0,30.0
102,102,3,65.0,23.0
103,103,1,9.0,97.0
104,104,0,57.0,35.0
105,105,3,50.0,68.0
106,106,4,77.0,3.0
107,107,1,35.0,73.0
108,108,4,57.0,81.0
