gene_symbol_original,count,make_unique_names
4930594M22Rik,2,ENSMUSG00000075463;ENSMUSG00000085423
Aldoa,2,ENSMUSG00000030695;ENSMUSG00000114515
Arhgef4,2,ENSMUSG00000037509;ENSMUSG00000118272
Btbd35f1,2,ENSMUSG00000118459;ENSMUSG00000118409
C730027H18Rik,2,ENSMUSG00000112366;ENSMUSG00000112189
Ccl19,2,ENSMUSG00000071005;ENSMUSG00000094661
Ccl21a,2,ENSMUSG00000094686;ENSMUSG00000095320
Ccl21b,2,ENSMUSG00000095675;ENSMUSG00000094121
Ccl21c,2,ENSMUSG00000096271;ENSMUSG00000096873
Ccl27a,3,ENSMUSG00000073888;ENSMUSG00000095247;ENSMUSG00000093828
Ddit3,2,ENSMUSG00000025408;ENSMUSG00000116429
Dpep2,2,ENSMUSG00000053687;ENSMUSG00000115067
Fam205a4,2,ENSMUSG00000078746;ENSMUSG00000079774
Fam220a,2,ENSMUSG00000118332;ENSMUSG00000083012
Fam90a1b,2,ENSMUSG00000118554;ENSMUSG00000043549
Gm16364,2,ENSMUSG00000087014;ENSMUSG00000086915
Gm16499,2,ENSMUSG00000108175;ENSMUSG00000108255
Gm16701,2,ENSMUSG00000102548;ENSMUSG00000097823
Gm28710,2,ENSMUSG00000109903;ENSMUSG00000099854
Gm3286,2,ENSMUSG00000079423;ENSMUSG00000094337
Gm35438,2,ENSMUSG00000118209;ENSMUSG00000118020
Gm35558,2,ENSMUSG00000113702;ENSMUSG00000113781
Gm38619,2,ENSMUSG00000116197;ENSMUSG00000115968
Gm41392,2,ENSMUSG00000116253;ENSMUSG00000116160
Gm5089,2,ENSMUSG00000115263;ENSMUSG00000064052
Ighv1-13,2,ENSMUSG00000090765;ENSMUSG00000102587
Ighv5-8,2,ENSMUSG00000103262;ENSMUSG00000090395
Il11ra2,3,ENSMUSG00000078735;ENSMUSG00000095456;ENSMUSG00000095623
Jakmip1,2,ENSMUSG00000063646;ENSMUSG00000113373
Nnt,2,ENSMUSG00000025453;ENSMUSG00000116207
Olfr290,2,ENSMUSG00000070459;ENSMUSG00000116179
Pakap,2,ENSMUSG00000090053;ENSMUSG00000038729
Pcdha11,2,ENSMUSG00000007440;ENSMUSG00000102206
Ptp4a1,2,ENSMUSG00000026064;ENSMUSG00000117310
Sept2,2,ENSMUSG00000026276;ENSMUSG00000116048
Snhg4,2,ENSMUSG00000117869;ENSMUSG00000117694
St6galnac2,2,ENSMUSG00000057286;ENSMUSG00000110170
Zc3h11a,2,ENSMUSG00000102976;ENSMUSG00000116275
