mode,scope,k,n_obs,raw_vs_standardized_ari,raw_vs_standardized_nmi
joint,combined,2,5336,0.9452867571457192,0.9008541100735663
joint,combined,3,5336,0.950335746265723,0.9044985837095111
joint,combined,4,5336,0.8985748045961567,0.876791450576845
joint,combined,5,5336,0.889257088674984,0.8775855910483058
joint,combined,6,5336,0.8375840293612684,0.8315816746724599
joint,combined,7,5336,0.8550329817747043,0.8415612192278492
joint,combined,8,5336,0.8046049177974592,0.8012661181972502
joint,combined,9,5336,0.6395375469611709,0.6798022268777738
joint,combined,10,5336,0.6258280119102677,0.6721313849341433
joint,combined,11,5336,0.6866685677409581,0.6938133169975171
joint,combined,12,5336,0.5921634406280568,0.6434405517468571
independent,Mouse_Spleen1,2,2568,0.9706124826668163,0.9376774983278999
independent,Mouse_Spleen2,2,2768,0.9542752712819638,0.9101458555522288
independent,Mouse_Spleen1,3,2568,0.971165718180163,0.9458531503780072
independent,Mouse_Spleen2,3,2768,0.9455591872895006,0.8936479296371483
independent,Mouse_Spleen1,4,2568,0.8932122649457872,0.8628683623876788
independent,Mouse_Spleen2,4,2768,0.8988834281248284,0.8854006405335251
independent,Mouse_Spleen1,5,2568,0.90385965088438,0.8869784405260002
independent,Mouse_Spleen2,5,2768,0.8906834919559125,0.8786004066444003
independent,Mouse_Spleen1,6,2568,0.7789423441408047,0.7915394347474874
independent,Mouse_Spleen2,6,2768,0.7988375466606166,0.8004183224567532
independent,Mouse_Spleen1,7,2568,0.7860723288210586,0.7852778806445331
independent,Mouse_Spleen2,7,2768,0.8132638677605275,0.8006387445927398
independent,Mouse_Spleen1,8,2568,0.7305645812845276,0.7499386499031707
independent,Mouse_Spleen2,8,2768,0.787372684951237,0.7883355742846381
independent,Mouse_Spleen1,9,2568,0.6839305735195611,0.7076215998958815
independent,Mouse_Spleen2,9,2768,0.6892303707737865,0.717383343627609
independent,Mouse_Spleen1,10,2568,0.6314884007339543,0.6797260651785683
independent,Mouse_Spleen2,10,2768,0.6709843725547634,0.6871860775994407
independent,Mouse_Spleen1,11,2568,0.5234700578166844,0.6052627686298886
independent,Mouse_Spleen2,11,2768,0.6184187470631852,0.6596772882370345
independent,Mouse_Spleen1,12,2568,0.4941714671419,0.5748415443750929
independent,Mouse_Spleen2,12,2768,0.5422615829638276,0.6162567395354098
