section,cluster,count,fraction
Mouse_Spleen1,0,293,0.11409657320872274
Mouse_Spleen1,1,333,0.12967289719626168
Mouse_Spleen1,2,343,0.13356697819314642
Mouse_Spleen1,3,332,0.1292834890965732
Mouse_Spleen1,4,305,0.11876947040498442
Mouse_Spleen1,5,428,0.16666666666666666
Mouse_Spleen1,6,300,0.11682242990654206
Mouse_Spleen1,7,234,0.0911214953271028
Mouse_Spleen2,0,274,0.09898843930635838
Mouse_Spleen2,1,279,0.10079479768786127
Mouse_Spleen2,2,402,0.14523121387283236
Mouse_Spleen2,3,356,0.12861271676300579
Mouse_Spleen2,4,385,0.13908959537572255
Mouse_Spleen2,5,314,0.11343930635838151
Mouse_Spleen2,6,332,0.1199421965317919
Mouse_Spleen2,7,426,0.15390173410404626
