section,cluster,count,fraction
Mouse_Spleen1,0,341,0.13278816199376947
Mouse_Spleen1,1,229,0.08917445482866043
Mouse_Spleen1,2,297,0.11565420560747663
Mouse_Spleen1,3,408,0.1588785046728972
Mouse_Spleen1,4,271,0.10552959501557632
Mouse_Spleen1,5,366,0.1425233644859813
Mouse_Spleen1,6,335,0.13045171339563863
Mouse_Spleen1,7,321,0.125
Mouse_Spleen2,0,349,0.12608381502890173
Mouse_Spleen2,1,272,0.09826589595375723
Mouse_Spleen2,2,324,0.11705202312138728
Mouse_Spleen2,3,437,0.1578757225433526
Mouse_Spleen2,4,278,0.10043352601156069
Mouse_Spleen2,5,373,0.1347543352601156
Mouse_Spleen2,6,392,0.1416184971098266
Mouse_Spleen2,7,343,0.12391618497109827
