mode,k,section,plot_n_obs,point_size,dpi,figure_path,figure_sha256,labels_path,labels_sha256
joint,5,Mouse_Spleen1,2568,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k5/spatial_Mouse_Spleen1.png,893ed74b12b092a827396b9e9518e2f1fd128e947b96b906a50351da0de95569,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_Mouse_Spleen1.csv,4add0183bb4336a86da29ffc218825ae8653db61eafb5656d114be924220c8e9
joint,5,Mouse_Spleen2,2768,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k5/spatial_Mouse_Spleen2.png,95ac8ff5855b3bd70d9656a064a6430381e494c20c0308e4f2258bca2e651593,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_Mouse_Spleen2.csv,e053c2f971ead237a1e23758831db1bca37e19b8dbf12ebfdcee43c6e6a57873
joint,8,Mouse_Spleen1,2568,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k8/spatial_Mouse_Spleen1.png,32dfe81e5a9fb287197f0811540971f0132e09fa7b5ad2dccd51bdba92bab1e0,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_Mouse_Spleen1.csv,d7b78d4317f965fc09251231c3b6a6639b756f0920b1f3a0cb6402974ebc69af
joint,8,Mouse_Spleen2,2768,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k8/spatial_Mouse_Spleen2.png,f714a3d405f39b97ded1b0aa8c25d2a65c054c1e056ee567e9f62743b36d27b6,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_Mouse_Spleen2.csv,dd698458a831cea0ffffbea57b9b5e0432029008b453b0db25d0e4fd13a3b0c2
joint,10,Mouse_Spleen1,2568,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k10/spatial_Mouse_Spleen1.png,56637b92ba660cc2f8c5a155a50a25fb7c99d956fe5316eb39fd0391ec9ec2e5,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_Mouse_Spleen1.csv,f82927af9e09ef9c812074168f771267f5e1ad578c445ca9540345d0d5688923
joint,10,Mouse_Spleen2,2768,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k10/spatial_Mouse_Spleen2.png,51983eaa4bc788553548b6e971b3c69d337d28ef79285dc8a417bf512d97892f,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_Mouse_Spleen2.csv,7b56301e14674ee18af4fb1547057c3c615edff7667d82deff2ccf1bc58db2bb
joint,12,Mouse_Spleen1,2568,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k12/spatial_Mouse_Spleen1.png,4b49c62732167d76279fa8eebc489d19787d644e32cb37eed1256dfbebb20de8,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_Mouse_Spleen1.csv,36a6fb99c983fb187c80db7b85d67cb52bf4621811a24ed8715f9fc7983a57e3
joint,12,Mouse_Spleen2,2768,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k12/spatial_Mouse_Spleen2.png,96f01d7489fe45afd8afaae171f4af9246ee5f19e23f46088f2bbe3bf237445c,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_Mouse_Spleen2.csv,79109f15e5ed1a9771068afb7dd7a1f4ee240e6888569aa9ff107a7e7c2f6e4b
independent,5,Mouse_Spleen1,2568,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k5/spatial_Mouse_Spleen1.png,cb0e67109a4c097be9a0a3838411f4827b5bae819a86ea6f43fa43a57172eed2,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_Mouse_Spleen1.csv,d99153d035a378ac58489a7d0b1c94df59c696201bec648e0718309150d03235
independent,5,Mouse_Spleen2,2768,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k5/spatial_Mouse_Spleen2.png,edc96e63a88014857e032c5b6f62fa80bd60d9c39d5e96fac9a8bb388fa94680,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_Mouse_Spleen2.csv,3de38f27a42d00f8b06747b0885d4a9d0bd957b27b9881d6cb54449a106877b0
