mode,k,section,n_obs,spatial_neighbor_k,neighbor_same_cluster_fraction,labels_path
joint,2,Mouse_Spleen1,2568,6,0.7945872274143302,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_Mouse_Spleen1.csv
joint,2,Mouse_Spleen2,2768,6,0.8040703275529865,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_Mouse_Spleen2.csv
joint,3,Mouse_Spleen1,2568,6,0.7077492211838006,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_Mouse_Spleen1.csv
joint,3,Mouse_Spleen2,2768,6,0.7069484585741811,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_Mouse_Spleen2.csv
joint,4,Mouse_Spleen1,2568,6,0.5910565939771547,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_Mouse_Spleen1.csv
joint,4,Mouse_Spleen2,2768,6,0.6078395953757225,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_Mouse_Spleen2.csv
joint,5,Mouse_Spleen1,2568,6,0.5255711318795431,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_Mouse_Spleen1.csv
joint,5,Mouse_Spleen2,2768,6,0.5234826589595376,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_Mouse_Spleen2.csv
joint,6,Mouse_Spleen1,2568,6,0.4497663551401869,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_Mouse_Spleen1.csv
joint,6,Mouse_Spleen2,2768,6,0.460621387283237,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_Mouse_Spleen2.csv
joint,7,Mouse_Spleen1,2568,6,0.3976505711318795,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_Mouse_Spleen1.csv
joint,7,Mouse_Spleen2,2768,6,0.4098025048169557,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_Mouse_Spleen2.csv
joint,8,Mouse_Spleen1,2568,6,0.3718847352024922,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_Mouse_Spleen1.csv
joint,8,Mouse_Spleen2,2768,6,0.37524084778420036,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_Mouse_Spleen2.csv
joint,9,Mouse_Spleen1,2568,6,0.3374221183800623,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_Mouse_Spleen1.csv
joint,9,Mouse_Spleen2,2768,6,0.3467605973025048,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_Mouse_Spleen2.csv
joint,10,Mouse_Spleen1,2568,6,0.31632917964693663,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_Mouse_Spleen1.csv
joint,10,Mouse_Spleen2,2768,6,0.3227962427745665,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_Mouse_Spleen2.csv
joint,11,Mouse_Spleen1,2568,6,0.29413291796469365,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_Mouse_Spleen1.csv
joint,11,Mouse_Spleen2,2768,6,0.3064185934489403,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_Mouse_Spleen2.csv
joint,12,Mouse_Spleen1,2568,6,0.27050882658359293,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_Mouse_Spleen1.csv
joint,12,Mouse_Spleen2,2768,6,0.28769267822736033,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_Mouse_Spleen2.csv
