mode,k,mean_spatial_neighbor_agreement
independent,2,0.7987360368309533
independent,3,0.7074360627914933
independent,4,0.6059268813138134
independent,5,0.5204642772465621
independent,6,0.45545347661150426
independent,7,0.4045777585699794
independent,8,0.37418648221177797
independent,9,0.33824295163836515
independent,10,0.31426931209070885
independent,11,0.2961997258386905
independent,12,0.2876248694469955
joint,2,0.7993287774836584
joint,3,0.7073488398789909
joint,4,0.5994480946764387
joint,5,0.5245268954195403
joint,6,0.45519387121171195
joint,7,0.4037265379744176
joint,8,0.37356279149334626
joint,9,0.3420913578412835
joint,10,0.3195627112107515
joint,11,0.30027575570681697
joint,12,0.2791007524054766
