section,cluster,count,fraction
Mouse_Spleen1,0,215,0.0837227414330218
Mouse_Spleen1,1,311,0.12110591900311526
Mouse_Spleen1,2,211,0.08216510903426791
Mouse_Spleen1,3,283,0.110202492211838
Mouse_Spleen1,4,196,0.0763239875389408
Mouse_Spleen1,5,268,0.1043613707165109
Mouse_Spleen1,6,184,0.07165109034267912
Mouse_Spleen1,7,124,0.048286604361370715
Mouse_Spleen1,8,271,0.10552959501557632
Mouse_Spleen1,9,140,0.05451713395638629
Mouse_Spleen1,10,182,0.07087227414330217
Mouse_Spleen1,11,183,0.07126168224299065
Mouse_Spleen2,0,264,0.0953757225433526
Mouse_Spleen2,1,210,0.07586705202312138
Mouse_Spleen2,2,146,0.052745664739884394
Mouse_Spleen2,3,195,0.07044797687861272
Mouse_Spleen2,4,250,0.09031791907514451
Mouse_Spleen2,5,186,0.06719653179190752
Mouse_Spleen2,6,240,0.08670520231213873
Mouse_Spleen2,7,206,0.07442196531791907
Mouse_Spleen2,8,361,0.13041907514450868
Mouse_Spleen2,9,215,0.07767341040462428
Mouse_Spleen2,10,248,0.08959537572254335
Mouse_Spleen2,11,247,0.08923410404624277
