section,cluster,count,fraction
Mouse_Spleen1,0,306,0.1191588785046729
Mouse_Spleen1,1,279,0.10864485981308411
Mouse_Spleen1,2,337,0.13123052959501558
Mouse_Spleen1,3,378,0.14719626168224298
Mouse_Spleen1,4,358,0.1394080996884735
Mouse_Spleen1,5,273,0.10630841121495327
Mouse_Spleen1,6,416,0.16199376947040497
Mouse_Spleen1,7,221,0.08605919003115264
Mouse_Spleen2,0,336,0.12138728323699421
Mouse_Spleen2,1,316,0.11416184971098266
Mouse_Spleen2,2,391,0.141257225433526
Mouse_Spleen2,3,388,0.14017341040462428
Mouse_Spleen2,4,362,0.13078034682080925
Mouse_Spleen2,5,270,0.09754335260115607
Mouse_Spleen2,6,446,0.1611271676300578
Mouse_Spleen2,7,259,0.09356936416184972
