mode,scope,k,n_obs,embedding_dim,cluster_asw,cluster_asw_scaled,calinski_harabasz,davies_bouldin,section_ari,section_nmi,section_asw,metric_space,labels_path
joint,combined,2,5336,128,0.0944862961769104,0.5472431480884552,571.9147204818744,3.0288253016289914,3.553392929729503e-05,0.0001981403092917036,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_all.csv
joint,combined,3,5336,128,0.06418056786060333,0.5320902839303017,410.0365397787779,2.8640668616421183,-5.858828497333202e-05,0.0003644485569038901,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_all.csv
joint,combined,4,5336,128,0.062472227960824966,0.5312361139804125,349.20802257186523,3.324557200987871,-7.384770770732975e-05,0.00029490287840316796,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_all.csv
joint,combined,5,5336,128,0.054857827723026276,0.5274289138615131,300.01783388446285,3.4821367683426643,-0.00023421195854674256,0.0002766354929004942,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_all.csv
joint,combined,6,5336,128,0.05641806870698929,0.5282090343534946,263.34992209387997,3.5786618135301667,-6.685667489214893e-05,0.0004750671927933431,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_all.csv
joint,combined,7,5336,128,0.05466393008828163,0.5273319650441408,235.5729898229029,3.5347944799643507,-5.0924572114987854e-05,0.00043432691350750316,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_all.csv
joint,combined,8,5336,128,0.05294233560562134,0.5264711678028107,213.32118098017207,3.6439214087410416,-0.00015048302889325208,0.0003019642068532612,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_all.csv
joint,combined,9,5336,128,0.05297509953379631,0.5264875497668982,195.18603852361477,3.6084637727313384,-9.966843602537205e-05,0.0003810926682511615,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_all.csv
joint,combined,10,5336,128,0.05064019188284874,0.5253200959414244,180.04974797873754,3.6595598130097136,-0.00013084224903090076,0.00031006519665780126,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_all.csv
joint,combined,11,5336,128,0.0515795461833477,0.5257897730916739,167.44157909521664,3.5967524587207325,-0.00011149595629384256,0.00034317987312920825,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_all.csv
joint,combined,12,5336,128,0.046490613371133804,0.5232453066855669,156.20633596929588,3.634805873036892,-0.00013300404048373818,0.0003867515666458449,7.857273158151656e-05,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_all.csv
