mode,k,section,plot_n_obs,point_size,dpi,figure_path,figure_sha256,labels_path,labels_sha256
joint,5,Mouse_Spleen1,2568,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k5/spatial_Mouse_Spleen1.png,7f3840f929b97f4045c184ce29f54345d263bb0b5b437fee841cf4cf72b24683,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_Mouse_Spleen1.csv,74d1c42890de379589a813e2cde3a8b7bf3a3b95ff6e2da176b2e3c958daaafc
joint,5,Mouse_Spleen2,2768,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k5/spatial_Mouse_Spleen2.png,c6b574d8dce7c086457e6ec2d9a653ec213a9a68b666b8a10802bfe39a2e37a1,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_Mouse_Spleen2.csv,8e5e2e4b8b6e1702bfc7f0ce49519f567d815b199f3786de0c04e0063dc74b3a
joint,8,Mouse_Spleen1,2568,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k8/spatial_Mouse_Spleen1.png,61eee05b366d1a0c605a9ddc996c99b4ce9bbb952831f5fdcddcfd2f25aa08d7,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_Mouse_Spleen1.csv,d9d8643b6f63aee7edc02b771bdaf754794dc193d4973a66537740c72266271a
joint,8,Mouse_Spleen2,2768,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k8/spatial_Mouse_Spleen2.png,65d858ef74e89eb4439709e22a7893c9406af9816d7a3aa330dcc360ce5f7af9,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_Mouse_Spleen2.csv,b18f0cc4154e5f29a7f1d73be3a2311a87108c21cd6d98109943c6fc308260b9
joint,10,Mouse_Spleen1,2568,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k10/spatial_Mouse_Spleen1.png,aa76878bd7910d8c1336570c389c94bb4fec0aea10605126a07a0a341683c7fc,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_Mouse_Spleen1.csv,383e63af63cdc6d6764bd028b60c0d0176db9fada470191bbe34923e8d0a31b4
joint,10,Mouse_Spleen2,2768,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k10/spatial_Mouse_Spleen2.png,d227d9609658266f81c631387a4c90325f1dc069d16add60bfa790c621f0a9ce,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_Mouse_Spleen2.csv,7a41a9c0e17e9d59dea0ef1897db8a948eec424934abe8a15e4da49f552052c5
joint,12,Mouse_Spleen1,2568,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k12/spatial_Mouse_Spleen1.png,01fba62f5398f37610642bc019384415e92e00b3cfcbf3ca3d18b62609d5a74b,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_Mouse_Spleen1.csv,b501a08e0ed742281ec526468af086583ee7b40cd98d83d721987b819aa13bee
joint,12,Mouse_Spleen2,2768,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k12/spatial_Mouse_Spleen2.png,f2127c0bec14107a1fe37f4643002d7600b2e1c98dfb2e71af9966e842562c7c,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_Mouse_Spleen2.csv,9a8a1106a75b7c0d09b141eab27b50da7f9655fa84d99e0fa2b4d697b4be9ddc
independent,5,Mouse_Spleen1,2568,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k5/spatial_Mouse_Spleen1.png,43b88a38bc0c3c004c9e93b1c87466a65b22ded69a0e65b94c5285939922102a,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_Mouse_Spleen1.csv,b7065a1d437436f49a39df0990e6597092c1e00b12b04768870a6549e2a3af5b
independent,5,Mouse_Spleen2,2768,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k5/spatial_Mouse_Spleen2.png,997ccc3671dbabb43ca721098df4e9bf2e722eb07b69bf9a6db7c61ad3de8467,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_Mouse_Spleen2.csv,5d818548b1e5de4ec856dd2ff221f70268f00224433bacb93c9037f37e21532b
independent,8,Mouse_Spleen1,2568,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k8/spatial_Mouse_Spleen1.png,bad65367e9879e89e396830fa2431ec2cf08ae2dabba2c596c95f2ecb15898e9,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k8/labels_Mouse_Spleen1.csv,0883c99922df0a78a22023a2740415aa7f0fa70840ef7d39c1ce036be1297103
independent,8,Mouse_Spleen2,2768,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k8/spatial_Mouse_Spleen2.png,c06dceb91d1d998fc34877fdb72f4d7984c2b856adc9ebb5822f8adbdecc39d3,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k8/labels_Mouse_Spleen2.csv,cdffaecc255b68bb1b65c34d4e37ce03fac7cea312cf612a3b4fe7170e6f549a
independent,10,Mouse_Spleen1,2568,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k10/spatial_Mouse_Spleen1.png,f6898f1b10d801bc0bfb1870b6f3d26dd40c0ae09e6eb1d50480ffe0b7d384a0,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_Mouse_Spleen1.csv,92a412d24ff9f596eebfd15069cb40f4ee5d53b5f04e2b6b178c1bd3cecf9b65
independent,10,Mouse_Spleen2,2768,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k10/spatial_Mouse_Spleen2.png,c193ef9bbbf54cfa385505f70c520ce0173094b5ebbce53842268ebbd51d5635,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_Mouse_Spleen2.csv,90eec9814d97eade282340a9fec2a9ad650de95dc9e7dbbc6e40d9fc059edf25
independent,12,Mouse_Spleen1,2568,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k12/spatial_Mouse_Spleen1.png,983370bb55b36a45d575844db84d3a1db08e970a62c0a386ab514a1026d17900,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k12/labels_Mouse_Spleen1.csv,8eadb1c0f9e14abd7f8ea84e7c4a32e589bc39b4e5d57b09a6e8b126a3fedb65
independent,12,Mouse_Spleen2,2768,10.0,220,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k12/spatial_Mouse_Spleen2.png,2a5e1660aa7122e87a8594e7e981ee988948d0408271932c88f4f7ab19d567f8,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k12/labels_Mouse_Spleen2.csv,4bb405ca306d96f94d6c2dc9b0e3699e8bcfa3027af56ea85b3b5eb7b08c46a5
