mode,k,section,n_obs,spatial_neighbor_k,neighbor_same_cluster_fraction,labels_path
joint,2,Mouse_Spleen1,2568,6,0.7943276220145379,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_Mouse_Spleen1.csv
joint,2,Mouse_Spleen2,2768,6,0.8033477842003853,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_Mouse_Spleen2.csv
joint,3,Mouse_Spleen1,2568,6,0.706451194184839,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_Mouse_Spleen1.csv
joint,3,Mouse_Spleen2,2768,6,0.7070688824662813,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_Mouse_Spleen2.csv
joint,4,Mouse_Spleen1,2568,6,0.6045560747663551,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_Mouse_Spleen1.csv
joint,4,Mouse_Spleen2,2768,6,0.6091040462427746,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_Mouse_Spleen2.csv
joint,5,Mouse_Spleen1,2568,6,0.5198598130841121,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_Mouse_Spleen1.csv
joint,5,Mouse_Spleen2,2768,6,0.5217365125240848,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_Mouse_Spleen2.csv
joint,6,Mouse_Spleen1,2568,6,0.449831256490135,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_Mouse_Spleen1.csv
joint,6,Mouse_Spleen2,2768,6,0.4595977842003854,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_Mouse_Spleen2.csv
joint,7,Mouse_Spleen1,2568,6,0.39985721703011423,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_Mouse_Spleen1.csv
joint,7,Mouse_Spleen2,2768,6,0.4086584778420039,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_Mouse_Spleen2.csv
joint,8,Mouse_Spleen1,2568,6,0.3679906542056075,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_Mouse_Spleen1.csv
joint,8,Mouse_Spleen2,2768,6,0.3696411368015414,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_Mouse_Spleen2.csv
joint,9,Mouse_Spleen1,2568,6,0.3446261682242991,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_Mouse_Spleen1.csv
joint,9,Mouse_Spleen2,2768,6,0.3491690751445087,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_Mouse_Spleen2.csv
joint,10,Mouse_Spleen1,2568,6,0.3103582554517134,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_Mouse_Spleen1.csv
joint,10,Mouse_Spleen2,2768,6,0.32935934489402696,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_Mouse_Spleen2.csv
joint,11,Mouse_Spleen1,2568,6,0.2954958463136033,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_Mouse_Spleen1.csv
joint,11,Mouse_Spleen2,2768,6,0.31400529865125243,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_Mouse_Spleen2.csv
joint,12,Mouse_Spleen1,2568,6,0.2764797507788162,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_Mouse_Spleen1.csv
joint,12,Mouse_Spleen2,2768,6,0.2922687861271676,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_Mouse_Spleen2.csv
independent,2,Mouse_Spleen1,2568,6,0.7951064382139148,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k2/labels_Mouse_Spleen1.csv
independent,2,Mouse_Spleen2,2768,6,0.803106936416185,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k2/labels_Mouse_Spleen2.csv
independent,3,Mouse_Spleen1,2568,6,0.7048935617860852,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k3/labels_Mouse_Spleen1.csv
independent,3,Mouse_Spleen2,2768,6,0.7072495183044316,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k3/labels_Mouse_Spleen2.csv
independent,4,Mouse_Spleen1,2568,6,0.6046209761163032,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k4/labels_Mouse_Spleen1.csv
independent,4,Mouse_Spleen2,2768,6,0.6097061657032755,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k4/labels_Mouse_Spleen2.csv
independent,5,Mouse_Spleen1,2568,6,0.5190809968847352,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_Mouse_Spleen1.csv
independent,5,Mouse_Spleen2,2768,6,0.5196893063583815,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_Mouse_Spleen2.csv
independent,6,Mouse_Spleen1,2568,6,0.4511292834890966,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k6/labels_Mouse_Spleen1.csv
independent,6,Mouse_Spleen2,2768,6,0.46170520231213874,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k6/labels_Mouse_Spleen2.csv
independent,7,Mouse_Spleen1,2568,6,0.40212876427829697,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k7/labels_Mouse_Spleen1.csv
independent,7,Mouse_Spleen2,2768,6,0.41865366088631983,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k7/labels_Mouse_Spleen2.csv
independent,8,Mouse_Spleen1,2568,6,0.3677959501557632,/home/hujinlan/spa_mo_model/results/mouse_spleen_preprocessing_comparison/standardized_embedding/clustering/independent_k8/labels_Mouse_Spleen1.csv
