mode,k,mean_spatial_neighbor_agreement
independent,2,0.7991066873150499
independent,3,0.7060715400452584
independent,4,0.6071635709097893
independent,5,0.5193851516215584
independent,6,0.4564172429006177
independent,7,0.4103912125823084
independent,8,0.370404477968055
independent,9,0.3390756959825689
independent,10,0.3238240663209263
independent,11,0.2985964801709494
independent,12,0.2825834788924303
joint,2,0.7988377031074616
joint,3,0.7067600383255601
joint,4,0.6068300605045649
joint,5,0.5207981628040985
joint,6,0.45471452034526016
joint,7,0.4042578474360591
joint,8,0.36881589550357446
joint,9,0.34689762168440386
joint,10,0.31985880017287016
joint,11,0.3047505724824279
joint,12,0.2843742684529919
