section,cluster,count,fraction
Mouse_Thymus1,0,109,0.023206301894826486
Mouse_Thymus1,1,944,0.20097934852033214
Mouse_Thymus1,2,222,0.047264211198637426
Mouse_Thymus1,3,1220,0.2597402597402597
Mouse_Thymus1,4,171,0.03640621673408559
Mouse_Thymus1,5,311,0.06621247604854162
Mouse_Thymus1,6,341,0.07259953161592506
Mouse_Thymus1,7,35,0.007451564828614009
Mouse_Thymus1,8,328,0.06983180753672558
Mouse_Thymus1,9,639,0.13604428358526718
Mouse_Thymus1,10,207,0.04407068341494571
Mouse_Thymus1,11,170,0.036193314881839474
Mouse_Thymus2,0,877,0.20620738302374794
Mouse_Thymus2,1,1077,0.25323301199153536
Mouse_Thymus2,2,204,0.047966141547143196
Mouse_Thymus2,3,768,0.18057841523630377
Mouse_Thymus2,4,71,0.016694098283564544
Mouse_Thymus2,5,392,0.09217023277686338
Mouse_Thymus2,6,271,0.06371972725135198
Mouse_Thymus2,7,90,0.02116153303550435
Mouse_Thymus2,8,202,0.04749588525746532
Mouse_Thymus2,9,35,0.008229485069362802
Mouse_Thymus2,10,44,0.010345638372913237
Mouse_Thymus2,11,222,0.05219844815424406
Mouse_Thymus3,0,588,0.12656048213517004
Mouse_Thymus3,1,983,0.21157985363753767
Mouse_Thymus3,2,625,0.13452432199741712
Mouse_Thymus3,3,882,0.18984072320275505
Mouse_Thymus3,4,104,0.02238484718037021
Mouse_Thymus3,5,241,0.05187257856220405
Mouse_Thymus3,6,435,0.09362892811020232
Mouse_Thymus3,7,335,0.07210503659061558
Mouse_Thymus3,8,88,0.018941024537236333
Mouse_Thymus3,9,271,0.05832974601808007
Mouse_Thymus3,10,61,0.013129573826947911
Mouse_Thymus3,11,33,0.007102884201463625
Mouse_Thymus4,0,631,0.14924314096499527
Mouse_Thymus4,1,617,0.14593188268684956
Mouse_Thymus4,2,327,0.07734153263954588
Mouse_Thymus4,3,512,0.12109744560075686
Mouse_Thymus4,4,821,0.19418164616840114
Mouse_Thymus4,5,130,0.03074739829706717
Mouse_Thymus4,6,130,0.03074739829706717
Mouse_Thymus4,7,75,0.017738883632923367
Mouse_Thymus4,8,85,0.02010406811731315
Mouse_Thymus4,9,253,0.059839167455061494
Mouse_Thymus4,10,203,0.048013245033112585
Mouse_Thymus4,11,444,0.10501419110690634
