section,spot_index,obs_name,cluster,stage
Mouse_Thymus3,0,110_38,6,Mouse_Thymus3
Mouse_Thymus3,1,48_23,5,Mouse_Thymus3
Mouse_Thymus3,2,71_20,6,Mouse_Thymus3
Mouse_Thymus3,3,94_54,5,Mouse_Thymus3
Mouse_Thymus3,4,108_57,9,Mouse_Thymus3
Mouse_Thymus3,5,94_23,0,Mouse_Thymus3
Mouse_Thymus3,6,69_34,8,Mouse_Thymus3
Mouse_Thymus3,7,13_51,0,Mouse_Thymus3
Mouse_Thymus3,8,104_42,0,Mouse_Thymus3
Mouse_Thymus3,9,115_65,5,Mouse_Thymus3
Mouse_Thymus3,10,111_42,0,Mouse_Thymus3
Mouse_Thymus3,11,63_20,0,Mouse_Thymus3
Mouse_Thymus3,12,17_39,1,Mouse_Thymus3
Mouse_Thymus3,13,9_46,5,Mouse_Thymus3
Mouse_Thymus3,14,89_44,1,Mouse_Thymus3
Mouse_Thymus3,15,99_40,0,Mouse_Thymus3
Mouse_Thymus3,16,82_0,4,Mouse_Thymus3
Mouse_Thymus3,17,72_27,0,Mouse_Thymus3
Mouse_Thymus3,18,64_27,6,Mouse_Thymus3
Mouse_Thymus3,19,78_46,1,Mouse_Thymus3
Mouse_Thymus3,20,58_43,9,Mouse_Thymus3
Mouse_Thymus3,21,66_45,1,Mouse_Thymus3
Mouse_Thymus3,22,89_14,9,Mouse_Thymus3
Mouse_Thymus3,23,78_8,1,Mouse_Thymus3
Mouse_Thymus3,24,78_18,0,Mouse_Thymus3
Mouse_Thymus3,25,21_59,5,Mouse_Thymus3
Mouse_Thymus3,26,96_24,0,Mouse_Thymus3
Mouse_Thymus3,27,63_29,5,Mouse_Thymus3
Mouse_Thymus3,28,88_9,1,Mouse_Thymus3
Mouse_Thymus3,29,53_31,6,Mouse_Thymus3
Mouse_Thymus3,30,88_49,1,Mouse_Thymus3
Mouse_Thymus3,31,45_38,0,Mouse_Thymus3
Mouse_Thymus3,32,117_46,5,Mouse_Thymus3
Mouse_Thymus3,33,29_46,0,Mouse_Thymus3
Mouse_Thymus3,34,87_26,6,Mouse_Thymus3
Mouse_Thymus3,35,75_26,0,Mouse_Thymus3
Mouse_Thymus3,36,55_23,6,Mouse_Thymus3
Mouse_Thymus3,37,67_32,9,Mouse_Thymus3
Mouse_Thymus3,38,78_12,6,Mouse_Thymus3
