section,cluster,count,fraction
Mouse_Thymus1,2,3453,0.7351500958058335
Mouse_Thymus1,4,172,0.036619118586331705
Mouse_Thymus1,5,1,0.00021290185224611454
Mouse_Thymus1,6,507,0.10794123908878007
Mouse_Thymus1,7,3,0.0006387055567383436
Mouse_Thymus1,10,561,0.11943793911007025
Mouse_Thymus2,0,936,0.22007994356924523
Mouse_Thymus2,1,317,0.0745356219139431
Mouse_Thymus2,3,947,0.22266635316247355
Mouse_Thymus2,4,79,0.01857512344227604
Mouse_Thymus2,5,217,0.051022807430049374
Mouse_Thymus2,7,73,0.01716435457324242
Mouse_Thymus2,8,360,0.0846461321420174
Mouse_Thymus2,9,956,0.224782506466024
Mouse_Thymus2,11,368,0.0865271573007289
Mouse_Thymus3,0,1004,0.2160998708566509
Mouse_Thymus3,1,287,0.061773568661213946
Mouse_Thymus3,3,1053,0.22664657770124838
Mouse_Thymus3,4,85,0.01829530779164873
Mouse_Thymus3,5,214,0.04606112785191563
Mouse_Thymus3,7,100,0.02152389151958674
Mouse_Thymus3,8,435,0.09362892811020232
Mouse_Thymus3,9,1010,0.21739130434782608
Mouse_Thymus3,11,458,0.09857942315970727
Mouse_Thymus4,0,935,0.22114474929044464
Mouse_Thymus4,1,282,0.06669820245979187
Mouse_Thymus4,3,913,0.21594134342478713
Mouse_Thymus4,4,83,0.019631031220435195
Mouse_Thymus4,5,189,0.04470198675496689
Mouse_Thymus4,7,77,0.018211920529801324
Mouse_Thymus4,8,313,0.0740302743614002
Mouse_Thymus4,9,955,0.2258751182592242
Mouse_Thymus4,11,481,0.11376537369914853
