mode,k,scope,n_obs,metric_sample_size,n_clusters_observed,silhouette,calinski_harabasz,davies_bouldin,section_ARI_diagnostic,section_NMI_diagnostic
independent,5,Mouse_Thymus1,4697,4697,5,0.2501962576508368,703.8827626857507,2.222080141268724,,
independent,5,Mouse_Thymus2,4253,4253,5,0.13772703030644842,524.3687043964816,2.748991834935615,,
independent,5,Mouse_Thymus3,4646,4646,5,0.1924570952132645,616.9419830779435,2.4066451649249707,,
independent,5,Mouse_Thymus4,4228,4228,5,0.20171859257671212,550.4735704807836,2.338562179626467,,
joint,5,combined,17824,10000,5,0.27728830752538186,2157.77390216864,2.2221802314235433,0.30703891998726496,0.38257274141296166
independent,8,Mouse_Thymus1,4697,4697,8,0.06443799545011807,499.9041231790944,2.4996301351397916,,
independent,8,Mouse_Thymus2,4253,4253,8,0.13015539018460953,387.17217598641554,2.572762062176823,,
independent,8,Mouse_Thymus3,4646,4646,8,0.15229031736546106,453.42793295252517,2.4121960158175013,,
independent,8,Mouse_Thymus4,4228,4228,8,0.15672728580502523,403.6256947884078,2.307614215724007,,
joint,8,combined,17824,10000,8,0.24728297718178466,1520.4362211167493,2.0023349090079625,0.2434300225837303,0.3506922240703057
independent,10,Mouse_Thymus1,4697,4697,10,0.06696339800097593,424.94924702193555,2.4691408948833464,,
independent,10,Mouse_Thymus2,4253,4253,10,0.14558045442892076,340.6192556895136,2.2259898793691626,,
independent,10,Mouse_Thymus3,4646,4646,10,0.1400260463917351,401.4090051151993,2.238797455240918,,
independent,10,Mouse_Thymus4,4228,4228,10,0.12795535304822347,350.8230063855227,2.2876492808918893,,
joint,10,combined,17824,10000,10,0.19508506449876226,1297.3772887226658,2.244571021812031,0.23704199925652764,0.3239448213527032
independent,12,Mouse_Thymus1,4697,4697,12,0.07554774403322503,373.92495499880613,2.4152648143033004,,
independent,12,Mouse_Thymus2,4253,4253,12,0.1557583172672918,311.05980823489165,2.04901675082567,,
independent,12,Mouse_Thymus3,4646,4646,12,0.12562266629616112,357.7807236461774,2.2230677201882396,,
independent,12,Mouse_Thymus4,4228,4228,12,0.08411701653828502,313.56497442218745,2.385985738106742,,
joint,12,combined,17824,10000,12,0.18459609251687145,1139.864379559946,2.162505886307995,0.23511879637741698,0.31324316434969157
