section,neighbor_same_cluster_fraction,mode,k
Mouse_Thymus1,,independent,5
Mouse_Thymus2,,independent,5
Mouse_Thymus3,,independent,5
Mouse_Thymus4,,independent,5
Mouse_Thymus1,,joint,5
Mouse_Thymus2,,joint,5
Mouse_Thymus3,,joint,5
Mouse_Thymus4,,joint,5
Mouse_Thymus1,,independent,8
Mouse_Thymus2,,independent,8
Mouse_Thymus3,,independent,8
Mouse_Thymus4,,independent,8
Mouse_Thymus1,,joint,8
Mouse_Thymus2,,joint,8
Mouse_Thymus3,,joint,8
Mouse_Thymus4,,joint,8
Mouse_Thymus1,,independent,10
Mouse_Thymus2,,independent,10
Mouse_Thymus3,,independent,10
Mouse_Thymus4,,independent,10
Mouse_Thymus1,,joint,10
Mouse_Thymus2,,joint,10
Mouse_Thymus3,,joint,10
Mouse_Thymus4,,joint,10
Mouse_Thymus1,,independent,12
Mouse_Thymus2,,independent,12
Mouse_Thymus3,,independent,12
Mouse_Thymus4,,independent,12
Mouse_Thymus1,,joint,12
Mouse_Thymus2,,joint,12
Mouse_Thymus3,,joint,12
Mouse_Thymus4,,joint,12
