section,cluster,count,fraction
Mouse_Thymus1,0,313,0.06663827975303385
Mouse_Thymus1,1,190,0.04045135192676176
Mouse_Thymus1,2,1285,0.2735788801362572
Mouse_Thymus1,3,169,0.03598041302959336
Mouse_Thymus1,4,390,0.08303172237598468
Mouse_Thymus1,5,189,0.040238450074515646
Mouse_Thymus1,6,196,0.041728763040238454
Mouse_Thymus1,7,1026,0.2184373004045135
Mouse_Thymus1,8,205,0.04364487971045348
Mouse_Thymus1,9,734,0.15626995954864809
Mouse_Thymus2,0,93,0.02186691747002116
Mouse_Thymus2,1,352,0.0827651069833059
Mouse_Thymus2,2,308,0.07241946861039267
Mouse_Thymus2,3,789,0.18551610627792148
Mouse_Thymus2,4,296,0.06959793087232542
Mouse_Thymus2,5,909,0.21373148365859393
Mouse_Thymus2,6,304,0.07147895603103692
Mouse_Thymus2,7,729,0.17140841758758524
Mouse_Thymus2,8,428,0.10063484599106513
Mouse_Thymus2,9,45,0.010580766517752175
Mouse_Thymus3,0,1039,0.22363323288850623
Mouse_Thymus3,1,1023,0.22018941024537236
Mouse_Thymus3,2,462,0.09944037882049074
Mouse_Thymus3,3,89,0.0191562634524322
Mouse_Thymus3,4,61,0.013129573826947911
Mouse_Thymus3,5,236,0.05079638398622471
Mouse_Thymus3,6,442,0.0951356005165734
Mouse_Thymus3,7,106,0.022815325010761944
Mouse_Thymus3,8,302,0.06500215238915195
Mouse_Thymus3,9,886,0.19070167886353853
Mouse_Thymus4,0,931,0.22019867549668873
Mouse_Thymus4,1,890,0.21050141911069065
Mouse_Thymus4,2,865,0.20458845789971616
Mouse_Thymus4,3,318,0.07521286660359508
Mouse_Thymus4,4,193,0.0456480605487228
Mouse_Thymus4,5,86,0.02034058656575213
Mouse_Thymus4,6,155,0.036660359508041626
Mouse_Thymus4,7,75,0.017738883632923367
Mouse_Thymus4,8,449,0.10619678334910122
Mouse_Thymus4,9,266,0.06291390728476821
