section,obs_name,cluster,x,y
Mouse_Thymus2,110_38,5,18838.0,16871.0
Mouse_Thymus2,71_20,10,14938.0,15071.0
Mouse_Thymus2,48_23,0,12638.0,15371.0
Mouse_Thymus2,94_54,6,17238.0,18471.0
Mouse_Thymus2,69_34,5,14738.0,16471.0
Mouse_Thymus2,9_46,11,8738.0,17671.0
Mouse_Thymus2,108_57,0,18638.0,18771.0
Mouse_Thymus2,115_65,1,19338.0,19571.0
Mouse_Thymus2,104_42,11,18238.0,17271.0
Mouse_Thymus2,94_23,5,17238.0,15371.0
Mouse_Thymus2,111_42,5,18938.0,17271.0
Mouse_Thymus2,13_51,3,9138.0,18171.0
Mouse_Thymus2,17_39,7,9538.0,16971.0
Mouse_Thymus2,63_20,10,14138.0,15071.0
Mouse_Thymus2,89_44,11,16738.0,17471.0
Mouse_Thymus2,99_40,7,17738.0,17071.0
Mouse_Thymus2,72_27,5,15038.0,15771.0
Mouse_Thymus2,82_0,8,16038.0,13071.0
Mouse_Thymus2,64_27,1,14238.0,15771.0
Mouse_Thymus2,78_46,1,15638.0,17671.0
Mouse_Thymus2,89_14,5,16738.0,14471.0
Mouse_Thymus2,78_8,1,15638.0,13871.0
Mouse_Thymus2,78_18,7,15638.0,14871.0
Mouse_Thymus2,96_24,5,17438.0,15471.0
Mouse_Thymus2,63_29,5,14138.0,15971.0
Mouse_Thymus2,97_7,3,17538.0,13771.0
Mouse_Thymus2,88_9,10,16638.0,13971.0
Mouse_Thymus2,53_31,8,13138.0,16171.0
Mouse_Thymus2,45_38,5,12338.0,16871.0
Mouse_Thymus2,88_49,4,16638.0,17971.0
Mouse_Thymus2,117_46,2,19538.0,17671.0
Mouse_Thymus2,29_46,5,10738.0,17671.0
Mouse_Thymus2,87_26,7,16538.0,15671.0
Mouse_Thymus2,55_23,7,13338.0,15371.0
Mouse_Thymus2,94_31,7,17238.0,16171.0
Mouse_Thymus2,75_26,5,15338.0,15671.0
Mouse_Thymus2,67_32,7,14538.0,16271.0
Mouse_Thymus2,78_12,3,15638.0,14271.0
Mouse_Thymus2,115_52,0,19338.0,18271.0
Mouse_Thymus2,109_39,5,18738.0,16971.0
Mouse_Thymus2,48_25,0,12638.0,15571.0
Mouse_Thymus2,43_26,10,12138.0,15671.0
Mouse_Thymus2,111_50,3,18938.0,18071.0
Mouse_Thymus2,94_52,1,17238.0,18271.0
Mouse_Thymus2,91_17,5,16938.0,14771.0
Mouse_Thymus2,112_46,2,19038.0,17671.0
Mouse_Thymus2,37_55,6,11538.0,18571.0
Mouse_Thymus2,79_19,5,15738.0,14971.0
Mouse_Thymus2,82_47,7,16038.0,17771.0
Mouse_Thymus2,83_4,1,16138.0,13471.0
Mouse_Thymus2,95_18,0,17338.0,14871.0
Mouse_Thymus2,103_32,2,18138.0,16271.0
Mouse_Thymus2,61_41,3,13938.0,17171.0
Mouse_Thymus2,28_43,2,10638.0,17371.0
Mouse_Thymus2,63_26,10,14138.0,15671.0
Mouse_Thymus2,118_46,3,19638.0,17671.0
Mouse_Thymus2,24_35,6,10238.0,16571.0
Mouse_Thymus2,46_33,8,12438.0,16371.0
Mouse_Thymus2,78_36,5,15638.0,16671.0
Mouse_Thymus2,76_46,7,15438.0,17671.0
Mouse_Thymus2,30_39,3,10838.0,16971.0
Mouse_Thymus2,88_37,8,16638.0,16771.0
Mouse_Thymus2,79_25,2,15738.0,15571.0
Mouse_Thymus2,42_26,7,12038.0,15671.0
Mouse_Thymus2,93_28,4,17138.0,15871.0
Mouse_Thymus2,42_39,5,12038.0,16971.0
Mouse_Thymus2,13_42,7,9138.0,17271.0
Mouse_Thymus2,20_37,3,9838.0,16771.0
Mouse_Thymus2,101_40,2,17938.0,17071.0
Mouse_Thymus2,108_25,4,18638.0,15571.0
Mouse_Thymus2,13_39,8,9138.0,16971.0
Mouse_Thymus2,91_9,1,16938.0,13971.0
Mouse_Thymus2,63_41,1,14138.0,17171.0
Mouse_Thymus2,107_34,2,18538.0,16471.0
Mouse_Thymus2,120_45,3,19838.0,17571.0
Mouse_Thymus2,90_10,3,16838.0,14071.0
Mouse_Thymus2,62_11,3,14038.0,14171.0
Mouse_Thymus2,26_34,11,10438.0,16471.0
Mouse_Thymus2,59_29,2,13738.0,15971.0
Mouse_Thymus2,107_43,10,18538.0,17371.0
Mouse_Thymus2,100_42,3,17838.0,17271.0
Mouse_Thymus2,94_41,9,17238.0,17171.0
Mouse_Thymus2,79_27,2,15738.0,15771.0
Mouse_Thymus2,95_33,10,17338.0,16371.0
Mouse_Thymus2,49_48,3,12738.0,17871.0
Mouse_Thymus2,81_35,0,15938.0,16571.0
Mouse_Thymus2,72_9,7,15038.0,13971.0
Mouse_Thymus2,81_11,1,15938.0,14171.0
Mouse_Thymus2,22_55,8,10038.0,18571.0
Mouse_Thymus2,88_33,3,16638.0,16371.0
Mouse_Thymus2,36_24,6,11438.0,15471.0
Mouse_Thymus2,106_22,8,18438.0,15271.0
Mouse_Thymus2,97_41,1,17538.0,17171.0
Mouse_Thymus2,86_51,1,16438.0,18171.0
Mouse_Thymus2,56_16,1,13438.0,14671.0
Mouse_Thymus2,39_38,7,11738.0,16871.0
Mouse_Thymus2,83_36,0,16138.0,16671.0
Mouse_Thymus2,99_58,0,17738.0,18871.0
Mouse_Thymus2,24_56,10,10238.0,18671.0
Mouse_Thymus2,48_40,2,12638.0,17071.0
Mouse_Thymus2,85_18,5,16338.0,14871.0
Mouse_Thymus2,82_52,1,16038.0,18271.0
Mouse_Thymus2,75_37,5,15338.0,16771.0
Mouse_Thymus2,65_29,10,14338.0,15971.0
Mouse_Thymus2,64_23,7,14238.0,15371.0
Mouse_Thymus2,93_46,11,17138.0,17671.0
Mouse_Thymus2,64_18,3,14238.0,14871.0
Mouse_Thymus2,10_46,1,8838.0,17671.0
Mouse_Thymus2,85_7,7,16338.0,13771.0
Mouse_Thymus2,33_25,0,11138.0,15571.0
Mouse_Thymus2,32_39,3,11038.0,16971.0
Mouse_Thymus2,88_45,0,16638.0,17571.0
Mouse_Thymus2,78_4,1,15638.0,13471.0
Mouse_Thymus2,120_39,6,19838.0,16971.0
Mouse_Thymus2,21_44,5,9938.0,17471.0
Mouse_Thymus2,57_29,5,13538.0,15971.0
Mouse_Thymus2,84_10,3,16238.0,14071.0
Mouse_Thymus2,121_48,1,19938.0,17871.0
Mouse_Thymus2,92_33,1,17038.0,16371.0
Mouse_Thymus2,83_7,1,16138.0,13771.0
Mouse_Thymus2,103_28,5,18138.0,15871.0
Mouse_Thymus2,105_49,3,18338.0,17971.0
Mouse_Thymus2,97_20,2,17538.0,15071.0
Mouse_Thymus2,72_32,3,15038.0,16271.0
Mouse_Thymus2,40_26,10,11838.0,15671.0
Mouse_Thymus2,91_48,1,16938.0,17871.0
Mouse_Thymus2,91_50,1,16938.0,18071.0
Mouse_Thymus2,78_47,7,15638.0,17771.0
Mouse_Thymus2,39_40,2,11738.0,17071.0
Mouse_Thymus2,79_26,2,15738.0,15671.0
Mouse_Thymus2,34_33,1,11238.0,16371.0
Mouse_Thymus2,77_5,1,15538.0,13571.0
Mouse_Thymus2,31_47,2,10938.0,17771.0
Mouse_Thymus2,67_22,2,14538.0,15271.0
Mouse_Thymus2,122_57,7,20038.0,18771.0
Mouse_Thymus2,92_20,4,17038.0,15071.0
Mouse_Thymus2,18_43,5,9638.0,17371.0
Mouse_Thymus2,37_40,2,11538.0,17071.0
Mouse_Thymus2,21_42,0,9938.0,17271.0
Mouse_Thymus2,32_38,1,11038.0,16871.0
Mouse_Thymus2,43_28,5,12138.0,15871.0
Mouse_Thymus2,43_32,8,12138.0,16271.0
Mouse_Thymus2,86_55,1,16438.0,18571.0
Mouse_Thymus2,88_31,1,16638.0,16171.0
Mouse_Thymus2,89_32,9,16738.0,16271.0
Mouse_Thymus2,29_48,10,10738.0,17871.0
Mouse_Thymus2,39_29,7,11738.0,15971.0
Mouse_Thymus2,98_15,0,17638.0,14571.0
Mouse_Thymus2,119_65,1,19738.0,19571.0
Mouse_Thymus2,115_60,3,19338.0,19071.0
Mouse_Thymus2,27_36,3,10538.0,16671.0
Mouse_Thymus2,98_46,1,17638.0,17671.0
Mouse_Thymus2,101_28,5,17938.0,15871.0
Mouse_Thymus2,66_24,2,14438.0,15471.0
Mouse_Thymus2,54_16,0,13238.0,14671.0
Mouse_Thymus2,116_61,3,19438.0,19171.0
Mouse_Thymus2,86_15,10,16438.0,14571.0
Mouse_Thymus2,39_25,3,11738.0,15571.0
Mouse_Thymus2,29_45,5,10738.0,17571.0
Mouse_Thymus2,95_49,1,17338.0,17971.0
Mouse_Thymus2,17_45,5,9538.0,17571.0
Mouse_Thymus2,108_46,5,18638.0,17671.0
Mouse_Thymus2,89_5,1,16738.0,13571.0
Mouse_Thymus2,61_32,2,13938.0,16271.0
Mouse_Thymus2,114_32,3,19238.0,16271.0
Mouse_Thymus2,106_25,0,18438.0,15571.0
Mouse_Thymus2,42_33,3,12038.0,16371.0
Mouse_Thymus2,47_32,4,12538.0,16271.0
Mouse_Thymus2,59_14,11,13738.0,14471.0
Mouse_Thymus2,68_35,5,14638.0,16571.0
Mouse_Thymus2,79_17,7,15738.0,14771.0
Mouse_Thymus2,42_30,2,12038.0,16071.0
Mouse_Thymus2,99_45,1,17738.0,17571.0
Mouse_Thymus2,79_52,3,15738.0,18271.0
Mouse_Thymus2,31_45,5,10938.0,17571.0
Mouse_Thymus2,94_46,1,17238.0,17671.0
