section,cluster,count,fraction
Mouse_Thymus1,0,552,0.11752182243985523
Mouse_Thymus1,2,3461,0.7368533106238024
Mouse_Thymus1,5,508,0.10815414094102618
Mouse_Thymus1,6,1,0.00021290185224611454
Mouse_Thymus1,7,172,0.036619118586331705
Mouse_Thymus1,11,3,0.0006387055567383436
Mouse_Thymus2,1,932,0.2191394309898895
Mouse_Thymus2,3,959,0.2254878909005408
Mouse_Thymus2,4,922,0.2167881495415001
Mouse_Thymus2,6,216,0.05078767928521044
Mouse_Thymus2,7,79,0.01857512344227604
Mouse_Thymus2,8,356,0.08370561956266165
Mouse_Thymus2,9,346,0.08135433811427228
Mouse_Thymus2,10,371,0.08723254173524571
Mouse_Thymus2,11,72,0.01692922642840348
Mouse_Thymus3,1,1001,0.21545415411106328
Mouse_Thymus3,3,1011,0.21760654326302195
Mouse_Thymus3,4,1024,0.22040464916056823
Mouse_Thymus3,6,212,0.04563065002152389
Mouse_Thymus3,7,85,0.01829530779164873
Mouse_Thymus3,8,425,0.09147653895824365
Mouse_Thymus3,9,314,0.06758501937150237
Mouse_Thymus3,10,478,0.10288420146362462
Mouse_Thymus3,11,96,0.020662935858803272
Mouse_Thymus4,1,919,0.21736045411542101
Mouse_Thymus4,3,949,0.22445600756859035
Mouse_Thymus4,4,890,0.21050141911069065
Mouse_Thymus4,6,186,0.04399243140964995
Mouse_Thymus4,7,83,0.019631031220435195
Mouse_Thymus4,8,313,0.0740302743614002
Mouse_Thymus4,9,317,0.07497634815515611
Mouse_Thymus4,10,495,0.11707663197729423
Mouse_Thymus4,11,76,0.017975402081362345
