section,obs_name,cluster,x,y
Mouse_Thymus2,110_38,3,18838.0,16871.0
Mouse_Thymus2,71_20,4,14938.0,15071.0
Mouse_Thymus2,48_23,2,12638.0,15371.0
Mouse_Thymus2,94_54,2,17238.0,18471.0
Mouse_Thymus2,69_34,3,14738.0,16471.0
Mouse_Thymus2,9_46,4,8738.0,17671.0
Mouse_Thymus2,108_57,2,18638.0,18771.0
Mouse_Thymus2,115_65,2,19338.0,19571.0
Mouse_Thymus2,104_42,4,18238.0,17271.0
Mouse_Thymus2,94_23,3,17238.0,15371.0
Mouse_Thymus2,111_42,3,18938.0,17271.0
Mouse_Thymus2,13_51,2,9138.0,18171.0
Mouse_Thymus2,17_39,4,9538.0,16971.0
Mouse_Thymus2,63_20,4,14138.0,15071.0
Mouse_Thymus2,89_44,2,16738.0,17471.0
Mouse_Thymus2,99_40,4,17738.0,17071.0
Mouse_Thymus2,72_27,3,15038.0,15771.0
Mouse_Thymus2,82_0,4,16038.0,13071.0
Mouse_Thymus2,64_27,2,14238.0,15771.0
Mouse_Thymus2,78_46,2,15638.0,17671.0
Mouse_Thymus2,89_14,3,16738.0,14471.0
Mouse_Thymus2,78_8,2,15638.0,13871.0
Mouse_Thymus2,78_18,4,15638.0,14871.0
Mouse_Thymus2,96_24,3,17438.0,15471.0
Mouse_Thymus2,63_29,3,14138.0,15971.0
Mouse_Thymus2,97_7,2,17538.0,13771.0
Mouse_Thymus2,88_9,2,16638.0,13971.0
Mouse_Thymus2,53_31,4,13138.0,16171.0
Mouse_Thymus2,45_38,3,12338.0,16871.0
Mouse_Thymus2,88_49,4,16638.0,17971.0
Mouse_Thymus2,117_46,3,19538.0,17671.0
Mouse_Thymus2,29_46,3,10738.0,17671.0
Mouse_Thymus2,87_26,4,16538.0,15671.0
Mouse_Thymus2,55_23,4,13338.0,15371.0
Mouse_Thymus2,94_31,4,17238.0,16171.0
Mouse_Thymus2,75_26,3,15338.0,15671.0
Mouse_Thymus2,67_32,4,14538.0,16271.0
Mouse_Thymus2,78_12,2,15638.0,14271.0
Mouse_Thymus2,115_52,2,19338.0,18271.0
Mouse_Thymus2,109_39,3,18738.0,16971.0
Mouse_Thymus2,48_25,4,12638.0,15571.0
Mouse_Thymus2,43_26,4,12138.0,15671.0
Mouse_Thymus2,111_50,2,18938.0,18071.0
Mouse_Thymus2,94_52,2,17238.0,18271.0
Mouse_Thymus2,91_17,3,16938.0,14771.0
Mouse_Thymus2,112_46,3,19038.0,17671.0
Mouse_Thymus2,37_55,0,11538.0,18571.0
Mouse_Thymus2,79_19,3,15738.0,14971.0
Mouse_Thymus2,82_47,4,16038.0,17771.0
