mode,scope,k,n_obs,embedding_dim,cluster_asw,cluster_asw_scaled,cluster_asw_n_obs,calinski_harabasz,davies_bouldin,ch_dbi_n_obs,section_ari,section_nmi,section_asw,section_asw_n_obs,metric_space,labels_path
joint,combined,2,17824,128,0.3718205988407135,0.6859102994203568,10000,9412.143740189007,1.091380213820722,17824,0.33361501217271267,0.5567431776489429,0.11699095368385315,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_all.csv
joint,combined,3,17824,128,0.3555777966976166,0.6777888983488083,10000,9551.702070360208,1.1169952990527963,17824,0.33481721941751025,0.44846473981129453,0.11699095368385315,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_all.csv
joint,combined,4,17824,128,0.3544308543205261,0.6772154271602631,10000,7231.365426125337,1.2646177245642707,17824,0.3106155090171831,0.4262192090964649,0.11699095368385315,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_all.csv
joint,combined,5,17824,128,0.3050382733345032,0.6525191366672516,10000,6098.481072790632,1.905080453427524,17824,0.30704287725865254,0.38263296959935145,0.11699095368385315,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_all.csv
joint,combined,6,17824,128,0.2878965139389038,0.6439482569694519,10000,5265.123997151667,1.901786857787777,17824,0.25568050045198243,0.3714826083691234,0.11699095368385315,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_all.csv
joint,combined,7,17824,128,0.2649537920951843,0.6324768960475922,10000,4670.708927292011,1.9700478754701456,17824,0.25096889602937617,0.3507126071185397,0.11699095368385315,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_all.csv
joint,combined,8,17824,128,0.26870039105415344,0.6343501955270767,10000,4215.171466975542,1.84221938309848,17824,0.24290488816159134,0.3507553488136389,0.11699095368385315,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_all.csv
joint,combined,9,17824,128,0.2199517786502838,0.6099758893251419,10000,3869.9445428330446,1.9663060675453332,17824,0.2389459653018926,0.33420631049201804,0.11699095368385315,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_all.csv
joint,combined,10,17824,128,0.21416456997394562,0.6070822849869728,10000,3564.242437474557,2.0765222409309807,17824,0.2373187783036617,0.32408757444716196,0.11699095368385315,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_all.csv
joint,combined,11,17824,128,0.22058263421058655,0.6102913171052933,10000,3312.7683258888305,2.0182024643494527,17824,0.23659407793936046,0.3207674675044273,0.11699095368385315,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_all.csv
joint,combined,12,17824,128,0.20086057484149933,0.6004302874207497,10000,3098.102197946817,2.0298501494877375,17824,0.2355974134852635,0.31286140048614036,0.11699095368385315,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_all.csv
independent,Mouse_Thymus1,2,4697,128,0.38490214943885803,0.692451074719429,2635,1231.7772607132974,1.396733002902652,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k2/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,3,4697,128,0.3553644120693207,0.6776822060346603,2635,1226.657457144008,1.3537333036650043,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k3/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,4,4697,128,0.36051589250564575,0.6802579462528229,2635,1041.263124285664,1.4179459698573245,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k4/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,5,4697,128,0.26086392998695374,0.6304319649934769,2635,911.4110464276396,2.0270599369658013,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,6,4697,128,0.2578500807285309,0.6289250403642654,2635,797.4559244457326,1.9560686153000153,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,7,4697,128,0.1957681030035019,0.597884051501751,2635,705.4115622484471,2.383901942868596,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k7/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,8,4697,128,0.07067298144102097,0.5353364907205105,2635,636.0332577280507,2.381475000441634,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,9,4697,128,0.07233582437038422,0.5361679121851921,2635,581.1654437580348,2.351204977830508,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k9/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,10,4697,128,0.07332252711057663,0.5366612635552883,2635,538.3845318335992,2.3653648782369325,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,11,4697,128,0.07331253588199615,0.5366562679409981,2635,503.06002015937264,2.4066022398442124,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k11/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,12,4697,128,0.07414217293262482,0.5370710864663124,2635,470.43429208276626,2.4166628685520593,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus2,2,4253,128,0.3324350118637085,0.6662175059318542,2386,2157.4325131732708,1.1643012088935079,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k2/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus2,3,4253,128,0.2683500051498413,0.6341750025749207,2386,1365.5288782489026,2.3703339845605775,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k3/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus2,4,4253,128,0.22282646596431732,0.6114132329821587,2386,1022.0426445276578,2.310898833390842,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k4/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus2,5,4253,128,0.16678667068481445,0.5833933353424072,2386,840.0179194317966,2.519777679642906,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus2,6,4253,128,0.1665182113647461,0.583259105682373,2386,725.06878026258,2.39095667407832,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus2,7,4253,128,0.15830864012241364,0.5791543200612068,2386,644.7311149643072,2.3856615349249166,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k7/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus2,8,4253,128,0.1635594516992569,0.5817797258496284,2386,584.4502135161656,2.3253950844684397,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus2,9,4253,128,0.16603335738182068,0.5830166786909103,2386,537.1225737591473,2.2032684526497617,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k9/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus2,10,4253,128,0.10253315418958664,0.5512665770947933,2386,499.0871816166962,2.3210918007882144,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus2,11,4253,128,0.1773044615983963,0.5886522307991982,2386,469.33206364425985,2.0750767938677734,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k11/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus2,12,4253,128,0.09747239947319031,0.5487361997365952,2386,444.4567901007657,2.1885131701456424,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus3,2,4646,128,0.33046630024909973,0.6652331501245499,2607,2226.725873291868,1.135450505409904,4646,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k2/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,3,4646,128,0.28395187854766846,0.6419759392738342,2607,1461.1941804627052,2.3323481057388578,4646,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k3/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,4,4646,128,0.2349567413330078,0.6174783706665039,2607,1122.5812825620844,2.335847370877627,4646,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k4/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,5,4646,128,0.22083015739917755,0.6104150786995888,2607,940.2654556780541,2.188748877387759,4646,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,6,4646,128,0.1705247312784195,0.5852623656392097,2607,816.9437768236234,2.296044002308772,4646,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,7,4646,128,0.1821303367614746,0.5910651683807373,2607,732.2717313427476,2.181244877521279,4646,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k7/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,8,4646,128,0.18710865080356598,0.593554325401783,2607,669.0563911277707,2.067196232993177,4646,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,9,4646,128,0.17799682915210724,0.5889984145760536,2607,617.7499910243016,2.083536234515828,4646,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k9/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,10,4646,128,0.163133442401886,0.581566721200943,2607,577.8735913415837,2.1434330397119727,4646,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,11,4646,128,0.15865331888198853,0.5793266594409943,2607,541.2383444425205,2.1386625424978423,4646,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k11/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,12,4646,128,0.1359061598777771,0.5679530799388885,2607,514.9498775841574,2.1207729391186074,4646,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus4,2,4228,128,0.3255237638950348,0.6627618819475174,2372,2068.032332632301,1.1833338920580883,4228,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k2/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,3,4228,128,0.24875125288963318,0.6243756264448166,2372,1317.6006859144275,2.3343913771964826,4228,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k3/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,4,4228,128,0.23334713280200958,0.6166735664010048,2372,1017.5048908632873,2.2722580891572632,4228,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k4/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,5,4228,128,0.23286034166812897,0.6164301708340645,2372,845.4683452494588,2.1219514617050015,4228,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,6,4228,128,0.1762286275625229,0.5881143137812614,2372,737.1537089663731,2.203055630325466,4228,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,7,4228,128,0.16947072744369507,0.5847353637218475,2372,651.8756419076251,2.337197739024796,4228,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k7/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,8,4228,128,0.1835692822933197,0.5917846411466599,2372,592.2232253745119,2.171935110506468,4228,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,9,4228,128,0.14549429714679718,0.5727471485733986,2372,546.9522657818093,2.1501290753063227,4228,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k9/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,10,4228,128,0.1481151133775711,0.5740575566887856,2372,507.10071520755275,2.16872246698917,4228,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_Mouse_Thymus4.csv
