mode,k,section,plot_n_obs,point_size,dpi,figure_path,figure_sha256,labels_path,labels_sha256
joint,5,Mouse_Thymus1,4697,8.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k5/spatial_Mouse_Thymus1.png,0b87e58102d762d2c0cd667ec583823fceb46a7a70546b4b9ae8c39ea73ad1a8,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_Mouse_Thymus1.csv,6569dcbab809371312a2497023f01b98f5b345dc3e9a6bcf8a9e5bc72461275f
joint,5,Mouse_Thymus2,4253,5.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k5/spatial_Mouse_Thymus2.png,8ee07e2ade5a455c7064f36c8237c63d462681eb40fdc17daeae2d22c800c8ea,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_Mouse_Thymus2.csv,90812e310088d0911cbb9645873014ad1e0b923bc928c79f31e3cda8e33da604
joint,5,Mouse_Thymus3,4646,5.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k5/spatial_Mouse_Thymus3.png,19a0eefcce710f165e135c3643110bbc7ce02ddc538582549bc05a71fc19cef1,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_Mouse_Thymus3.csv,d0d31e276c3e0d0499832c67e83e9141c0d089e039699f7f714cb4a7d05f8439
joint,5,Mouse_Thymus4,4228,5.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k5/spatial_Mouse_Thymus4.png,0309eadf58705343ec51d83445e3d66ab2a8ad232d1358e3202ae36a5cff4bfa,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_Mouse_Thymus4.csv,e72e77a28cd1a069142eeb186cf17a55ba146aafb67f66a4622327eaf27ce638
joint,8,Mouse_Thymus1,4697,8.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k8/spatial_Mouse_Thymus1.png,ad803079e92a6cb4c11bcb68e736f8069b8f2b22f5d83e7de2339f2b2799460c,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_Mouse_Thymus1.csv,64c9cabb2534afffa84c2d5e6d97d6a1162ec918c4ba27a4ac9bf3e51566d34c
joint,8,Mouse_Thymus2,4253,5.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k8/spatial_Mouse_Thymus2.png,477bfcfefd04d38eae47ec5dd0e39aeb7204c346c769acd0a8357bf515c05b44,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_Mouse_Thymus2.csv,5df18113e04963507fa23e8b80b164cf8fc7778184d8fcab68bd1f2ffa7aa6f3
joint,8,Mouse_Thymus3,4646,5.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k8/spatial_Mouse_Thymus3.png,ff6252b2b7e5e83035d97ea04ad4b43e3c156daf1cb6f8a66c24c16feacc30d7,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_Mouse_Thymus3.csv,8c707d48748ded0fe247499598001647f44dfd71383b50bac613bbe12573e699
joint,8,Mouse_Thymus4,4228,5.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k8/spatial_Mouse_Thymus4.png,ea70e0565c17e7e702082f561db13fdfcac9e39c0899179c3df279a52ff3f1ad,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_Mouse_Thymus4.csv,998ce7d2a23e566adfbb7caa30abc08ae90cc13cd11d1a0b185277ae88e029b3
joint,10,Mouse_Thymus1,4697,8.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k10/spatial_Mouse_Thymus1.png,b3cbcd08f293016177e126a2795804edff1a5eefcf3c281a16d0174b7d487d50,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_Mouse_Thymus1.csv,61df60b766f2872a0d5da3f194f51d60a7cffcd9b626f4bc2f0d90f6c0ff33cb
joint,10,Mouse_Thymus2,4253,5.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k10/spatial_Mouse_Thymus2.png,9b39f120f3110389d35c127875972f296880630a9868c4739739bf94993daaf3,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_Mouse_Thymus2.csv,0a1ce3502de70181ceb116eff49497264bff89dd1ff0419a082413ee0b97341a
joint,10,Mouse_Thymus3,4646,5.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k10/spatial_Mouse_Thymus3.png,ca93fe54d8ba89a46888d75470277388328c2db3e01ee07aac4de4454ca03e1d,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_Mouse_Thymus3.csv,de631826118762bd528077cb6176c993d965255660e42381384323fe947b5ee9
joint,10,Mouse_Thymus4,4228,5.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k10/spatial_Mouse_Thymus4.png,c814cb8c373f86fe3448701885f355aeb45c86721eb003709c78646509f14f38,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_Mouse_Thymus4.csv,bdfc4df02d2be9141bbd5c8c1ee8678dc2c602e7c5463fee4ca658ce16ec03c4
joint,12,Mouse_Thymus1,4697,8.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k12/spatial_Mouse_Thymus1.png,449a4a4bd345650f15a2786e106e9ec3c9763b2f61ac21bf6865bf47de06ba1e,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_Mouse_Thymus1.csv,1e784ee992564aadfffbf8d4fb705f593349627a2f82e307b9f663d45229f47e
joint,12,Mouse_Thymus2,4253,5.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k12/spatial_Mouse_Thymus2.png,e5ff4ee6c23d0973da0403dba7c0b5195e90c0b8988fb879f37577870f743a82,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_Mouse_Thymus2.csv,55f3f0d5436b45b11c69b6eca576b768e1f24204517778cc09943e68de6d1cc0
joint,12,Mouse_Thymus3,4646,5.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k12/spatial_Mouse_Thymus3.png,3d45dd9bedf913f062f755f050167bc63fd5809e610732ebf80fad753e2f8f02,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_Mouse_Thymus3.csv,40f85aa1393c756ad441fb85d3f6d96d011ca24549887be343eea81d40f69773
joint,12,Mouse_Thymus4,4228,5.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k12/spatial_Mouse_Thymus4.png,2ce7454ded54d60c80cff5440aef64840285046f2fdabcaa4dcf000630a38236,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_Mouse_Thymus4.csv,b62290a27296163ef490c819c99d84ff3ff66d56987f6f8f7646db6c940f5ed7
independent,5,Mouse_Thymus1,4697,8.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k5/spatial_Mouse_Thymus1.png,5c4c236480d1a38b30013e75e26cf008084fc42cc09cab003e7dd79478e5a6bf,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_Mouse_Thymus1.csv,6037375e53a15c9b86e1e108ab6298ab51505ee2b82956769f74c302b1454e93
independent,5,Mouse_Thymus2,4253,5.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k5/spatial_Mouse_Thymus2.png,83318e0ecfa474b0b7105d0889e917524f193e9eba244adbc312597190eb1b5c,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_Mouse_Thymus2.csv,4539c9bad75dbe24aeabd5df121c4603523add919c700cafba58365ea0c1b71b
independent,5,Mouse_Thymus3,4646,5.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k5/spatial_Mouse_Thymus3.png,87afb81dd9e8f14cfb971ce8485d05537dc131e4a3b548fda16a6f26e8563836,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_Mouse_Thymus3.csv,393b539ad3971846c0e919fe5b187cb710a398b567c0a867e6e7cc1b5844b932
independent,5,Mouse_Thymus4,4228,5.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k5/spatial_Mouse_Thymus4.png,e036561741bc81ffc9ee444af979d277d5967b7557115e9ed72b7ed4898bc09c,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_Mouse_Thymus4.csv,09cfccc7c14e7f442f6274304329b23377a49067e0f94b3061e4753e5889a1f9
independent,8,Mouse_Thymus1,4697,8.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k8/spatial_Mouse_Thymus1.png,cc1b57b1fa79abc9b9079af91f8e5da1e313910bb13be5f4084d047701381bb4,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_Mouse_Thymus1.csv,27c042201fe48b7d63426fae1ff299e7862ef9381e78be024571010111b0d351
independent,8,Mouse_Thymus2,4253,5.0,220,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k8/spatial_Mouse_Thymus2.png,d5d197ba5b3e4b84b006d9cb81b17dd1f5c6f0a06a53b3a41e810a6ea38b936c,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_Mouse_Thymus2.csv,c5964d8a13b50bc8b7b32c0f1085a38e94ae13a8af566a59c7e48d22f39e936a
