mode,k,section,n_obs,spatial_neighbor_k,neighbor_same_cluster_fraction,labels_path
joint,2,Mouse_Thymus1,4697,6,0.9598680008516074,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_Mouse_Thymus1.csv
joint,2,Mouse_Thymus2,4253,6,1.0,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_Mouse_Thymus2.csv
joint,2,Mouse_Thymus3,4646,6,1.0,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_Mouse_Thymus3.csv
joint,2,Mouse_Thymus4,4228,6,1.0,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_Mouse_Thymus4.csv
joint,3,Mouse_Thymus1,4697,6,0.9530551415797317,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_Mouse_Thymus1.csv
joint,3,Mouse_Thymus2,4253,6,0.8935261384121013,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_Mouse_Thymus2.csv
joint,3,Mouse_Thymus3,4646,6,0.8903716458602382,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_Mouse_Thymus3.csv
joint,3,Mouse_Thymus4,4228,6,0.8790996531062756,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_Mouse_Thymus4.csv
joint,4,Mouse_Thymus1,4697,6,0.8062593144560357,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_Mouse_Thymus1.csv
joint,4,Mouse_Thymus2,4253,6,0.8637432400658359,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_Mouse_Thymus2.csv
joint,4,Mouse_Thymus3,4646,6,0.8555746879035729,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_Mouse_Thymus3.csv
joint,4,Mouse_Thymus4,4228,6,0.8458688111005992,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_Mouse_Thymus4.csv
joint,5,Mouse_Thymus1,4697,6,0.8049109360584771,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_Mouse_Thymus1.csv
joint,5,Mouse_Thymus2,4253,6,0.6561250881730543,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_Mouse_Thymus2.csv
joint,5,Mouse_Thymus3,4646,6,0.6457167455876023,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_Mouse_Thymus3.csv
joint,5,Mouse_Thymus4,4228,6,0.6402948596657206,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_Mouse_Thymus4.csv
joint,6,Mouse_Thymus1,4697,6,0.6020509545099709,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_Mouse_Thymus1.csv
joint,6,Mouse_Thymus2,4253,6,0.6561250881730543,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_Mouse_Thymus2.csv
joint,6,Mouse_Thymus3,4646,6,0.6457167455876023,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_Mouse_Thymus3.csv
joint,6,Mouse_Thymus4,4228,6,0.6401766004415012,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_Mouse_Thymus4.csv
joint,7,Mouse_Thymus1,4697,6,0.5986090412319921,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_Mouse_Thymus1.csv
joint,7,Mouse_Thymus2,4253,6,0.5987930088564934,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_Mouse_Thymus2.csv
joint,7,Mouse_Thymus3,4646,6,0.5898981202468073,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_Mouse_Thymus3.csv
joint,7,Mouse_Thymus4,4228,6,0.5806133711762851,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_Mouse_Thymus4.csv
joint,8,Mouse_Thymus1,4697,6,0.5659640905542545,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_Mouse_Thymus1.csv
joint,8,Mouse_Thymus2,4253,6,0.5964025393839643,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_Mouse_Thymus2.csv
joint,8,Mouse_Thymus3,4646,6,0.5872435069593915,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_Mouse_Thymus3.csv
joint,8,Mouse_Thymus4,4228,6,0.5784058656575213,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_Mouse_Thymus4.csv
joint,9,Mouse_Thymus1,4697,6,0.5697608402526435,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_Mouse_Thymus1.csv
joint,9,Mouse_Thymus2,4253,6,0.49976487185516105,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_Mouse_Thymus2.csv
joint,9,Mouse_Thymus3,4646,6,0.5186899124695078,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_Mouse_Thymus3.csv
joint,9,Mouse_Thymus4,4228,6,0.5059918006937875,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_Mouse_Thymus4.csv
joint,10,Mouse_Thymus1,4697,6,0.5703995458093819,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_Mouse_Thymus1.csv
joint,10,Mouse_Thymus2,4253,6,0.45132847401834,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_Mouse_Thymus2.csv
joint,10,Mouse_Thymus3,4646,6,0.46696082651743437,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_Mouse_Thymus3.csv
joint,10,Mouse_Thymus4,4228,6,0.467518133081047,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_Mouse_Thymus4.csv
joint,11,Mouse_Thymus1,4697,6,0.5674898871620183,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_Mouse_Thymus1.csv
joint,11,Mouse_Thymus2,4253,6,0.4506230895838232,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_Mouse_Thymus2.csv
joint,11,Mouse_Thymus3,4646,6,0.46175921940020087,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_Mouse_Thymus3.csv
joint,11,Mouse_Thymus4,4228,6,0.46448281299274674,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_Mouse_Thymus4.csv
joint,12,Mouse_Thymus1,4697,6,0.5703285785252998,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_Mouse_Thymus1.csv
joint,12,Mouse_Thymus2,4253,6,0.42291715651696843,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_Mouse_Thymus2.csv
joint,12,Mouse_Thymus3,4646,6,0.4407734251686038,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_Mouse_Thymus3.csv
joint,12,Mouse_Thymus4,4228,6,0.4391359192683696,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_Mouse_Thymus4.csv
independent,2,Mouse_Thymus1,4697,6,0.7670144063586687,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k2/labels_Mouse_Thymus1.csv
independent,3,Mouse_Thymus1,4697,6,0.5839897807110922,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k3/labels_Mouse_Thymus1.csv
independent,4,Mouse_Thymus1,4697,6,0.5559931871407281,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k4/labels_Mouse_Thymus1.csv
independent,5,Mouse_Thymus1,4697,6,0.3707685756866085,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_Mouse_Thymus1.csv
independent,6,Mouse_Thymus1,4697,6,0.36647505499964517,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_Mouse_Thymus1.csv
independent,7,Mouse_Thymus1,4697,6,0.2804981903342559,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k7/labels_Mouse_Thymus1.csv
independent,8,Mouse_Thymus1,4697,6,0.18128592718756653,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_Mouse_Thymus1.csv
independent,9,Mouse_Thymus1,4697,6,0.17312468951813215,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k9/labels_Mouse_Thymus1.csv
independent,10,Mouse_Thymus1,4697,6,0.16695053580299482,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_Mouse_Thymus1.csv
independent,11,Mouse_Thymus1,4697,6,0.14661840891349087,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k11/labels_Mouse_Thymus1.csv
