mode,k,mean_spatial_neighbor_agreement
independent,2,0.8579172735766771
independent,3,0.6460456510384395
independent,4,0.5905336460839743
independent,5,0.5033665609276141
independent,6,0.46550865669560487
independent,7,0.4232833143057453
independent,8,0.39238721774039687
independent,9,0.3760035067773203
independent,10,0.33830637938642744
independent,11,0.32576707418832074
independent,12,0.28616075910794603
joint,2,0.9899670002129018
joint,3,0.9040131447395867
joint,4,0.8428615133815109
joint,5,0.6867619073712136
joint,6,0.6360173471780322
joint,7,0.5919783853778945
joint,8,0.5820040006387829
joint,9,0.523551856317775
joint,10,0.4890517448565508
joint,11,0.4860887522846973
joint,12,0.4682887698698104
