sample_order,section,obs_name,section_n_total,section_n_sampled,sampling_seed
0,Mouse_Thymus1,0_22,4697,2635,0
1,Mouse_Thymus1,0_40,4697,2635,0
2,Mouse_Thymus1,10_10,4697,2635,0
3,Mouse_Thymus1,10_13,4697,2635,0
4,Mouse_Thymus1,10_14,4697,2635,0
5,Mouse_Thymus1,10_16,4697,2635,0
6,Mouse_Thymus1,10_18,4697,2635,0
7,Mouse_Thymus1,10_19,4697,2635,0
8,Mouse_Thymus1,10_20,4697,2635,0
9,Mouse_Thymus1,10_22,4697,2635,0
10,Mouse_Thymus1,10_23,4697,2635,0
11,Mouse_Thymus1,10_24,4697,2635,0
12,Mouse_Thymus1,10_25,4697,2635,0
13,Mouse_Thymus1,10_26,4697,2635,0
14,Mouse_Thymus1,10_28,4697,2635,0
15,Mouse_Thymus1,10_34,4697,2635,0
16,Mouse_Thymus1,10_36,4697,2635,0
17,Mouse_Thymus1,10_38,4697,2635,0
18,Mouse_Thymus1,10_39,4697,2635,0
19,Mouse_Thymus1,10_40,4697,2635,0
20,Mouse_Thymus1,10_41,4697,2635,0
21,Mouse_Thymus1,10_42,4697,2635,0
22,Mouse_Thymus1,10_46,4697,2635,0
23,Mouse_Thymus1,10_47,4697,2635,0
24,Mouse_Thymus1,10_48,4697,2635,0
25,Mouse_Thymus1,10_5,4697,2635,0
26,Mouse_Thymus1,10_52,4697,2635,0
27,Mouse_Thymus1,10_53,4697,2635,0
28,Mouse_Thymus1,10_55,4697,2635,0
29,Mouse_Thymus1,10_57,4697,2635,0
30,Mouse_Thymus1,10_6,4697,2635,0
31,Mouse_Thymus1,10_60,4697,2635,0
32,Mouse_Thymus1,10_61,4697,2635,0
33,Mouse_Thymus1,10_62,4697,2635,0
34,Mouse_Thymus1,10_63,4697,2635,0
35,Mouse_Thymus1,10_65,4697,2635,0
36,Mouse_Thymus1,10_66,4697,2635,0
37,Mouse_Thymus1,10_67,4697,2635,0
38,Mouse_Thymus1,10_71,4697,2635,0
39,Mouse_Thymus1,10_73,4697,2635,0
40,Mouse_Thymus1,10_74,4697,2635,0
41,Mouse_Thymus1,10_75,4697,2635,0
42,Mouse_Thymus1,11_10,4697,2635,0
43,Mouse_Thymus1,11_12,4697,2635,0
44,Mouse_Thymus1,11_13,4697,2635,0
45,Mouse_Thymus1,11_15,4697,2635,0
46,Mouse_Thymus1,11_16,4697,2635,0
47,Mouse_Thymus1,11_17,4697,2635,0
48,Mouse_Thymus1,11_20,4697,2635,0
49,Mouse_Thymus1,11_23,4697,2635,0
50,Mouse_Thymus1,11_25,4697,2635,0
51,Mouse_Thymus1,11_26,4697,2635,0
52,Mouse_Thymus1,11_27,4697,2635,0
53,Mouse_Thymus1,11_28,4697,2635,0
54,Mouse_Thymus1,11_31,4697,2635,0
55,Mouse_Thymus1,11_32,4697,2635,0
56,Mouse_Thymus1,11_33,4697,2635,0
57,Mouse_Thymus1,11_34,4697,2635,0
58,Mouse_Thymus1,11_37,4697,2635,0
59,Mouse_Thymus1,11_39,4697,2635,0
60,Mouse_Thymus1,11_4,4697,2635,0
61,Mouse_Thymus1,11_42,4697,2635,0
62,Mouse_Thymus1,11_45,4697,2635,0
63,Mouse_Thymus1,11_46,4697,2635,0
64,Mouse_Thymus1,11_47,4697,2635,0
65,Mouse_Thymus1,11_48,4697,2635,0
66,Mouse_Thymus1,11_49,4697,2635,0
67,Mouse_Thymus1,11_52,4697,2635,0
68,Mouse_Thymus1,11_53,4697,2635,0
69,Mouse_Thymus1,11_54,4697,2635,0
70,Mouse_Thymus1,11_57,4697,2635,0
71,Mouse_Thymus1,11_58,4697,2635,0
72,Mouse_Thymus1,11_6,4697,2635,0
73,Mouse_Thymus1,11_60,4697,2635,0
74,Mouse_Thymus1,11_62,4697,2635,0
75,Mouse_Thymus1,11_63,4697,2635,0
76,Mouse_Thymus1,11_65,4697,2635,0
77,Mouse_Thymus1,11_70,4697,2635,0
78,Mouse_Thymus1,11_71,4697,2635,0
79,Mouse_Thymus1,11_73,4697,2635,0
80,Mouse_Thymus1,11_8,4697,2635,0
81,Mouse_Thymus1,12_11,4697,2635,0
82,Mouse_Thymus1,12_13,4697,2635,0
83,Mouse_Thymus1,12_14,4697,2635,0
84,Mouse_Thymus1,12_15,4697,2635,0
85,Mouse_Thymus1,12_16,4697,2635,0
86,Mouse_Thymus1,12_19,4697,2635,0
87,Mouse_Thymus1,12_20,4697,2635,0
88,Mouse_Thymus1,12_22,4697,2635,0
89,Mouse_Thymus1,12_24,4697,2635,0
90,Mouse_Thymus1,12_26,4697,2635,0
91,Mouse_Thymus1,12_27,4697,2635,0
92,Mouse_Thymus1,12_28,4697,2635,0
93,Mouse_Thymus1,12_29,4697,2635,0
94,Mouse_Thymus1,12_31,4697,2635,0
95,Mouse_Thymus1,12_32,4697,2635,0
96,Mouse_Thymus1,12_33,4697,2635,0
97,Mouse_Thymus1,12_34,4697,2635,0
98,Mouse_Thymus1,12_36,4697,2635,0
99,Mouse_Thymus1,12_38,4697,2635,0
100,Mouse_Thymus1,12_39,4697,2635,0
101,Mouse_Thymus1,12_40,4697,2635,0
102,Mouse_Thymus1,12_42,4697,2635,0
103,Mouse_Thymus1,12_43,4697,2635,0
104,Mouse_Thymus1,12_44,4697,2635,0
105,Mouse_Thymus1,12_45,4697,2635,0
106,Mouse_Thymus1,12_46,4697,2635,0
107,Mouse_Thymus1,12_48,4697,2635,0
108,Mouse_Thymus1,12_50,4697,2635,0
109,Mouse_Thymus1,12_51,4697,2635,0
110,Mouse_Thymus1,12_53,4697,2635,0
111,Mouse_Thymus1,12_56,4697,2635,0
112,Mouse_Thymus1,12_59,4697,2635,0
113,Mouse_Thymus1,12_6,4697,2635,0
114,Mouse_Thymus1,12_60,4697,2635,0
115,Mouse_Thymus1,12_66,4697,2635,0
116,Mouse_Thymus1,12_72,4697,2635,0
117,Mouse_Thymus1,12_73,4697,2635,0
118,Mouse_Thymus1,12_74,4697,2635,0
119,Mouse_Thymus1,12_8,4697,2635,0
120,Mouse_Thymus1,12_9,4697,2635,0
121,Mouse_Thymus1,13_10,4697,2635,0
122,Mouse_Thymus1,13_11,4697,2635,0
123,Mouse_Thymus1,13_12,4697,2635,0
124,Mouse_Thymus1,13_13,4697,2635,0
125,Mouse_Thymus1,13_17,4697,2635,0
126,Mouse_Thymus1,13_18,4697,2635,0
127,Mouse_Thymus1,13_19,4697,2635,0
128,Mouse_Thymus1,13_20,4697,2635,0
129,Mouse_Thymus1,13_27,4697,2635,0
130,Mouse_Thymus1,13_30,4697,2635,0
131,Mouse_Thymus1,13_33,4697,2635,0
132,Mouse_Thymus1,13_34,4697,2635,0
133,Mouse_Thymus1,13_35,4697,2635,0
134,Mouse_Thymus1,13_37,4697,2635,0
135,Mouse_Thymus1,13_38,4697,2635,0
136,Mouse_Thymus1,13_4,4697,2635,0
137,Mouse_Thymus1,13_41,4697,2635,0
138,Mouse_Thymus1,13_42,4697,2635,0
139,Mouse_Thymus1,13_43,4697,2635,0
140,Mouse_Thymus1,13_44,4697,2635,0
141,Mouse_Thymus1,13_46,4697,2635,0
142,Mouse_Thymus1,13_5,4697,2635,0
143,Mouse_Thymus1,13_51,4697,2635,0
144,Mouse_Thymus1,13_52,4697,2635,0
145,Mouse_Thymus1,13_54,4697,2635,0
146,Mouse_Thymus1,13_55,4697,2635,0
147,Mouse_Thymus1,13_57,4697,2635,0
148,Mouse_Thymus1,13_58,4697,2635,0
149,Mouse_Thymus1,13_6,4697,2635,0
150,Mouse_Thymus1,13_60,4697,2635,0
151,Mouse_Thymus1,13_61,4697,2635,0
152,Mouse_Thymus1,13_64,4697,2635,0
153,Mouse_Thymus1,13_66,4697,2635,0
154,Mouse_Thymus1,13_7,4697,2635,0
155,Mouse_Thymus1,13_70,4697,2635,0
156,Mouse_Thymus1,13_71,4697,2635,0
157,Mouse_Thymus1,13_72,4697,2635,0
158,Mouse_Thymus1,13_74,4697,2635,0
159,Mouse_Thymus1,13_75,4697,2635,0
160,Mouse_Thymus1,13_8,4697,2635,0
161,Mouse_Thymus1,13_9,4697,2635,0
162,Mouse_Thymus1,14_12,4697,2635,0
163,Mouse_Thymus1,14_13,4697,2635,0
164,Mouse_Thymus1,14_15,4697,2635,0
165,Mouse_Thymus1,14_16,4697,2635,0
166,Mouse_Thymus1,14_20,4697,2635,0
167,Mouse_Thymus1,14_21,4697,2635,0
168,Mouse_Thymus1,14_22,4697,2635,0
169,Mouse_Thymus1,14_24,4697,2635,0
170,Mouse_Thymus1,14_26,4697,2635,0
171,Mouse_Thymus1,14_28,4697,2635,0
172,Mouse_Thymus1,14_30,4697,2635,0
173,Mouse_Thymus1,14_31,4697,2635,0
174,Mouse_Thymus1,14_33,4697,2635,0
175,Mouse_Thymus1,14_34,4697,2635,0
176,Mouse_Thymus1,14_35,4697,2635,0
177,Mouse_Thymus1,14_36,4697,2635,0
178,Mouse_Thymus1,14_37,4697,2635,0
179,Mouse_Thymus1,14_39,4697,2635,0
180,Mouse_Thymus1,14_41,4697,2635,0
181,Mouse_Thymus1,14_43,4697,2635,0
182,Mouse_Thymus1,14_45,4697,2635,0
183,Mouse_Thymus1,14_47,4697,2635,0
184,Mouse_Thymus1,14_48,4697,2635,0
185,Mouse_Thymus1,14_50,4697,2635,0
186,Mouse_Thymus1,14_51,4697,2635,0
187,Mouse_Thymus1,14_52,4697,2635,0
188,Mouse_Thymus1,14_55,4697,2635,0
189,Mouse_Thymus1,14_60,4697,2635,0
190,Mouse_Thymus1,14_68,4697,2635,0
191,Mouse_Thymus1,14_69,4697,2635,0
192,Mouse_Thymus1,14_7,4697,2635,0
193,Mouse_Thymus1,14_70,4697,2635,0
194,Mouse_Thymus1,14_71,4697,2635,0
195,Mouse_Thymus1,14_72,4697,2635,0
196,Mouse_Thymus1,14_74,4697,2635,0
197,Mouse_Thymus1,14_76,4697,2635,0
198,Mouse_Thymus1,14_8,4697,2635,0
199,Mouse_Thymus1,15_10,4697,2635,0
200,Mouse_Thymus1,15_12,4697,2635,0
201,Mouse_Thymus1,15_13,4697,2635,0
202,Mouse_Thymus1,15_14,4697,2635,0
203,Mouse_Thymus1,15_16,4697,2635,0
204,Mouse_Thymus1,15_18,4697,2635,0
205,Mouse_Thymus1,15_22,4697,2635,0
206,Mouse_Thymus1,15_23,4697,2635,0
207,Mouse_Thymus1,15_24,4697,2635,0
208,Mouse_Thymus1,15_26,4697,2635,0
209,Mouse_Thymus1,15_29,4697,2635,0
210,Mouse_Thymus1,15_32,4697,2635,0
