section,cluster,count,fraction
Mouse_Thymus1,0,548,0.11667021503087077
Mouse_Thymus1,1,1004,0.213753459655099
Mouse_Thymus1,2,186,0.039599744517777306
Mouse_Thymus1,3,274,0.058335107515435386
Mouse_Thymus1,4,264,0.05620608899297424
Mouse_Thymus1,5,1187,0.252714498616138
Mouse_Thymus1,6,36,0.0076644666808601235
Mouse_Thymus1,7,296,0.06301894826484991
Mouse_Thymus1,8,230,0.04896742601660634
Mouse_Thymus1,9,69,0.014690227804981904
Mouse_Thymus1,10,340,0.07238662976367895
Mouse_Thymus1,11,263,0.05599318714072812
Mouse_Thymus2,0,314,0.07383023747942628
Mouse_Thymus2,1,801,0.1883376440159887
Mouse_Thymus2,2,183,0.04302845050552551
Mouse_Thymus2,3,338,0.07947331295556079
Mouse_Thymus2,4,621,0.14601457794498002
Mouse_Thymus2,5,533,0.12532330119915353
Mouse_Thymus2,6,276,0.06489536797554667
Mouse_Thymus2,7,855,0.20103456383729132
Mouse_Thymus2,8,74,0.017399482718081356
Mouse_Thymus2,9,95,0.022337173759699035
Mouse_Thymus2,10,44,0.010345638372913237
Mouse_Thymus2,11,119,0.02798024923583353
Mouse_Thymus3,0,351,0.07554885923374946
Mouse_Thymus3,1,150,0.032285837279380114
Mouse_Thymus3,2,861,0.18532070598364184
Mouse_Thymus3,3,967,0.20813603099440378
Mouse_Thymus3,4,298,0.06414119672836849
Mouse_Thymus3,5,393,0.08458889367197589
Mouse_Thymus3,6,108,0.02324580284115368
Mouse_Thymus3,7,1045,0.22492466637968145
Mouse_Thymus3,8,90,0.019371502367628066
Mouse_Thymus3,9,61,0.013129573826947911
Mouse_Thymus3,10,284,0.06112785191562634
Mouse_Thymus3,11,38,0.008179078777442962
Mouse_Thymus4,0,239,0.0565279091769158
Mouse_Thymus4,1,84,0.019867549668874173
Mouse_Thymus4,2,724,0.17123935666982024
Mouse_Thymus4,3,88,0.020813623462630087
Mouse_Thymus4,4,131,0.03098391674550615
Mouse_Thymus4,5,817,0.19323557237464523
Mouse_Thymus4,6,423,0.1000473036896878
Mouse_Thymus4,7,831,0.1965468306527909
Mouse_Thymus4,8,134,0.031693472090823085
Mouse_Thymus4,9,117,0.027672658467360455
Mouse_Thymus4,10,258,0.061021759697256386
Mouse_Thymus4,11,382,0.09035004730368969
