section,obs_name,cluster,x,y
Mouse_Thymus4,42_81,3,14386.0,15900.0
Mouse_Thymus4,48_23,6,14986.0,10100.0
Mouse_Thymus4,5_39,2,10686.0,11700.0
Mouse_Thymus4,28_72,5,12986.0,15000.0
Mouse_Thymus4,13_51,2,11486.0,12900.0
Mouse_Thymus4,24_69,3,12586.0,14700.0
Mouse_Thymus4,33_16,0,13486.0,9400.0
Mouse_Thymus4,9_46,6,11086.0,12400.0
Mouse_Thymus4,54_8,3,15586.0,8600.0
Mouse_Thymus4,17_39,3,11886.0,11700.0
Mouse_Thymus4,45_103,6,14686.0,18100.0
Mouse_Thymus4,46_79,3,14786.0,15700.0
Mouse_Thymus4,24_62,5,12586.0,14000.0
Mouse_Thymus4,64_27,2,16586.0,10500.0
Mouse_Thymus4,35_60,1,13686.0,13800.0
Mouse_Thymus4,46_113,2,14786.0,19100.0
Mouse_Thymus4,52_106,3,15386.0,18400.0
Mouse_Thymus4,52_4,6,15386.0,8200.0
Mouse_Thymus4,21_59,6,12286.0,13700.0
Mouse_Thymus4,63_29,1,16486.0,10700.0
Mouse_Thymus4,59_109,2,16086.0,18700.0
Mouse_Thymus4,49_110,3,15086.0,18800.0
Mouse_Thymus4,33_62,6,13486.0,14000.0
Mouse_Thymus4,53_31,2,15486.0,10900.0
Mouse_Thymus4,45_38,6,14686.0,11600.0
Mouse_Thymus4,35_90,5,13686.0,16800.0
Mouse_Thymus4,55_23,2,15686.0,10100.0
Mouse_Thymus4,29_46,2,13086.0,12400.0
Mouse_Thymus4,38_58,5,13986.0,13600.0
Mouse_Thymus4,17_65,3,11886.0,14300.0
Mouse_Thymus4,12_31,7,11386.0,10900.0
Mouse_Thymus4,26_21,7,12786.0,9900.0
Mouse_Thymus4,34_96,0,13586.0,17400.0
Mouse_Thymus4,26_60,3,12786.0,13800.0
Mouse_Thymus4,56_100,5,15786.0,17800.0
Mouse_Thymus4,56_103,2,15786.0,18100.0
Mouse_Thymus4,48_111,0,14986.0,18900.0
Mouse_Thymus4,30_90,2,13186.0,16800.0
Mouse_Thymus4,46_81,3,14786.0,15900.0
Mouse_Thymus4,43_26,3,14486.0,10400.0
Mouse_Thymus4,48_25,1,14986.0,10300.0
Mouse_Thymus4,12_32,7,11386.0,11000.0
Mouse_Thymus4,37_14,6,13886.0,9200.0
Mouse_Thymus4,25_32,3,12686.0,11000.0
Mouse_Thymus4,36_87,2,13786.0,16500.0
Mouse_Thymus4,37_55,5,13886.0,13300.0
Mouse_Thymus4,57_97,2,15886.0,17500.0
Mouse_Thymus4,28_43,5,12986.0,12100.0
Mouse_Thymus4,65_7,0,16686.0,8500.0
Mouse_Thymus4,24_23,7,12586.0,10100.0
Mouse_Thymus4,63_26,2,16486.0,10400.0
Mouse_Thymus4,24_35,3,12586.0,11300.0
Mouse_Thymus4,26_80,6,12786.0,15800.0
Mouse_Thymus4,37_18,6,13886.0,9600.0
Mouse_Thymus4,46_33,1,14786.0,11100.0
Mouse_Thymus4,22_30,6,12386.0,10800.0
Mouse_Thymus4,35_79,6,13686.0,15700.0
Mouse_Thymus4,30_39,6,13186.0,11700.0
Mouse_Thymus4,49_104,5,15086.0,18200.0
Mouse_Thymus4,54_87,2,15586.0,16500.0
Mouse_Thymus4,47_75,5,14886.0,15300.0
Mouse_Thymus4,42_26,3,14386.0,10400.0
Mouse_Thymus4,13_42,6,11486.0,12000.0
Mouse_Thymus4,42_39,6,14386.0,11700.0
Mouse_Thymus4,20_37,3,12186.0,11500.0
Mouse_Thymus4,43_86,5,14486.0,16400.0
Mouse_Thymus4,26_59,3,12786.0,13700.0
Mouse_Thymus4,24_80,2,12586.0,15800.0
Mouse_Thymus4,59_84,2,16086.0,16200.0
Mouse_Thymus4,42_54,3,14386.0,13200.0
Mouse_Thymus4,13_39,6,11486.0,11700.0
Mouse_Thymus4,29_58,3,13086.0,13600.0
Mouse_Thymus4,39_87,0,14086.0,16500.0
Mouse_Thymus4,58_106,2,15986.0,18400.0
Mouse_Thymus4,24_25,2,12586.0,10300.0
Mouse_Thymus4,25_72,6,12686.0,15000.0
Mouse_Thymus4,32_64,2,13386.0,14200.0
Mouse_Thymus4,37_72,5,13886.0,15000.0
Mouse_Thymus4,39_85,6,14086.0,16300.0
Mouse_Thymus4,41_83,2,14286.0,16100.0
Mouse_Thymus4,55_89,2,15686.0,16700.0
Mouse_Thymus4,62_11,6,16386.0,8900.0
Mouse_Thymus4,26_34,3,12786.0,11200.0
Mouse_Thymus4,52_116,7,15386.0,19400.0
Mouse_Thymus4,59_29,6,16086.0,10700.0
Mouse_Thymus4,49_48,0,15086.0,12600.0
Mouse_Thymus4,3_59,2,10486.0,13700.0
Mouse_Thymus4,36_60,5,13786.0,13800.0
Mouse_Thymus4,31_88,5,13286.0,16600.0
Mouse_Thymus4,22_55,1,12386.0,13300.0
Mouse_Thymus4,13_53,0,11486.0,13100.0
Mouse_Thymus4,48_4,5,14986.0,8200.0
Mouse_Thymus4,36_24,3,13786.0,10200.0
Mouse_Thymus4,39_88,6,14086.0,16600.0
Mouse_Thymus4,56_16,6,15786.0,9400.0
Mouse_Thymus4,7_56,6,10886.0,13400.0
Mouse_Thymus4,9_56,6,11086.0,13400.0
Mouse_Thymus4,24_56,5,12586.0,13400.0
Mouse_Thymus4,39_38,2,14086.0,11600.0
Mouse_Thymus4,10_63,2,11186.0,14100.0
Mouse_Thymus4,50_108,3,15186.0,18600.0
Mouse_Thymus4,48_40,4,14986.0,11800.0
Mouse_Thymus4,56_108,5,15786.0,18600.0
Mouse_Thymus4,64_23,0,16586.0,10100.0
Mouse_Thymus4,32_39,6,13386.0,11700.0
Mouse_Thymus4,10_46,6,11186.0,12400.0
Mouse_Thymus4,33_25,5,13486.0,10300.0
Mouse_Thymus4,46_111,2,14786.0,18900.0
Mouse_Thymus4,42_56,3,14386.0,13400.0
Mouse_Thymus4,27_87,2,12886.0,16500.0
Mouse_Thymus4,57_92,2,15886.0,17000.0
Mouse_Thymus4,39_59,5,14086.0,13700.0
Mouse_Thymus4,21_44,3,12286.0,12200.0
Mouse_Thymus4,29_20,7,13086.0,9800.0
Mouse_Thymus4,57_29,2,15886.0,10700.0
Mouse_Thymus4,33_71,5,13486.0,14900.0
Mouse_Thymus4,23_80,6,12486.0,15800.0
Mouse_Thymus4,36_76,2,13786.0,15400.0
Mouse_Thymus4,63_2,2,16486.0,8000.0
Mouse_Thymus4,40_26,3,14186.0,10400.0
