section,cluster,count,fraction
Mouse_Thymus1,0,14,0.0029806259314456036
Mouse_Thymus1,1,4159,0.8854588034915903
Mouse_Thymus1,2,3,0.0006387055567383436
Mouse_Thymus1,3,1,0.00021290185224611454
Mouse_Thymus1,4,520,0.11070896316797957
Mouse_Thymus2,0,1258,0.29579120620738303
Mouse_Thymus2,2,1872,0.44015988713849047
Mouse_Thymus2,3,1041,0.24476839877733364
Mouse_Thymus2,4,82,0.019280507876792852
Mouse_Thymus3,0,1290,0.27765820060266894
Mouse_Thymus3,2,2107,0.45350839431769263
Mouse_Thymus3,3,1148,0.24709427464485578
Mouse_Thymus3,4,101,0.021739130434782608
Mouse_Thymus4,0,1246,0.2947019867549669
Mouse_Thymus4,2,1908,0.4512771996215705
Mouse_Thymus4,3,989,0.2339167455061495
Mouse_Thymus4,4,85,0.02010406811731315
