section,obs_name,cluster,x,y
Mouse_Thymus1,0_22,7,8919.0,13270.0
Mouse_Thymus1,0_33,3,8919.0,14370.0
Mouse_Thymus1,0_40,3,8919.0,15070.0
Mouse_Thymus1,0_41,3,8919.0,15170.0
Mouse_Thymus1,0_42,3,8919.0,15270.0
Mouse_Thymus1,10_10,2,9919.0,12070.0
Mouse_Thymus1,10_11,2,9919.0,12170.0
Mouse_Thymus1,10_12,3,9919.0,12270.0
Mouse_Thymus1,10_13,3,9919.0,12370.0
Mouse_Thymus1,10_14,3,9919.0,12470.0
Mouse_Thymus1,10_15,3,9919.0,12570.0
Mouse_Thymus1,10_16,3,9919.0,12670.0
Mouse_Thymus1,10_17,7,9919.0,12770.0
Mouse_Thymus1,10_18,3,9919.0,12870.0
Mouse_Thymus1,10_19,3,9919.0,12970.0
Mouse_Thymus1,10_20,6,9919.0,13070.0
Mouse_Thymus1,10_21,3,9919.0,13170.0
Mouse_Thymus1,10_22,3,9919.0,13270.0
Mouse_Thymus1,10_23,2,9919.0,13370.0
Mouse_Thymus1,10_24,2,9919.0,13470.0
Mouse_Thymus1,10_25,3,9919.0,13570.0
Mouse_Thymus1,10_26,3,9919.0,13670.0
Mouse_Thymus1,10_27,3,9919.0,13770.0
Mouse_Thymus1,10_28,3,9919.0,13870.0
Mouse_Thymus1,10_29,3,9919.0,13970.0
Mouse_Thymus1,10_30,3,9919.0,14070.0
Mouse_Thymus1,10_31,2,9919.0,14170.0
Mouse_Thymus1,10_32,3,9919.0,14270.0
Mouse_Thymus1,10_33,3,9919.0,14370.0
Mouse_Thymus1,10_34,7,9919.0,14470.0
Mouse_Thymus1,10_35,2,9919.0,14570.0
Mouse_Thymus1,10_36,3,9919.0,14670.0
Mouse_Thymus1,10_37,3,9919.0,14770.0
Mouse_Thymus1,10_38,3,9919.0,14870.0
Mouse_Thymus1,10_39,2,9919.0,14970.0
Mouse_Thymus1,10_4,3,9919.0,11470.0
Mouse_Thymus1,10_40,3,9919.0,15070.0
Mouse_Thymus1,10_41,3,9919.0,15170.0
Mouse_Thymus1,10_42,3,9919.0,15270.0
Mouse_Thymus1,10_43,3,9919.0,15370.0
Mouse_Thymus1,10_44,3,9919.0,15470.0
Mouse_Thymus1,10_45,2,9919.0,15570.0
Mouse_Thymus1,10_46,3,9919.0,15670.0
Mouse_Thymus1,10_47,3,9919.0,15770.0
Mouse_Thymus1,10_48,2,9919.0,15870.0
Mouse_Thymus1,10_49,3,9919.0,15970.0
Mouse_Thymus1,10_5,3,9919.0,11570.0
Mouse_Thymus1,10_50,3,9919.0,16070.0
Mouse_Thymus1,10_51,3,9919.0,16170.0
Mouse_Thymus1,10_52,3,9919.0,16270.0
Mouse_Thymus1,10_53,3,9919.0,16370.0
Mouse_Thymus1,10_54,6,9919.0,16470.0
Mouse_Thymus1,10_55,3,9919.0,16570.0
Mouse_Thymus1,10_56,3,9919.0,16670.0
Mouse_Thymus1,10_57,3,9919.0,16770.0
Mouse_Thymus1,10_58,3,9919.0,16870.0
Mouse_Thymus1,10_59,2,9919.0,16970.0
Mouse_Thymus1,10_6,3,9919.0,11670.0
Mouse_Thymus1,10_60,3,9919.0,17070.0
Mouse_Thymus1,10_61,3,9919.0,17170.0
Mouse_Thymus1,10_62,3,9919.0,17270.0
Mouse_Thymus1,10_63,2,9919.0,17370.0
Mouse_Thymus1,10_64,3,9919.0,17470.0
Mouse_Thymus1,10_65,3,9919.0,17570.0
Mouse_Thymus1,10_66,3,9919.0,17670.0
Mouse_Thymus1,10_67,7,9919.0,17770.0
Mouse_Thymus1,10_68,3,9919.0,17870.0
Mouse_Thymus1,10_69,3,9919.0,17970.0
Mouse_Thymus1,10_7,3,9919.0,11770.0
Mouse_Thymus1,10_70,3,9919.0,18070.0
Mouse_Thymus1,10_71,3,9919.0,18170.0
Mouse_Thymus1,10_72,3,9919.0,18270.0
Mouse_Thymus1,10_73,3,9919.0,18370.0
Mouse_Thymus1,10_74,3,9919.0,18470.0
Mouse_Thymus1,10_75,6,9919.0,18570.0
Mouse_Thymus1,10_8,3,9919.0,11870.0
Mouse_Thymus1,10_9,3,9919.0,11970.0
Mouse_Thymus1,11_10,2,10019.0,12070.0
Mouse_Thymus1,11_11,3,10019.0,12170.0
Mouse_Thymus1,11_12,7,10019.0,12270.0
Mouse_Thymus1,11_13,3,10019.0,12370.0
Mouse_Thymus1,11_14,3,10019.0,12470.0
Mouse_Thymus1,11_15,3,10019.0,12570.0
Mouse_Thymus1,11_16,7,10019.0,12670.0
Mouse_Thymus1,11_17,3,10019.0,12770.0
Mouse_Thymus1,11_18,3,10019.0,12870.0
Mouse_Thymus1,11_19,2,10019.0,12970.0
