mode,scope,k,n_obs,embedding_dim,cluster_asw,cluster_asw_scaled,cluster_asw_n_obs,calinski_harabasz,davies_bouldin,ch_dbi_n_obs,section_ari,section_nmi,section_asw,section_asw_n_obs,metric_space,labels_path
joint,combined,2,17824,128,0.29585883021354675,0.6479294151067734,10000,6172.035832563344,1.3582471113334027,17824,0.33428117419340575,0.5578081509116221,0.09531416743993759,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_all.csv
joint,combined,3,17824,128,0.28259652853012085,0.6412982642650604,10000,5844.515370354463,1.3947507642121115,17824,0.33518540478162795,0.4473811269762398,0.09531416743993759,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_all.csv
joint,combined,4,17824,128,0.2945232689380646,0.6472616344690323,10000,4529.691285055417,1.4812985712884095,17824,0.30787485119159397,0.4181558049029321,0.09531416743993759,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_all.csv
joint,combined,5,17824,128,0.26904726028442383,0.6345236301422119,10000,3833.353970152574,2.120121112245443,17824,0.30472438859649964,0.3778568241545979,0.09531416743993759,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_all.csv
joint,combined,6,17824,128,0.25934848189353943,0.6296742409467697,10000,3307.761330021113,2.0467087982768475,17824,0.26265406166456,0.3701367428133816,0.09531416743993759,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_all.csv
joint,combined,7,17824,128,0.23183061182498932,0.6159153059124947,10000,2947.621556521732,2.0501403705442365,17824,0.25857262310881785,0.34831610554112513,0.09531416743993759,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_all.csv
joint,combined,8,17824,128,0.23661716282367706,0.6183085814118385,10000,2667.636044153776,1.9567506368339131,17824,0.2453716220776257,0.3487513291323797,0.09531416743993759,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_all.csv
joint,combined,9,17824,128,0.2226802259683609,0.6113401129841805,10000,2453.3184796058786,2.191596735306782,17824,0.24333832031090524,0.3368837073784491,0.09531416743993759,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_all.csv
joint,combined,10,17824,128,0.2020351141691208,0.6010175570845604,10000,2284.224316010894,2.078468810133937,17824,0.238465470661718,0.32528959713536887,0.09531416743993759,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_all.csv
joint,combined,11,17824,128,0.19891944527626038,0.5994597226381302,10000,2139.854759891445,2.11496875483703,17824,0.23883833567853746,0.3189579765182134,0.09531416743993759,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_all.csv
joint,combined,12,17824,128,0.16871052980422974,0.5843552649021149,10000,2009.591642099113,2.1161034786446264,17824,0.2374174325902363,0.30966775035961314,0.09531416743993759,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_all.csv
independent,Mouse_Thymus1,2,4697,128,0.31452691555023193,0.657263457775116,2635,871.2999597061325,2.166375464561866,4697,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k2/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,3,4697,128,0.3360045254230499,0.668002262711525,2635,940.4396525483469,1.4996155701775553,4697,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k3/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,4,4697,128,0.33740997314453125,0.6687049865722656,2635,796.1704712325612,1.568909841562835,4697,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k4/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,5,4697,128,0.24325914680957794,0.621629573404789,2635,706.2356390708682,2.2160209639290924,4697,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,6,4697,128,0.24422577023506165,0.6221128851175308,2635,622.4058610433851,2.106245540320482,4697,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k6/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,7,4697,128,0.2074708491563797,0.6037354245781898,2635,555.372383170559,2.4276898683604564,4697,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k7/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,8,4697,128,0.19401097297668457,0.5970054864883423,2635,502.89666622519053,2.5430795511148228,4697,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k8/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,9,4697,128,0.06951935589313507,0.5347596779465675,2635,461.5648329017028,2.431401866867414,4697,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k9/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,10,4697,128,0.07407619059085846,0.5370380952954292,2635,429.6960598902348,2.3262482362360006,4697,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,11,4697,128,0.06412748992443085,0.5320637449622154,2635,403.44768836537935,2.4103521881808847,4697,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k11/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus1,12,4697,128,0.07245108485221863,0.5362255424261093,2635,379.10308848273377,2.2708729865935324,4697,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k12/labels_Mouse_Thymus1.csv
independent,Mouse_Thymus2,2,4253,128,0.24797505140304565,0.6239875257015228,2386,1284.7155093891904,1.515835271842492,4253,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k2/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus2,3,4253,128,0.23933911323547363,0.6196695566177368,2386,832.0001914639173,2.7395963644263372,4253,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k3/labels_Mouse_Thymus2.csv
