mode,k,section,n_obs,spatial_neighbor_k,neighbor_same_cluster_fraction,labels_path
joint,2,Mouse_Thymus1,4697,6,0.9615002483854943,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_Mouse_Thymus1.csv
joint,2,Mouse_Thymus2,4253,6,1.0,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_Mouse_Thymus2.csv
joint,2,Mouse_Thymus3,4646,6,1.0,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_Mouse_Thymus3.csv
joint,2,Mouse_Thymus4,4228,6,1.0,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_Mouse_Thymus4.csv
joint,3,Mouse_Thymus1,4697,6,0.9530196579376907,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_Mouse_Thymus1.csv
joint,3,Mouse_Thymus2,4253,6,0.8919586174465084,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_Mouse_Thymus2.csv
joint,3,Mouse_Thymus3,4646,6,0.8842014636246234,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_Mouse_Thymus3.csv
joint,3,Mouse_Thymus4,4228,6,0.8736991485335857,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_Mouse_Thymus4.csv
joint,4,Mouse_Thymus1,4697,6,0.7990561351217089,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_Mouse_Thymus1.csv
joint,4,Mouse_Thymus2,4253,6,0.8515165765342112,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_Mouse_Thymus2.csv
joint,4,Mouse_Thymus3,4646,6,0.8392882766537524,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_Mouse_Thymus3.csv
joint,4,Mouse_Thymus4,4228,6,0.8403894670450962,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_Mouse_Thymus4.csv
joint,5,Mouse_Thymus1,4697,6,0.7989496841955859,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_Mouse_Thymus1.csv
joint,5,Mouse_Thymus2,4253,6,0.6378634689238969,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_Mouse_Thymus2.csv
joint,5,Mouse_Thymus3,4646,6,0.6384344956234754,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_Mouse_Thymus3.csv
joint,5,Mouse_Thymus4,4228,6,0.6372989593188269,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_Mouse_Thymus4.csv
joint,6,Mouse_Thymus1,4697,6,0.6309701227734015,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_Mouse_Thymus1.csv
joint,6,Mouse_Thymus2,4253,6,0.6382161611411553,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_Mouse_Thymus2.csv
joint,6,Mouse_Thymus3,4646,6,0.6395824365045201,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_Mouse_Thymus3.csv
joint,6,Mouse_Thymus4,4228,6,0.6375748975086724,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_Mouse_Thymus4.csv
joint,7,Mouse_Thymus1,4697,6,0.6306507699950323,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_Mouse_Thymus1.csv
joint,7,Mouse_Thymus2,4253,6,0.5758288267105572,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_Mouse_Thymus2.csv
joint,7,Mouse_Thymus3,4646,6,0.5719256708279523,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_Mouse_Thymus3.csv
joint,7,Mouse_Thymus4,4228,6,0.5679990539262062,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_Mouse_Thymus4.csv
joint,8,Mouse_Thymus1,4697,6,0.5787736853310623,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_Mouse_Thymus1.csv
joint,8,Mouse_Thymus2,4253,6,0.5696763069206051,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_Mouse_Thymus2.csv
joint,8,Mouse_Thymus3,4646,6,0.5683383555746879,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_Mouse_Thymus3.csv
joint,8,Mouse_Thymus4,4228,6,0.5637811415957111,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_Mouse_Thymus4.csv
joint,9,Mouse_Thymus1,4697,6,0.5794478745298417,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_Mouse_Thymus1.csv
joint,9,Mouse_Thymus2,4253,6,0.5169292264284034,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_Mouse_Thymus2.csv
joint,9,Mouse_Thymus3,4646,6,0.5218826230449132,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_Mouse_Thymus3.csv
joint,9,Mouse_Thymus4,4228,6,0.5186849574266793,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_Mouse_Thymus4.csv
joint,10,Mouse_Thymus1,4697,6,0.5711092186502023,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_Mouse_Thymus1.csv
joint,10,Mouse_Thymus2,4253,6,0.4796222274472921,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_Mouse_Thymus2.csv
joint,10,Mouse_Thymus3,4646,6,0.49479839288276656,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_Mouse_Thymus3.csv
joint,10,Mouse_Thymus4,4228,6,0.49215547146010724,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_Mouse_Thymus4.csv
joint,11,Mouse_Thymus1,4697,6,0.5768220850188064,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_Mouse_Thymus1.csv
joint,11,Mouse_Thymus2,4253,6,0.4388666823418763,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_Mouse_Thymus2.csv
joint,11,Mouse_Thymus3,4646,6,0.45856650882479555,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_Mouse_Thymus3.csv
joint,11,Mouse_Thymus4,4228,6,0.4534058656575213,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_Mouse_Thymus4.csv
joint,12,Mouse_Thymus1,4697,6,0.5788446526151444,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_Mouse_Thymus1.csv
joint,12,Mouse_Thymus2,4253,6,0.3878438749118269,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_Mouse_Thymus2.csv
joint,12,Mouse_Thymus3,4646,6,0.41562634524321995,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_Mouse_Thymus3.csv
joint,12,Mouse_Thymus4,4228,6,0.41012298959318827,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_Mouse_Thymus4.csv
independent,2,Mouse_Thymus1,4697,6,0.6287701369668582,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k2/labels_Mouse_Thymus1.csv
independent,3,Mouse_Thymus1,4697,6,0.5973316301185153,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k3/labels_Mouse_Thymus1.csv
independent,4,Mouse_Thymus1,4697,6,0.5671705343836492,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k4/labels_Mouse_Thymus1.csv
independent,5,Mouse_Thymus1,4697,6,0.3626073380171741,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_Mouse_Thymus1.csv
independent,6,Mouse_Thymus1,4697,6,0.3578525299836775,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k6/labels_Mouse_Thymus1.csv
independent,7,Mouse_Thymus1,4697,6,0.2984883968490526,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k7/labels_Mouse_Thymus1.csv
independent,8,Mouse_Thymus1,4697,6,0.25480803349655806,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k8/labels_Mouse_Thymus1.csv
independent,9,Mouse_Thymus1,4697,6,0.17539564260875737,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k9/labels_Mouse_Thymus1.csv
independent,10,Mouse_Thymus1,4697,6,0.1646795827123696,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_Mouse_Thymus1.csv
