mode,k,mean_spatial_neighbor_agreement
independent,2,0.8209099693366877
independent,3,0.6486028061444457
independent,4,0.5948089595968242
independent,5,0.4982578598608507
independent,6,0.46362259899254754
independent,7,0.41741011964608127
independent,8,0.38405060004188996
independent,9,0.3394543158844798
independent,10,0.32460296610236483
independent,11,0.30588091301466336
independent,12,0.29771386513403836
joint,2,0.9903750620963736
joint,3,0.900719721885602
joint,4,0.8325626138386921
joint,5,0.6781366520154463
joint,6,0.6365859044819373
joint,7,0.5866010803649371
joint,8,0.5701423723555166
joint,9,0.5342361703574594
joint,10,0.5094213276100921
joint,11,0.4819152854607499
joint,12,0.44810946559084486
