mode,scope,k,n_obs,raw_vs_standardized_ari,raw_vs_standardized_nmi
joint,combined,2,7866,0.9862777164774217,0.9675489574335134
joint,combined,3,7866,0.971092297241111,0.9455011587051879
joint,combined,4,7866,0.9866739733812367,0.9693656042799546
joint,combined,5,7866,0.9827455976619245,0.9650234981000505
joint,combined,6,7866,0.9652576478298439,0.9506959823566515
joint,combined,7,7866,0.960943284024691,0.9500707397637264
joint,combined,8,7866,0.9569873799655081,0.9451141271457965
joint,combined,9,7866,0.9179160143779094,0.921622927883648
joint,combined,10,7866,0.836436997023392,0.843067492398488
joint,combined,11,7866,0.780504505806667,0.8387932127617721
joint,combined,12,7866,0.6234154988852054,0.7253257899718042
independent,s1,5,2384,0.9604583889426068,0.9437690623888358
independent,s2,5,2820,0.9526008605587688,0.9299442022497268
independent,s3,5,2662,0.9713118917712852,0.950547791807986
independent,s1,6,2384,0.9544140760172308,0.9392230762780612
independent,s2,6,2820,0.9360035660766773,0.9293740482247727
independent,s3,6,2662,0.9606309532873414,0.9459888407791363
independent,s1,8,2384,0.9202463239057255,0.9220461722121411
independent,s2,8,2820,0.953668090388526,0.9472805805361998
independent,s3,8,2662,0.8029629494520982,0.8550947989807777
independent,s1,10,2384,0.9010521830826755,0.8986796759934459
independent,s2,10,2820,0.9418903593090087,0.938368668971704
independent,s3,10,2662,0.9446416279137445,0.9448408555749944
