mode,scope,k,n_obs,embedding_dim,cluster_asw,cluster_asw_scaled,calinski_harabasz,davies_bouldin,section_ari,section_nmi,section_asw,metric_space,labels_path
joint,combined,2,7866,128,0.15431074798107147,0.5771553739905357,1459.1932044823113,2.1924273807360235,0.0012277040066101528,0.00090168836154421,0.001647479017265141,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_all.csv
joint,combined,3,7866,128,0.18514536321163177,0.5925726816058159,1327.947209462328,2.2426776769590786,0.002832054571293264,0.0026304851248476714,0.001647479017265141,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_all.csv
joint,combined,4,7866,128,0.20008209347724915,0.6000410467386246,1168.1776269309034,1.958126679126022,0.003391855682026872,0.0036750481339450736,0.001647479017265141,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_all.csv
joint,combined,5,7866,128,0.17039594054222107,0.5851979702711105,1032.6745512737014,2.0603973445436936,0.0035816379010866622,0.0034910777495129825,0.001647479017265141,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_all.csv
joint,combined,6,7866,128,0.1464090496301651,0.5732045248150826,953.329343417957,2.1617955869589554,0.0025807204663727728,0.00344367302171774,0.001647479017265141,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_all.csv
joint,combined,7,7866,128,0.15524649620056152,0.5776232481002808,880.3932460756123,2.125448277777559,0.0025500578809784127,0.0036951955222150543,0.001647479017265141,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_all.csv
joint,combined,8,7866,128,0.15089985728263855,0.5754499286413193,819.2566235992595,2.1601269809382337,0.001961261212119697,0.003739543352799123,0.001647479017265141,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_all.csv
joint,combined,9,7866,128,0.13713520765304565,0.5685676038265228,762.6225983499025,2.267928261603428,0.0019660071270152725,0.003317457248735807,0.001647479017265141,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_all.csv
joint,combined,10,7866,128,0.13959021866321564,0.5697951093316078,715.7261584422165,2.208235022616268,0.0022472074946900105,0.004814552718800216,0.001647479017265141,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_all.csv
joint,combined,11,7866,128,0.13842318952083588,0.5692115947604179,676.6612161650768,2.1851378917913844,0.0025916546711391335,0.007034145333836311,0.001647479017265141,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_all.csv
joint,combined,12,7866,128,0.13045361638069153,0.5652268081903458,642.7997887215876,2.1891488721571886,0.0027057097917669065,0.006299258254914322,0.001647479017265141,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_all.csv
independent,s1,5,2384,128,0.1822870373725891,0.5911435186862946,337.0842411414896,1.88095938295662,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_s1.csv
independent,s2,5,2820,128,0.18050315976142883,0.5902515798807144,398.7604909098908,2.0198389674968453,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_s2.csv
