mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_rows_in_full_order
joint,combined,RegionLoupe,7866,9,2,0.4234254136526788,0.4492827106376266,0.3134321007491062,0.7929859308139139,0.4492827106376266,0.1138655170798301,0.5569327585399151,"0,1,2,3,4"
joint,combined,annotations,7866,11,2,0.3580598272889337,0.4069148901823441,0.2735390650547522,0.7941248980487284,0.4069148901823441,0.0999627262353897,0.5499813631176949,"0,1,2,3,4"
joint,combined,celltype,5046,11,2,0.3237507259905233,0.385835247448948,0.2582015004120873,0.7630003368204504,0.385835247448948,0.0976425483822822,0.5488212741911411,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,2,0.4234254136526788,0.4492827106376266,0.3134321007491062,0.7929859308139139,0.4492827106376266,0.1138655170798301,0.5569327585399151,"0,1,2,3,4"
joint,combined,Y,7866,12,2,0.2062998042676916,0.2957416632264858,0.1948031526000639,0.6137711404458736,0.2957416632264859,0.0024914017412811,0.5012457008706406,"0,1,2,3,4"
joint,combined,RegionLoupe,7866,9,3,0.6103726635147011,0.5946371670236756,0.4893125158280062,0.7577411553872585,0.5946371670236756,0.1138655170798301,0.5569327585399151,"0,1,2,3,4"
joint,combined,annotations,7866,11,3,0.5184855466121129,0.546245088268099,0.4268231403150108,0.7584552361844392,0.5462450882680989,0.0999627262353897,0.5499813631176949,"0,1,2,3,4"
joint,combined,celltype,5046,11,3,0.4911074016164237,0.5355929454252059,0.4147848278685024,0.7556919302898325,0.535592945425206,0.0976425483822822,0.5488212741911411,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,3,0.6103726635147011,0.5946371670236756,0.4893125158280062,0.7577411553872585,0.5946371670236756,0.1138655170798301,0.5569327585399151,"0,1,2,3,4"
joint,combined,Y,7866,12,3,0.3062888630090382,0.4180158858298892,0.3173856017291904,0.6120829002399559,0.4180158858298892,0.0024914017412811,0.5012457008706406,"0,1,2,3,4"
joint,combined,RegionLoupe,7866,9,4,0.6974860896059695,0.6560449033537153,0.5752421030698235,0.7632577907683435,0.6560449033537152,0.1138655170798301,0.5569327585399151,"0,1,2,3,4"
joint,combined,annotations,7866,11,4,0.6021764053598967,0.6058827114599887,0.5019127019222429,0.7641809601645665,0.6058827114599887,0.0999627262353897,0.5499813631176949,"0,1,2,3,4"
