mode,k,section,n_obs,spatial_neighbor_k,neighbor_same_cluster_fraction,labels_path
joint,2,s1,2384,6,0.9510626398210291,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_s1.csv
joint,2,s2,2820,6,0.9511229314420804,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_s2.csv
joint,2,s3,2662,6,0.9430252942649637,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_s3.csv
joint,3,s1,2384,6,0.8993288590604027,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_s1.csv
joint,3,s2,2820,6,0.892434988179669,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_s2.csv
joint,3,s3,2662,6,0.8937515652391685,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_s3.csv
joint,4,s1,2384,6,0.891988255033557,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_s1.csv
joint,4,s2,2820,6,0.8887115839243499,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_s2.csv
joint,4,s3,2662,6,0.8914976208364638,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_s3.csv
joint,5,s1,2384,6,0.8709451901565995,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_s1.csv
joint,5,s2,2820,6,0.8605791962174941,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_s2.csv
joint,5,s3,2662,6,0.864763335837716,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_s3.csv
joint,6,s1,2384,6,0.8273909395973155,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_s1.csv
joint,6,s2,2820,6,0.8147754137115839,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_s2.csv
joint,6,s3,2662,6,0.8230653643876784,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_s3.csv
joint,7,s1,2384,6,0.8022930648769575,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_s1.csv
joint,7,s2,2820,6,0.7966903073286052,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_s2.csv
joint,7,s3,2662,6,0.8029050838968195,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_s3.csv
joint,8,s1,2384,6,0.7780341163310962,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_s1.csv
joint,8,s2,2820,6,0.7640070921985815,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_s2.csv
joint,8,s3,2662,6,0.7789882294014525,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_s3.csv
joint,9,s1,2384,6,0.7253215883668904,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_s1.csv
joint,9,s2,2820,6,0.7243498817966904,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_s2.csv
joint,9,s3,2662,6,0.7345354370147759,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_s3.csv
joint,10,s1,2384,6,0.6989653243847874,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_s1.csv
joint,10,s2,2820,6,0.7182624113475178,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_s2.csv
joint,10,s3,2662,6,0.7305284247433008,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_s3.csv
joint,11,s1,2384,6,0.700503355704698,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_s1.csv
joint,11,s2,2820,6,0.7118203309692671,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_s2.csv
joint,11,s3,2662,6,0.7268344603055347,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_s3.csv
joint,12,s1,2384,6,0.5645973154362416,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_s1.csv
