section,cluster,count,fraction
s1,0,159,0.06669463087248322
s1,1,813,0.3410234899328859
s1,2,586,0.24580536912751677
s1,3,244,0.10234899328859061
s1,4,342,0.14345637583892618
s1,5,240,0.10067114093959731
s2,0,402,0.1425531914893617
s2,1,611,0.21666666666666667
s2,2,765,0.2712765957446808
s2,3,379,0.13439716312056738
s2,4,406,0.14397163120567377
s2,5,257,0.09113475177304965
s3,0,400,0.15026296018031554
s3,1,410,0.15401953418482345
s3,2,584,0.2193839218632607
s3,3,242,0.09090909090909091
s3,4,695,0.2610818933132983
s3,5,331,0.12434259954921112
