section,cluster,count,fraction
s1,0,233,0.09773489932885907
s1,1,146,0.061241610738255035
s1,2,223,0.09354026845637584
s1,3,261,0.10947986577181208
s1,4,142,0.05956375838926174
s1,5,416,0.174496644295302
s1,6,173,0.07256711409395973
s1,7,192,0.08053691275167785
s1,8,334,0.1401006711409396
s1,9,264,0.11073825503355705
s2,0,254,0.09007092198581561
s2,1,179,0.06347517730496453
s2,2,286,0.10141843971631205
s2,3,339,0.1202127659574468
s2,4,113,0.040070921985815605
s2,5,354,0.125531914893617
s2,6,205,0.0726950354609929
s2,7,279,0.09893617021276596
s2,8,420,0.14893617021276595
s2,9,391,0.13865248226950355
s3,0,346,0.12997746055597295
s3,1,171,0.0642374154770849
s3,2,326,0.12246431254695718
s3,3,345,0.12960180315552217
s3,4,128,0.04808414725770098
s3,5,363,0.13636363636363635
s3,6,169,0.06348610067618332
s3,7,240,0.09015777610818933
s3,8,294,0.11044327573253193
s3,9,280,0.10518407212622088
