mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_rows_in_full_order
joint,combined,RegionLoupe,7866,9,2,0.4215152934686232,0.4502926736295394,0.3139705024739522,0.7958341964183161,0.4502926736295394,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,annotations,7866,11,2,0.356842631194152,0.4079131721994078,0.2740789486234551,0.7971808802662915,0.4079131721994078,0.0930537730455398,0.5465268865227699,"0,1,2,3,4"
joint,combined,celltype,5046,11,2,0.3228837087852624,0.3871569512025424,0.2589909031057129,0.7664455537045477,0.3871569512025423,0.090527594089508,0.545263797044754,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,2,0.4215152934686232,0.4502926736295394,0.3139705024739522,0.7958341964183161,0.4502926736295394,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,Y,7866,12,2,0.2056706590207981,0.2973363619881083,0.1957654586818689,0.6179570470424465,0.2973363619881083,0.0027537632267922,0.5013768816133961,"0,1,2,3,4"
joint,combined,RegionLoupe,7866,9,3,0.6062425953673194,0.5915461310902689,0.4867959609425064,0.7537375735167267,0.591546131090269,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,annotations,7866,11,3,0.5159579723246963,0.5434251567355968,0.4246413142926504,0.7544715889409018,0.5434251567355968,0.0930537730455398,0.5465268865227699,"0,1,2,3,4"
joint,combined,celltype,5046,11,3,0.4847677104247619,0.5302904118737525,0.410681482411473,0.7481998912309559,0.5302904118737525,0.090527594089508,0.545263797044754,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,3,0.6062425953673194,0.5915461310902689,0.4867959609425064,0.7537375735167267,0.591546131090269,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,Y,7866,12,3,0.3058728306864441,0.4157373296621174,0.3156707975928939,0.6086898796961533,0.4157373296621174,0.0027537632267922,0.5013768816133961,"0,1,2,3,4"
joint,combined,RegionLoupe,7866,9,4,0.6961889124489897,0.6546767370822856,0.5741704646336707,0.7614407774880345,0.6546767370822856,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,annotations,7866,11,4,0.6010918336081709,0.6047201357597056,0.5010526739592833,0.7624758842266471,0.6047201357597056,0.0930537730455398,0.5465268865227699,"0,1,2,3,4"
joint,combined,celltype,5046,11,4,0.5770140409520019,0.595773598783948,0.4899147254197496,0.759989094029885,0.595773598783948,0.090527594089508,0.545263797044754,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,4,0.6961889124489897,0.6546767370822856,0.5741704646336707,0.7614407774880345,0.6546767370822856,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,Y,7866,12,4,0.364251207852689,0.4759123283796694,0.3820393169186122,0.6309454554675396,0.4759123283796694,0.0027537632267922,0.5013768816133961,"0,1,2,3,4"
joint,combined,RegionLoupe,7866,9,5,0.7653660346214896,0.6781525545770299,0.6416449449143462,0.7190651331141878,0.67815255457703,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,annotations,7866,11,5,0.697457457599868,0.6312434188943844,0.561062063262794,0.7214924716333063,0.6312434188943844,0.0930537730455398,0.5465268865227699,"0,1,2,3,4"
joint,combined,celltype,5046,11,5,0.6743168518806396,0.6223184840989501,0.5490954498292958,0.718075342865868,0.6223184840989501,0.090527594089508,0.545263797044754,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,5,0.7653660346214896,0.6781525545770299,0.6416449449143462,0.7190651331141878,0.67815255457703,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,Y,7866,12,5,0.4216330332187871,0.4917976197973144,0.422094182688395,0.5890759532719576,0.4917976197973144,0.0027537632267922,0.5013768816133961,"0,1,2,3,4"
joint,combined,RegionLoupe,7866,9,6,0.585561088833758,0.6377874473567469,0.6467039392393308,0.6291134855227037,0.637787447356747,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,annotations,7866,11,6,0.4929895971206071,0.5965464602935456,0.5654774689307158,0.6312279775230931,0.5965464602935456,0.0930537730455398,0.5465268865227699,"0,1,2,3,4"
joint,combined,celltype,5046,11,6,0.4822840928257269,0.589053263343274,0.5519408604550887,0.6315163045961073,0.5890532633432741,0.090527594089508,0.545263797044754,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,6,0.585561088833758,0.6377874473567469,0.6467039392393308,0.6291134855227037,0.637787447356747,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
