mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_rows_in_full_order,cluster_asw,cluster_asw_scaled,group_definition,labels_source,labels_path,labels_file_sha256,labels_vector_sha256,seed,n_init,max_iter,metric_space
joint,combined,group,7866,3,2,0.001268857549507881,0.0008967659370567509,0.0007207986610393592,0.0011863995071982683,0.0008967659370567509,0.0015938805881887674,0.5007969402940944,"0,1,2,3,4",0.1441319733858108,0.5720659866929054,aligned section vector: s1/s2/s3,deterministic_kmeans_recomputed_for_group_diagnostic,,,ab55436d6e57eb48e9a62a0b0dad020626866406b1905536bf0523ef3542e8f0,0,20,300,standardized_embedding
joint,combined,group,7866,3,3,0.0031954740774880813,0.0029484469322252314,0.0029404696096630503,0.002956467656555623,0.002948446932225232,0.0015938805881887674,0.5007969402940944,"0,1,2,3,4",0.1759683191776275,0.5879841595888138,aligned section vector: s1/s2/s3,deterministic_kmeans_recomputed_for_group_diagnostic,,,aa0bab6165d0202f283452920b0ebd34cd66b71ba0f6df0c45c63f9630277f85,0,20,300,standardized_embedding
joint,combined,group,7866,3,4,0.003402544975377732,0.003674331633336226,0.003970553757602972,0.0034192401188481475,0.003674331633336227,0.0015938805881887674,0.5007969402940944,"0,1,2,3,4",0.1934151202440261,0.5967075601220131,aligned section vector: s1/s2/s3,deterministic_kmeans_recomputed_for_group_diagnostic,,,9945bc47be42842c58294d390822bb87f96fda509c4aacac4570d87f9ebf2249,0,20,300,standardized_embedding
joint,combined,group,7866,3,5,0.0036492815405468454,0.0035575045574597875,0.00422307631254076,0.0030731631773348402,0.003557504557459788,0.0015938805881887674,0.5007969402940944,"0,1,2,3,4",0.1634997874498367,0.5817498937249184,aligned section vector: s1/s2/s3,retained_labels_csv,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_all.csv,8e22001d0d0a18f6f9479d864b0269174b9f8f07bca9067421302bcd518d171e,d7db232e797ead7398bfe225fd11e9d88fa0d9ccbab0e28a7a78d8290de6b1df,0,20,300,standardized_embedding
joint,combined,group,7866,3,6,0.002681300210699515,0.0035489446562110257,0.004583541961091355,0.0028953957848392277,0.0035489446562110257,0.0015938805881887674,0.5007969402940944,"0,1,2,3,4",0.1441130191087722,0.5720565095543861,aligned section vector: s1/s2/s3,retained_labels_csv,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_all.csv,1bdc5c8cad1845f07425cf31eb1ebc9eb272e1cfed0c9bdadbe953e7bc624abe,238eea717979dfc45ddc5aed1700393ab10700a8d05bfc45b388407be26e385e,0,20,300,standardized_embedding
joint,combined,group,7866,3,7,0.0028250952450212057,0.003970892905391153,0.005317114869948789,0.0031686367113982774,0.003970892905391153,0.0015938805881887674,0.5007969402940944,"0,1,2,3,4",0.152804747223854,0.576402373611927,aligned section vector: s1/s2/s3,deterministic_kmeans_recomputed_for_group_diagnostic,,,81bfa13caebef4bfac08e3dc82a49a30c97a8fbd3720b8bb6cf4ada9b0c21f3f,0,20,300,standardized_embedding
joint,combined,group,7866,3,8,0.0019718214718246287,0.003731600976720248,0.005265704317529633,0.0028897151745632416,0.003731600976720248,0.0015938805881887674,0.5007969402940944,"0,1,2,3,4",0.1472512930631637,0.5736256465315819,aligned section vector: s1/s2/s3,retained_labels_csv,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_all.csv,48887feaf1c5199c70476af0542285b4ef64606a8d6887cfed055d7c33478d94,a5725d1025e694efb12bfdf4f0c37b9f6691d5b30a6dac954e94656ce19597dc,0,20,300,standardized_embedding
joint,combined,group,7866,3,9,0.002269358861207549,0.0037732901578473796,0.005608007156633012,0.002843130790203356,0.0037732901578473805,0.0015938805881887674,0.5007969402940944,"0,1,2,3,4",0.1335325539112091,0.5667662769556046,aligned section vector: s1/s2/s3,deterministic_kmeans_recomputed_for_group_diagnostic,,,fc73b6b327bc7e655d3609400a7ecc17d0b9be4c6dfe42a2409e3cad56fefaa5,0,20,300,standardized_embedding
joint,combined,group,7866,3,10,0.002391647344241978,0.00410482899533047,0.006274937201769648,0.0030500184338458176,0.00410482899533047,0.0015938805881887674,0.5007969402940944,"0,1,2,3,4",0.1319329589605331,0.5659664794802666,aligned section vector: s1/s2/s3,retained_labels_csv,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_all.csv,75d7948ae05a5bffdc1c627758e18d00628748ffe7dee995281b55f155468b43,9a69aed250889a62d8800fdcc649089372573cec018fb306bcf4fd9e114ede01,0,20,300,standardized_embedding
joint,combined,group,7866,3,11,0.0027859842469061566,0.006108964432594011,0.009544411938985971,0.004492072761701098,0.00610896443259401,0.0015938805881887674,0.5007969402940944,"0,1,2,3,4",0.1397651135921478,0.5698825567960739,aligned section vector: s1/s2/s3,deterministic_kmeans_recomputed_for_group_diagnostic,,,aefa5a206c033933098f5b0db133025f3f68f2fa09cd9e1c43f9308d85491b85,0,20,300,standardized_embedding
joint,combined,group,7866,3,12,0.002293772142634152,0.005874238731920732,0.00933843975757922,0.004284758546963426,0.005874238731920732,0.0015938805881887674,0.5007969402940944,"0,1,2,3,4",0.1328250616788864,0.5664125308394432,aligned section vector: s1/s2/s3,deterministic_kmeans_recomputed_for_group_diagnostic,,,bfbdb2eedc0ce6bcc01044d63abb532cedad4d8ef98330dc208e7ad2cf0ca104,0,20,300,standardized_embedding
