mode,k,section,n_obs,spatial_neighbor_k,neighbor_same_cluster_fraction,labels_path
joint,2,s1,2384,6,0.9512723713646533,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_s1.csv
joint,2,s2,2820,6,0.9506501182033097,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_s2.csv
joint,2,s3,2662,6,0.9431505133984472,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_s3.csv
joint,3,s1,2384,6,0.9005872483221476,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_s1.csv
joint,3,s2,2820,6,0.8912529550827423,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_s2.csv
joint,3,s3,2662,6,0.8902454295016279,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_s3.csv
joint,4,s1,2384,6,0.893246644295302,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_s1.csv
joint,4,s2,2820,6,0.8894799054373522,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_s2.csv
joint,4,s3,2662,6,0.8902454295016279,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_s3.csv
joint,5,s1,2384,6,0.8702460850111857,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_s1.csv
joint,5,s2,2820,6,0.8601063829787234,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_s2.csv
joint,5,s3,2662,6,0.862885048835462,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_s3.csv
joint,6,s1,2384,6,0.8286493288590604,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_s1.csv
joint,6,s2,2820,6,0.8183215130023641,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_s2.csv
joint,6,s3,2662,6,0.8230653643876784,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_s3.csv
joint,7,s1,2384,6,0.8019435123042505,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_s1.csv
joint,7,s2,2820,6,0.8016548463356974,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_s2.csv
joint,7,s3,2662,6,0.8024042073628851,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_s3.csv
joint,8,s1,2384,6,0.7806907158836689,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_s1.csv
joint,8,s2,2820,6,0.7707446808510638,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_s2.csv
joint,8,s3,2662,6,0.7793012772351615,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_s3.csv
joint,9,s1,2384,6,0.725251677852349,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_s1.csv
joint,9,s2,2820,6,0.7290780141843972,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_s2.csv
joint,9,s3,2662,6,0.7442399198597546,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_s3.csv
joint,10,s1,2384,6,0.6833053691275168,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_s1.csv
joint,10,s2,2820,6,0.7122931442080378,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_s2.csv
joint,10,s3,2662,6,0.7139368895567243,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_s3.csv
joint,11,s1,2384,6,0.6407997762863534,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_s1.csv
joint,11,s2,2820,6,0.6779550827423168,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_s2.csv
joint,11,s3,2662,6,0.6781242173804157,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_s3.csv
joint,12,s1,2384,6,0.6822567114093959,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_s1.csv
joint,12,s2,2820,6,0.7027777777777777,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_s2.csv
joint,12,s3,2662,6,0.6998497370398197,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_s3.csv
independent,5,s1,2384,6,0.8696168903803132,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_s1.csv
independent,5,s2,2820,6,0.848404255319149,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_s2.csv
independent,5,s3,2662,6,0.8686451289757074,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_s3.csv
independent,6,s1,2384,6,0.8470357941834452,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/independent_k6/labels_s1.csv
independent,6,s2,2820,6,0.8179078014184397,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/independent_k6/labels_s2.csv
independent,6,s3,2662,6,0.8314550463310794,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/independent_k6/labels_s3.csv
independent,8,s1,2384,6,0.7856543624161074,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/independent_k8/labels_s1.csv
independent,8,s2,2820,6,0.7844562647754137,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/independent_k8/labels_s2.csv
independent,8,s3,2662,6,0.7728524918607563,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/independent_k8/labels_s3.csv
independent,10,s1,2384,6,0.7330816554809844,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_s1.csv
independent,10,s2,2820,6,0.7347517730496453,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_s2.csv
independent,10,s3,2662,6,0.7456173303280741,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_s3.csv
