mode,n_clusters,n_clusters_observed,cluster_asw,cluster_asw_scaled,dbi,calinski_harabasz,metric_n_obs,silhouette_sample_size,label_key,n_labeled,n_true_labels,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,section,spatial_neighbor_agreement
joint,5,5.0,0.34295594692230225,0.6714779734611511,1.3957163861035196,1547.1149904634783,6480.0,6480.0,spatial_domain,6480.0,5.0,0.4436532428397778,0.5558989079521525,0.5589630132456295,0.552868212937076,0.5558989079521525,0.3466120958328247,0.6733060479164124,,
joint,5,5.0,0.34295594692230225,0.6714779734611511,1.3957163861035196,1547.1149904634783,6480.0,6480.0,section,6480.0,5.0,-0.0005841959186694702,9.803975106828312e-07,9.66705770800472e-07,9.944826629073478e-07,9.803975106828312e-07,-0.0012484354665502906,0.49937578226672485,,
joint_section_spatial,5,,,,,,,,cluster,,,,,,,,,,Simulation1,0.5450102880658436
joint_section_spatial,5,,,,,,,,cluster,,,,,,,,,,Simulation2,0.5433384773662552
joint_section_spatial,5,,,,,,,,cluster,,,,,,,,,,Simulation3,0.5433384773662552
joint_section_spatial,5,,,,,,,,cluster,,,,,,,,,,Simulation4,0.5444958847736625
joint_section_spatial,5,,,,,,,,cluster,,,,,,,,,,Simulation5,0.5430812757201646
independent,5,5.0,0.33162957429885864,0.6658147871494293,1.4214125532900865,304.37724115283066,1296.0,1296.0,spatial_domain,1296.0,5.0,0.3272774800858605,0.4095301241938975,0.4173602965481381,0.4019883477637489,0.4095301241938975,0.346791535615921,0.6733957678079605,Simulation1,
independent_section_spatial,5,,,,,,,,cluster,,,,,,,,,,Simulation1,0.442772633744856
independent,5,5.0,0.33604854345321655,0.6680242717266083,1.4107769749732224,306.24963907942345,1296.0,1296.0,spatial_domain,1296.0,5.0,0.3727833924666244,0.4856712974866271,0.4916510107103003,0.4798352931157943,0.4856712974866271,0.34550198912620544,0.6727509945631027,Simulation2,
independent_section_spatial,5,,,,,,,,cluster,,,,,,,,,,Simulation2,0.49858539094650206
independent,5,5.0,0.35192152857780457,0.6759607642889023,1.5193168820865854,303.6241531181975,1296.0,1296.0,spatial_domain,1296.0,5.0,0.6278071815089213,0.7560872389404136,0.7675135643459241,0.7449961407173608,0.7560872389404137,0.34492015838623047,0.6724600791931152,Simulation3,
independent_section_spatial,5,,,,,,,,cluster,,,,,,,,,,Simulation3,0.7130915637860082
independent,5,5.0,0.33400407433509827,0.6670020371675491,1.3974305427058122,305.93327366661555,1296.0,1296.0,spatial_domain,1296.0,5.0,0.3546995249743352,0.4530869446217754,0.46023362291835557,0.4461588250044636,0.4530869446217754,0.34389960765838623,0.6719498038291931,Simulation4,
independent_section_spatial,5,,,,,,,,cluster,,,,,,,,,,Simulation4,0.4663065843621399
independent,5,5.0,0.3392416536808014,0.6696208268404007,1.4126702456582503,305.64251729138084,1296.0,1296.0,spatial_domain,1296.0,5.0,0.4430844944995438,0.5507538486022718,0.5543589781981277,0.5471953060869159,0.550753848602272,0.34368395805358887,0.6718419790267944,Simulation5,
independent_section_spatial,5,,,,,,,,cluster,,,,,,,,,,Simulation5,0.5347222222222222
joint,8,8.0,0.4370730519294739,0.7185365259647369,0.9394106295254734,2210.693267102372,6480.0,6480.0,spatial_domain,6480.0,5.0,0.379950164240033,0.5504979611468541,0.6363597028137022,0.4850516716613435,0.5504979611468541,0.3466120958328247,0.6733060479164124,,
joint,8,8.0,0.4370730519294739,0.7185365259647369,0.9394106295254734,2210.693267102372,6480.0,6480.0,section,6480.0,5.0,-0.0007500175301290048,5.202194506159975e-06,5.882102307789082e-06,4.663180915605807e-06,5.202194506159976e-06,-0.0012484354665502906,0.49937578226672485,,
joint_section_spatial,8,,,,,,,,cluster,,,,,,,,,,Simulation1,0.38657407407407407
joint_section_spatial,8,,,,,,,,cluster,,,,,,,,,,Simulation2,0.38837448559670784
joint_section_spatial,8,,,,,,,,cluster,,,,,,,,,,Simulation3,0.3856738683127572
joint_section_spatial,8,,,,,,,,cluster,,,,,,,,,,Simulation4,0.387988683127572
joint_section_spatial,8,,,,,,,,cluster,,,,,,,,,,Simulation5,0.3861882716049383
independent,8,8.0,0.43636584281921387,0.7181829214096069,0.9494956623323391,442.464620370216,1296.0,1296.0,spatial_domain,1296.0,5.0,0.37913208774330237,0.5380064558875219,0.6245524419683738,0.4725270547160336,0.5380064558875219,0.346791535615921,0.6733957678079605,Simulation1,
independent_section_spatial,8,,,,,,,,cluster,,,,,,,,,,Simulation1,0.3795010288065844
independent,8,8.0,0.4313657879829407,0.7156828939914703,0.9422179068439767,439.53938674377486,1296.0,1296.0,spatial_domain,1296.0,5.0,0.37161134976284577,0.529513675994727,0.6134211575126121,0.4657988699546844,0.5295136759947269,0.34550198912620544,0.6727509945631027,Simulation2,
independent_section_spatial,8,,,,,,,,cluster,,,,,,,,,,Simulation2,0.3820730452674897
independent,8,8.0,0.4352557361125946,0.7176278680562973,0.938895277914046,440.43950055336273,1296.0,1296.0,spatial_domain,1296.0,5.0,0.36741670172307594,0.5385883099792214,0.6221709025988238,0.4748031390836226,0.5385883099792214,0.34492015838623047,0.6724600791931152,Simulation3,
independent_section_spatial,8,,,,,,,,cluster,,,,,,,,,,Simulation3,0.37808641975308643
independent,8,8.0,0.4332873821258545,0.7166436910629272,0.9486526472509131,438.60390402867574,1296.0,1296.0,spatial_domain,1296.0,5.0,0.3650537700084229,0.5192533288466051,0.6019891333393695,0.4565115773431685,0.519253328846605,0.34389960765838623,0.6719498038291931,Simulation4,
independent_section_spatial,8,,,,,,,,cluster,,,,,,,,,,Simulation4,0.36934156378600824
independent,8,8.0,0.42760708928108215,0.7138035446405411,0.9467875950542729,436.68084172483765,1296.0,1296.0,spatial_domain,1296.0,5.0,0.3438137638643046,0.4992473440082337,0.5771237745231889,0.43988919297808404,0.4992473440082337,0.34368395805358887,0.6718419790267944,Simulation5,
independent_section_spatial,8,,,,,,,,cluster,,,,,,,,,,Simulation5,0.35789609053497945
joint,10,10.0,0.47147518396377563,0.7357375919818878,1.0467526989954685,2191.4296246126164,6480.0,6480.0,spatial_domain,6480.0,5.0,0.3868176002318705,0.5207026276769555,0.6380859067691234,0.43979690311196773,0.5207026276769555,0.3466120958328247,0.6733060479164124,,
joint,10,10.0,0.47147518396377563,0.7357375919818878,1.0467526989954685,2191.4296246126164,6480.0,6480.0,section,6480.0,5.0,-0.0008173468294745063,1.1292841042722799e-05,1.352296716977758e-05,9.694141702630857e-06,1.1292841042722799e-05,-0.0012484354665502906,0.49937578226672485,,
joint_section_spatial,10,,,,,,,,cluster,,,,,,,,,,Simulation1,0.35262345679012347
joint_section_spatial,10,,,,,,,,cluster,,,,,,,,,,Simulation2,0.3504372427983539
joint_section_spatial,10,,,,,,,,cluster,,,,,,,,,,Simulation3,0.3497942386831276
joint_section_spatial,10,,,,,,,,cluster,,,,,,,,,,Simulation4,0.35262345679012347
joint_section_spatial,10,,,,,,,,cluster,,,,,,,,,,Simulation5,0.3513374485596708
independent,10,10.0,0.4724665582180023,0.7362332791090012,1.0385763611574732,439.33789594676574,1296.0,1296.0,spatial_domain,1296.0,5.0,0.39342505005800155,0.5308296438203423,0.6513054309351666,0.44796662815286953,0.5308296438203423,0.346791535615921,0.6733957678079605,Simulation1,
independent_section_spatial,10,,,,,,,,cluster,,,,,,,,,,Simulation1,0.3577674897119342
independent,10,10.0,0.4726058542728424,0.7363029271364212,0.9907208814743015,437.01033157062756,1296.0,1296.0,spatial_domain,1296.0,5.0,0.4047153094156801,0.5369711163373114,0.6560170082320176,0.4544949644590321,0.5369711163373114,0.34550198912620544,0.6727509945631027,Simulation2,
independent_section_spatial,10,,,,,,,,cluster,,,,,,,,,,Simulation2,0.3707561728395062
independent,10,10.0,0.4679466485977173,0.7339733242988586,1.036666939035509,430.65883704950875,1296.0,1296.0,spatial_domain,1296.0,5.0,0.38222718345749385,0.5100023320606171,0.6241676012108587,0.43114284219600485,0.5100023320606171,0.34492015838623047,0.6724600791931152,Simulation3,
independent_section_spatial,10,,,,,,,,cluster,,,,,,,,,,Simulation3,0.3472222222222222
independent,10,10.0,0.4677812159061432,0.7338906079530716,0.9741593021427353,434.3119315031315,1296.0,1296.0,spatial_domain,1296.0,5.0,0.3938118998734928,0.5192979753533282,0.6333438216374585,0.44005714608484126,0.5192979753533281,0.34389960765838623,0.6719498038291931,Simulation4,
independent_section_spatial,10,,,,,,,,cluster,,,,,,,,,,Simulation4,0.36136831275720166
independent,10,10.0,0.468911737203598,0.734455868601799,0.9582643721827262,436.31577344220943,1296.0,1296.0,spatial_domain,1296.0,5.0,0.407743240013364,0.530835868584675,0.6480757945042344,0.4495162821088485,0.530835868584675,0.34368395805358887,0.6718419790267944,Simulation5,
independent_section_spatial,10,,,,,,,,cluster,,,,,,,,,,Simulation5,0.3757716049382716
joint,12,12.0,0.49004068970680237,0.7450203448534012,1.025478976482155,2185.1643585229617,6480.0,6480.0,spatial_domain,6480.0,5.0,0.3798680021114367,0.5225435643745568,0.6657474036439371,0.43004077726658096,0.522543564374557,0.3466120958328247,0.6733060479164124,,
joint,12,12.0,0.49004068970680237,0.7450203448534012,1.025478976482155,2185.1643585229617,6480.0,6480.0,section,6480.0,5.0,-0.0008557888419745122,9.816823962308519e-06,1.221435860695114e-05,8.206069274689559e-06,9.816823962308519e-06,-0.0012484354665502906,0.49937578226672485,,
joint_section_spatial,12,,,,,,,,cluster,,,,,,,,,,Simulation1,0.32253086419753085
joint_section_spatial,12,,,,,,,,cluster,,,,,,,,,,Simulation2,0.32150205761316875
