section,spot_index,obs_name,cluster,spatial_domain,stage
Simulation4,0,529,6,sp2,Simulation4
Simulation4,1,478,8,sp1,Simulation4
Simulation4,2,234,4,sp2,Simulation4
Simulation4,3,64,6,sp2,Simulation4
Simulation4,4,1087,2,sp3,Simulation4
Simulation4,5,743,5,sp4,Simulation4
Simulation4,6,539,11,sp2,Simulation4
Simulation4,7,266,8,sp1,Simulation4
Simulation4,8,963,1,sp4,Simulation4
Simulation4,9,959,0,background,Simulation4
Simulation4,10,462,7,sp2,Simulation4
Simulation4,11,348,3,background,Simulation4
Simulation4,12,806,6,background,Simulation4
Simulation4,13,496,4,sp2,Simulation4
Simulation4,14,652,1,sp3,Simulation4
Simulation4,15,1179,5,sp4,Simulation4
Simulation4,16,861,5,sp4,Simulation4
Simulation4,17,578,7,background,Simulation4
Simulation4,18,63,4,sp2,Simulation4
Simulation4,19,818,5,sp4,Simulation4
Simulation4,20,460,4,sp2,Simulation4
Simulation4,21,798,6,background,Simulation4
Simulation4,22,852,5,sp4,Simulation4
Simulation4,23,142,6,sp2,Simulation4
Simulation4,24,332,11,sp1,Simulation4
Simulation4,25,817,5,sp4,Simulation4
Simulation4,26,725,7,sp3,Simulation4
Simulation4,27,1022,3,background,Simulation4
Simulation4,28,1112,3,background,Simulation4
Simulation4,29,46,8,sp1,Simulation4
Simulation4,30,830,9,sp3,Simulation4
Simulation4,31,1015,2,sp3,Simulation4
Simulation4,32,104,4,sp2,Simulation4
Simulation4,33,1201,0,sp3,Simulation4
Simulation4,34,1220,3,background,Simulation4
Simulation4,35,696,3,background,Simulation4
Simulation4,36,490,4,sp2,Simulation4
Simulation4,37,319,4,sp2,Simulation4
Simulation4,38,893,10,sp4,Simulation4
Simulation4,39,524,4,sp2,Simulation4
Simulation4,40,468,7,background,Simulation4
Simulation4,41,1239,2,sp3,Simulation4
Simulation4,42,992,3,background,Simulation4
Simulation4,43,232,1,sp1,Simulation4
Simulation4,44,61,7,sp2,Simulation4
Simulation4,45,1000,10,sp4,Simulation4
Simulation4,46,79,8,sp1,Simulation4
Simulation4,47,404,8,sp1,Simulation4
Simulation4,48,14,3,background,Simulation4
Simulation4,49,16,3,background,Simulation4
Simulation4,50,626,3,background,Simulation4
Simulation4,51,853,5,sp4,Simulation4
Simulation4,52,821,5,sp4,Simulation4
Simulation4,53,1191,7,sp3,Simulation4
Simulation4,54,1005,3,background,Simulation4
Simulation4,55,592,0,background,Simulation4
Simulation4,56,562,6,sp2,Simulation4
Simulation4,57,1273,7,sp3,Simulation4
Simulation4,58,807,0,background,Simulation4
Simulation4,59,728,6,background,Simulation4
Simulation4,60,452,0,sp2,Simulation4
Simulation4,61,1081,2,sp3,Simulation4
Simulation4,62,1033,1,sp4,Simulation4
Simulation4,63,937,7,sp3,Simulation4
Simulation4,64,600,6,sp2,Simulation4
Simulation4,65,170,4,sp2,Simulation4
Simulation4,66,194,3,background,Simulation4
Simulation4,67,702,5,sp4,Simulation4
Simulation4,68,212,4,sp2,Simulation4
Simulation4,69,450,6,sp2,Simulation4
Simulation4,70,747,5,sp4,Simulation4
Simulation4,71,255,8,sp1,Simulation4
Simulation4,72,1008,0,sp3,Simulation4
Simulation4,73,646,4,sp2,Simulation4
Simulation4,74,120,0,background,Simulation4
Simulation4,75,537,7,sp2,Simulation4
Simulation4,76,96,4,sp2,Simulation4
Simulation4,77,223,8,sp1,Simulation4
Simulation4,78,1,0,background,Simulation4
Simulation4,79,627,3,background,Simulation4
Simulation4,80,837,3,background,Simulation4
Simulation4,81,1116,0,sp3,Simulation4
Simulation4,82,643,6,sp2,Simulation4
Simulation4,83,915,3,background,Simulation4
Simulation4,84,889,9,sp4,Simulation4
Simulation4,85,283,7,sp2,Simulation4
Simulation4,86,878,6,background,Simulation4
Simulation4,87,871,11,sp3,Simulation4
Simulation4,88,519,6,background,Simulation4
Simulation4,89,43,8,sp1,Simulation4
Simulation4,90,1158,2,sp3,Simulation4
Simulation4,91,482,3,background,Simulation4
Simulation4,92,800,3,background,Simulation4
Simulation4,93,169,4,sp2,Simulation4
Simulation4,94,347,7,sp2,Simulation4
Simulation4,95,53,1,background,Simulation4
Simulation4,96,710,5,sp4,Simulation4
Simulation4,97,422,3,background,Simulation4
Simulation4,98,15,3,background,Simulation4
Simulation4,99,412,8,sp1,Simulation4
Simulation4,100,220,1,sp1,Simulation4
Simulation4,101,1006,3,background,Simulation4
Simulation4,102,926,5,sp4,Simulation4
Simulation4,103,1194,7,sp3,Simulation4
Simulation4,104,306,4,sp2,Simulation4
Simulation4,105,463,6,sp2,Simulation4
Simulation4,106,772,0,background,Simulation4
Simulation4,107,440,8,sp1,Simulation4
Simulation4,108,1262,2,sp3,Simulation4
Simulation4,109,826,5,sp4,Simulation4
Simulation4,110,98,4,sp2,Simulation4
Simulation4,111,1206,9,background,Simulation4
Simulation4,112,95,4,sp2,Simulation4
Simulation4,113,877,0,background,Simulation4
Simulation4,114,1280,3,background,Simulation4
Simulation4,115,403,8,sp1,Simulation4
Simulation4,116,5,3,background,Simulation4
Simulation4,117,372,0,sp1,Simulation4
Simulation4,118,917,3,background,Simulation4
Simulation4,119,277,0,background,Simulation4
Simulation4,120,388,7,background,Simulation4
Simulation4,121,153,1,sp1,Simulation4
Simulation4,122,1141,5,sp4,Simulation4
Simulation4,123,102,4,sp2,Simulation4
Simulation4,124,908,7,sp3,Simulation4
Simulation4,125,634,4,sp2,Simulation4
Simulation4,126,35,4,sp2,Simulation4
Simulation4,127,909,1,sp3,Simulation4
Simulation4,128,1233,6,sp3,Simulation4
Simulation4,129,26,6,sp2,Simulation4
Simulation4,130,1040,11,background,Simulation4
Simulation4,131,497,4,sp2,Simulation4
Simulation4,132,436,3,background,Simulation4
Simulation4,133,159,3,background,Simulation4
Simulation4,134,695,11,background,Simulation4
Simulation4,135,1150,3,background,Simulation4
Simulation4,136,732,3,background,Simulation4
Simulation4,137,1182,3,background,Simulation4
Simulation4,138,438,8,sp1,Simulation4
Simulation4,139,804,3,background,Simulation4
Simulation4,140,534,6,sp2,Simulation4
Simulation4,141,322,4,sp2,Simulation4
Simulation4,142,567,1,sp2,Simulation4
Simulation4,143,801,7,background,Simulation4
Simulation4,144,1053,2,sp3,Simulation4
Simulation4,145,97,4,sp2,Simulation4
Simulation4,146,165,4,sp2,Simulation4
Simulation4,147,1105,1,sp4,Simulation4
Simulation4,148,1269,2,sp3,Simulation4
Simulation4,149,213,4,sp2,Simulation4
Simulation4,150,685,6,sp3,Simulation4
Simulation4,151,1142,10,sp4,Simulation4
Simulation4,152,633,7,sp2,Simulation4
Simulation4,153,588,3,background,Simulation4
Simulation4,154,940,1,sp3,Simulation4
Simulation4,155,1240,2,sp3,Simulation4
Simulation4,156,824,10,sp4,Simulation4
Simulation4,157,32,0,sp2,Simulation4
Simulation4,158,675,10,sp4,Simulation4
Simulation4,159,402,8,sp1,Simulation4
Simulation4,160,353,3,background,Simulation4
Simulation4,161,668,5,sp4,Simulation4
Simulation4,162,376,1,sp1,Simulation4
Simulation4,163,1275,2,sp3,Simulation4
Simulation4,164,1013,6,sp3,Simulation4
Simulation4,165,881,3,background,Simulation4
Simulation4,166,1011,2,sp3,Simulation4
Simulation4,167,933,0,background,Simulation4
Simulation4,168,483,6,background,Simulation4
Simulation4,169,869,2,sp3,Simulation4
Simulation4,170,486,4,sp2,Simulation4
Simulation4,171,302,8,sp1,Simulation4
Simulation4,172,602,11,sp2,Simulation4
Simulation4,173,1216,5,sp4,Simulation4
Simulation4,174,1119,6,sp3,Simulation4
Simulation4,175,1177,10,sp4,Simulation4
Simulation4,176,361,8,sp1,Simulation4
Simulation4,177,1293,7,background,Simulation4
Simulation4,178,546,8,sp1,Simulation4
Simulation4,179,267,8,sp1,Simulation4
Simulation4,180,552,3,background,Simulation4
Simulation4,181,151,1,sp1,Simulation4
Simulation4,182,1282,3,background,Simulation4
Simulation4,183,244,6,background,Simulation4
Simulation4,184,1286,7,sp4,Simulation4
Simulation4,185,407,8,sp1,Simulation4
Simulation4,186,1189,1,sp3,Simulation4
Simulation4,187,1207,0,background,Simulation4
Simulation4,188,1163,2,sp3,Simulation4
Simulation4,189,51,0,background,Simulation4
Simulation4,190,259,1,sp1,Simulation4
Simulation4,191,842,6,background,Simulation4
Simulation4,192,682,11,sp4,Simulation4
Simulation4,193,1217,1,sp4,Simulation4
