section,cluster,count,fraction
Simulation1,0,159,0.12268518518518519
Simulation1,1,133,0.10262345679012345
Simulation1,2,214,0.16512345679012347
Simulation1,3,138,0.10648148148148148
Simulation1,4,175,0.13503086419753085
Simulation1,5,240,0.18518518518518517
Simulation1,6,102,0.0787037037037037
Simulation1,7,135,0.10416666666666667
Simulation2,0,128,0.09876543209876543
Simulation2,1,179,0.1381172839506173
Simulation2,2,159,0.12268518518518519
Simulation2,3,214,0.16512345679012347
Simulation2,4,251,0.19367283950617284
Simulation2,5,146,0.11265432098765432
Simulation2,6,118,0.09104938271604938
Simulation2,7,101,0.0779320987654321
Simulation3,0,214,0.16512345679012347
Simulation3,1,272,0.20987654320987653
Simulation3,2,159,0.12268518518518519
Simulation3,3,101,0.0779320987654321
Simulation3,4,141,0.1087962962962963
Simulation3,5,113,0.08719135802469136
Simulation3,6,123,0.09490740740740741
Simulation3,7,173,0.13348765432098766
Simulation4,0,101,0.0779320987654321
Simulation4,1,137,0.10570987654320987
Simulation4,2,188,0.14506172839506173
Simulation4,3,215,0.16589506172839505
Simulation4,4,241,0.18595679012345678
Simulation4,5,119,0.09182098765432099
Simulation4,6,159,0.12268518518518519
Simulation4,7,136,0.10493827160493827
Simulation5,0,127,0.09799382716049383
Simulation5,1,107,0.08256172839506173
Simulation5,2,195,0.15046296296296297
Simulation5,3,116,0.08950617283950617
Simulation5,4,214,0.16512345679012347
Simulation5,5,160,0.12345679012345678
Simulation5,6,118,0.09104938271604938
Simulation5,7,259,0.19984567901234568
