section,spot_index,obs_name,cluster,spatial_domain,stage
Simulation2,0,529,2,sp2,Simulation2
Simulation2,1,478,3,sp1,Simulation2
Simulation2,2,234,2,sp2,Simulation2
Simulation2,3,64,2,sp2,Simulation2
Simulation2,4,1087,1,sp3,Simulation2
Simulation2,5,743,4,sp4,Simulation2
Simulation2,6,539,0,sp2,Simulation2
Simulation2,7,266,3,sp1,Simulation2
Simulation2,8,963,0,sp4,Simulation2
Simulation2,9,959,4,background,Simulation2
Simulation2,10,462,0,sp2,Simulation2
Simulation2,11,348,4,background,Simulation2
Simulation2,12,806,1,background,Simulation2
Simulation2,13,496,2,sp2,Simulation2
Simulation2,14,652,0,sp3,Simulation2
Simulation2,15,1179,4,sp4,Simulation2
Simulation2,16,861,4,sp4,Simulation2
Simulation2,17,578,0,background,Simulation2
Simulation2,18,63,2,sp2,Simulation2
Simulation2,19,818,4,sp4,Simulation2
Simulation2,20,460,2,sp2,Simulation2
Simulation2,21,798,1,background,Simulation2
Simulation2,22,852,4,sp4,Simulation2
Simulation2,23,142,2,sp2,Simulation2
Simulation2,24,332,0,sp1,Simulation2
Simulation2,25,817,4,sp4,Simulation2
Simulation2,26,725,0,sp3,Simulation2
Simulation2,27,1022,4,background,Simulation2
Simulation2,28,1112,4,background,Simulation2
Simulation2,29,46,3,sp1,Simulation2
Simulation2,30,830,1,sp3,Simulation2
Simulation2,31,1015,1,sp3,Simulation2
Simulation2,32,104,2,sp2,Simulation2
Simulation2,33,1201,1,sp3,Simulation2
Simulation2,34,1220,4,background,Simulation2
Simulation2,35,696,4,background,Simulation2
Simulation2,36,490,2,sp2,Simulation2
Simulation2,37,319,2,sp2,Simulation2
Simulation2,38,893,4,sp4,Simulation2
Simulation2,39,524,2,sp2,Simulation2
Simulation2,40,468,0,background,Simulation2
Simulation2,41,1239,1,sp3,Simulation2
Simulation2,42,992,4,background,Simulation2
Simulation2,43,232,0,sp1,Simulation2
Simulation2,44,61,0,sp2,Simulation2
Simulation2,45,1000,4,sp4,Simulation2
