section,cluster,count,fraction
Simulation1,0,270,0.20833333333333334
Simulation1,1,263,0.2029320987654321
Simulation1,2,239,0.18441358024691357
Simulation1,3,142,0.1095679012345679
Simulation1,4,382,0.29475308641975306
Simulation2,0,271,0.20910493827160495
Simulation2,1,262,0.2021604938271605
Simulation2,2,239,0.18441358024691357
Simulation2,3,142,0.1095679012345679
Simulation2,4,382,0.29475308641975306
Simulation3,0,271,0.20910493827160495
Simulation3,1,262,0.2021604938271605
Simulation3,2,239,0.18441358024691357
Simulation3,3,142,0.1095679012345679
Simulation3,4,382,0.29475308641975306
Simulation4,0,271,0.20910493827160495
Simulation4,1,261,0.2013888888888889
Simulation4,2,239,0.18441358024691357
Simulation4,3,142,0.1095679012345679
Simulation4,4,383,0.29552469135802467
Simulation5,0,272,0.20987654320987653
Simulation5,1,261,0.2013888888888889
Simulation5,2,239,0.18441358024691357
Simulation5,3,142,0.1095679012345679
Simulation5,4,382,0.29475308641975306
