mode,k,scope,n_obs,metric_sample_size,n_clusters_observed,silhouette,calinski_harabasz,davies_bouldin,section_ARI_diagnostic,section_NMI_diagnostic
independent,5,Simulation1,1296,1296,5,0.33162956678749805,304.37722588695664,1.4214125689003034,,
independent,5,Simulation2,1296,1296,5,0.3360485540911273,306.2496403772593,1.4107771032723841,,
independent,5,Simulation3,1296,1296,5,0.35192153198749904,303.6241453109905,1.519316891511918,,
independent,5,Simulation4,1296,1296,5,0.33400406489922757,305.9332826128874,1.397430487191932,,
independent,5,Simulation5,1296,1296,5,0.3392416300790655,305.6425158152418,1.4126703411352064,,
joint,5,combined,6480,6480,5,0.342955946593918,1547.1149068458667,1.39571644525143,-0.0005841959186694702,9.803975106828312e-07
independent,8,Simulation1,1296,1296,8,0.43636586290655194,442.46461145914714,0.9494956363982159,,
independent,8,Simulation2,1296,1296,8,0.4313657833395111,439.53937557202903,0.9422178843415758,,
independent,8,Simulation3,1296,1296,8,0.43525573242553744,440.43948469136876,0.9388953387635413,,
independent,8,Simulation4,1296,1296,8,0.43328738897028485,438.6038971689069,0.9486527173032562,,
independent,8,Simulation5,1296,1296,8,0.42760706030251056,436.68082863123783,0.9467876288044572,,
joint,8,combined,6480,6480,8,0.4370730618941639,2210.69319262455,0.9394107231592828,-0.0007500175301290048,5.202194506159975e-06
independent,10,Simulation1,1296,1296,10,0.47246655550263894,439.3378981875919,1.038576394147916,,
independent,10,Simulation2,1296,1296,10,0.47260583853257593,437.010333128744,0.9907209606415543,,
independent,10,Simulation3,1296,1296,10,0.4679466507969418,430.65882932466,1.0366669898183107,,
independent,10,Simulation4,1296,1296,10,0.46778119771956606,434.31193530794314,0.9741593170083458,,
independent,10,Simulation5,1296,1296,10,0.4689117528090516,436.315772063378,0.9582643456569299,,
joint,10,combined,6480,6480,10,0.47147516999843647,2191.429495481993,1.0467526668864968,-0.0008173468294745063,1.1292841042722799e-05
independent,12,Simulation1,1296,1296,12,0.48150246461098406,429.2056372442602,0.9794689223363017,,
independent,12,Simulation2,1296,1296,12,0.4836641355174734,431.0924414974084,0.9191101398307917,,
independent,12,Simulation3,1296,1296,12,0.48627340995112045,429.78286936942965,0.9129397156901038,,
independent,12,Simulation4,1296,1296,12,0.4822366270117835,426.8870837174672,0.9836398149093046,,
independent,12,Simulation5,1296,1296,12,0.47699893055307857,422.56843160235445,0.9952148115582459,,
joint,12,combined,6480,6480,12,0.490040677925368,2185.1642914550775,1.025478933526265,-0.0008557888419745122,9.816823962308519e-06
