section,neighbor_same_cluster_fraction,mode,k
Simulation1,0.6975308641975309,independent,5
Simulation2,0.5322788065843621,independent,5
Simulation3,0.637474279835391,independent,5
Simulation4,0.6873713991769548,independent,5
Simulation5,0.5101594650205762,independent,5
Simulation1,0.6635802469135802,joint,5
Simulation2,0.6588220164609053,joint,5
Simulation3,0.6557355967078189,joint,5
Simulation4,0.661522633744856,joint,5
Simulation5,0.6545781893004116,joint,5
Simulation1,0.4072788065843621,independent,8
Simulation2,0.4050925925925926,independent,8
Simulation3,0.3949331275720165,independent,8
Simulation4,0.4254115226337449,independent,8
Simulation5,0.3877314814814814,independent,8
Simulation1,0.4052211934156378,joint,8
Simulation2,0.4050925925925926,joint,8
Simulation3,0.4057355967078189,joint,8
Simulation4,0.4075360082304526,joint,8
Simulation5,0.4053497942386831,joint,8
Simulation1,0.3630401234567901,independent,10
Simulation2,0.4004629629629629,independent,10
Simulation3,0.3681841563786008,independent,10
Simulation4,0.3472222222222222,independent,10
Simulation5,0.3784722222222222,independent,10
Simulation1,0.3686985596707819,joint,10
Simulation2,0.3686985596707819,joint,10
Simulation3,0.3681841563786008,joint,10
Simulation4,0.3724279835390947,joint,10
Simulation5,0.3737139917695473,joint,10
Simulation1,0.3341049382716049,independent,12
Simulation2,0.3339763374485596,independent,12
Simulation3,0.3230452674897119,independent,12
Simulation4,0.3215020576131687,independent,12
Simulation5,0.3443930041152263,independent,12
Simulation1,0.3296039094650205,joint,12
Simulation2,0.3316615226337449,joint,12
Simulation3,0.3276748971193415,joint,12
Simulation4,0.3315329218106996,joint,12
Simulation5,0.3296039094650205,joint,12
