spot_index,obs_name,x,y,spatial_domain,original_barcode,spfac_1,spfac_2,spfac_3,spfac_4,rna_nsfac_1,adt_nsfac_1,rna_nsfac_2,adt_nsfac_2,rna_nsfac_3,adt_nsfac_3,spatial_x,spatial_y,section,stage
0,529,0.8571429,0.40000522,sp2,529,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8571429,0.40000522,Simulation3,Simulation3
1,478,-0.8571429,0.5142909,sp1,478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8571429,0.5142909,Simulation3,Simulation3
2,234,0.057142973,1.3142909,sp2,234,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057142973,1.3142909,Simulation3,Simulation3
3,64,1.2,1.8857194,sp2,64,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.2,1.8857194,Simulation3,Simulation3
4,1087,-1.2,-1.4285663,sp3,1087,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-1.4285663,Simulation3,Simulation3
5,743,0.6285715,-0.28570914,sp4,743,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6285715,-0.28570914,Simulation3,Simulation3
6,539,2.0,0.40000522,sp2,539,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.40000522,Simulation3,Simulation3
7,266,-0.39999998,1.2000052,sp1,266,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39999998,1.2000052,Simulation3,Simulation3
8,963,1.0857143,-0.9714235,sp4,963,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0857143,-0.9714235,Simulation3,Simulation3
9,959,0.6285715,-0.9714235,background,959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6285715,-0.9714235,Simulation3,Simulation3
10,462,1.4285715,0.62857664,sp2,462,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4285715,0.62857664,Simulation3,Simulation3
11,348,0.7428572,0.97143376,background,348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7428572,0.97143376,Simulation3,Simulation3
12,806,-0.39999998,-0.5142807,background,806,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.39999998,-0.5142807,Simulation3,Simulation3
13,496,1.2,0.5142909,sp2,496,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.5142909,Simulation3,Simulation3
14,652,-1.5428572,-0.057137728,sp3,652,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.5428572,-0.057137728,Simulation3,Simulation3
15,1179,1.0857143,-1.6571378,sp4,1179,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0857143,-1.6571378,Simulation3,Simulation3
16,861,1.7714286,-0.6285664,sp4,861,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7714286,-0.6285664,Simulation3,Simulation3
17,578,-1.7714286,0.1714338,background,578,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.7714286,0.1714338,Simulation3,Simulation3
18,63,1.0857143,1.8857194,sp2,63,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0857143,1.8857194,Simulation3,Simulation3
19,818,0.97142863,-0.5142807,sp4,818,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97142863,-0.5142807,Simulation3,Simulation3
20,460,1.2,0.62857664,sp2,460,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.62857664,Simulation3,Simulation3
21,798,-1.3142858,-0.5142807,background,798,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.3142858,-0.5142807,Simulation3,Simulation3
22,852,0.7428572,-0.6285664,sp4,852,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7428572,-0.6285664,Simulation3,Simulation3
23,142,1.8857143,1.657148,sp2,142,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.8857143,1.657148,Simulation3,Simulation3
24,332,-1.0857143,0.97143376,sp1,332,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-1.0857143,0.97143376,Simulation3,Simulation3
25,817,0.8571429,-0.5142807,sp4,817,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571429,-0.5142807,Simulation3,Simulation3
26,725,-1.4285715,-0.28570914,sp3,725,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.4285715,-0.28570914,Simulation3,Simulation3
27,1022,-0.39999998,-1.1999949,background,1022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39999998,-1.1999949,Simulation3,Simulation3
28,1112,1.6571429,-1.4285663,background,1112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6571429,-1.4285663,Simulation3,Simulation3
29,46,-0.8571429,1.8857194,sp1,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8571429,1.8857194,Simulation3,Simulation3
30,830,-1.7714286,-0.6285664,sp3,830,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.7714286,-0.6285664,Simulation3,Simulation3
31,1015,-1.2,-1.1999949,sp3,1015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-1.1999949,Simulation3,Simulation3
32,104,1.6571429,1.7714337,sp2,104,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6571429,1.7714337,Simulation3,Simulation3
33,1201,-0.5142858,-1.7714235,sp3,1201,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.5142858,-1.7714235,Simulation3,Simulation3
34,1220,1.6571429,-1.7714235,background,1220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6571429,-1.7714235,Simulation3,Simulation3
35,696,-0.6285715,-0.17142344,background,696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6285715,-0.17142344,Simulation3,Simulation3
36,490,0.5142858,0.5142909,sp2,490,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142858,0.5142909,Simulation3,Simulation3
37,319,1.5428572,1.0857195,sp2,319,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5428572,1.0857195,Simulation3,Simulation3
38,893,1.3142858,-0.7428521,sp4,893,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3142858,-0.7428521,Simulation3,Simulation3
39,524,0.2857144,0.40000522,sp2,524,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857144,0.40000522,Simulation3,Simulation3
40,468,-2.0,0.5142909,background,468,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.5142909,Simulation3,Simulation3
41,1239,-0.28571427,-1.8857092,sp3,1239,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28571427,-1.8857092,Simulation3,Simulation3
42,992,0.2857144,-1.0857092,background,992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857144,-1.0857092,Simulation3,Simulation3
43,232,-0.17142856,1.3142909,sp1,232,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.17142856,1.3142909,Simulation3,Simulation3
44,61,0.8571429,1.8857194,sp2,61,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8571429,1.8857194,Simulation3,Simulation3
45,1000,1.2,-1.0857092,sp4,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2,-1.0857092,Simulation3,Simulation3
46,79,-1.2,1.7714337,sp1,79,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.2,1.7714337,Simulation3,Simulation3
47,404,-1.0857143,0.74286234,sp1,404,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0857143,0.74286234,Simulation3,Simulation3
48,14,-0.39999998,2.0000052,background,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39999998,2.0000052,Simulation3,Simulation3
49,16,-0.17142856,2.0000052,background,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17142856,2.0000052,Simulation3,Simulation3
50,626,-0.39999998,0.0571481,background,626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39999998,0.0571481,Simulation3,Simulation3
51,853,0.8571429,-0.6285664,sp4,853,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571429,-0.6285664,Simulation3,Simulation3
52,821,1.3142858,-0.5142807,sp4,821,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3142858,-0.5142807,Simulation3,Simulation3
53,1191,-1.6571429,-1.7714235,sp3,1191,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.6571429,-1.7714235,Simulation3,Simulation3
54,1005,1.7714286,-1.0857092,background,1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7714286,-1.0857092,Simulation3,Simulation3
55,592,-0.17142856,0.1714338,background,592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.17142856,0.1714338,Simulation3,Simulation3
56,562,0.5142858,0.2857195,sp2,562,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5142858,0.2857195,Simulation3,Simulation3
57,1273,-0.5142858,-1.9999949,sp3,1273,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.5142858,-1.9999949,Simulation3,Simulation3
58,807,-0.28571427,-0.5142807,background,807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-0.28571427,-0.5142807,Simulation3,Simulation3
59,728,-1.0857143,-0.28570914,background,728,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0857143,-0.28570914,Simulation3,Simulation3
60,452,0.2857144,0.62857664,sp2,452,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2857144,0.62857664,Simulation3,Simulation3
61,1081,-1.8857143,-1.4285663,sp3,1081,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8857143,-1.4285663,Simulation3,Simulation3
62,1033,0.8571429,-1.1999949,sp4,1033,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8571429,-1.1999949,Simulation3,Simulation3
63,937,-1.8857143,-0.9714235,sp3,937,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.8857143,-0.9714235,Simulation3,Simulation3
64,600,0.7428572,0.1714338,sp2,600,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7428572,0.1714338,Simulation3,Simulation3
65,170,0.97142863,1.5428623,sp2,170,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97142863,1.5428623,Simulation3,Simulation3
66,194,-0.39999998,1.4285766,background,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39999998,1.4285766,Simulation3,Simulation3
67,702,0.057142973,-0.17142344,sp4,702,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057142973,-0.17142344,Simulation3,Simulation3
68,212,1.6571429,1.4285766,sp2,212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6571429,1.4285766,Simulation3,Simulation3
69,450,0.057142973,0.62857664,sp2,450,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.057142973,0.62857664,Simulation3,Simulation3
70,747,1.0857143,-0.28570914,sp4,747,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0857143,-0.28570914,Simulation3,Simulation3
71,255,-1.6571429,1.2000052,sp1,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.6571429,1.2000052,Simulation3,Simulation3
72,1008,-2.0,-1.1999949,sp3,1008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,-1.1999949,Simulation3,Simulation3
73,646,1.8857143,0.0571481,sp2,646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8857143,0.0571481,Simulation3,Simulation3
74,120,-0.6285715,1.657148,background,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-0.6285715,1.657148,Simulation3,Simulation3
75,537,1.7714286,0.40000522,sp2,537,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7714286,0.40000522,Simulation3,Simulation3
76,96,0.7428572,1.7714337,sp2,96,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7428572,1.7714337,Simulation3,Simulation3
77,223,-1.2,1.3142909,sp1,223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2,1.3142909,Simulation3,Simulation3
78,1,-1.8857143,2.0000052,background,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.8857143,2.0000052,Simulation3,Simulation3
79,627,-0.28571427,0.0571481,background,627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28571427,0.0571481,Simulation3,Simulation3
80,837,-0.97142863,-0.6285664,background,837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.97142863,-0.6285664,Simulation3,Simulation3
81,1116,-2.0,-1.542852,sp3,1116,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,-1.542852,Simulation3,Simulation3
82,643,1.5428572,0.0571481,sp2,643,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5428572,0.0571481,Simulation3,Simulation3
83,915,-0.28571427,-0.8571378,background,915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28571427,-0.8571378,Simulation3,Simulation3
84,889,0.8571429,-0.7428521,sp4,889,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8571429,-0.7428521,Simulation3,Simulation3
85,283,1.5428572,1.2000052,sp2,283,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5428572,1.2000052,Simulation3,Simulation3
86,878,-0.39999998,-0.7428521,background,878,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.39999998,-0.7428521,Simulation3,Simulation3
87,871,-1.2,-0.7428521,sp3,871,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.2,-0.7428521,Simulation3,Simulation3
88,519,-0.28571427,0.40000522,background,519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.28571427,0.40000522,Simulation3,Simulation3
89,43,-1.2,1.8857194,sp1,43,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.2,1.8857194,Simulation3,Simulation3
90,1158,-1.3142858,-1.6571378,sp3,1158,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3142858,-1.6571378,Simulation3,Simulation3
91,482,-0.39999998,0.5142909,background,482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39999998,0.5142909,Simulation3,Simulation3
92,800,-1.0857143,-0.5142807,background,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0857143,-0.5142807,Simulation3,Simulation3
93,169,0.8571429,1.5428623,sp2,169,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8571429,1.5428623,Simulation3,Simulation3
94,347,0.6285715,0.97143376,sp2,347,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6285715,0.97143376,Simulation3,Simulation3
95,53,-0.057142854,1.8857194,background,53,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.057142854,1.8857194,Simulation3,Simulation3
96,710,0.97142863,-0.17142344,sp4,710,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.97142863,-0.17142344,Simulation3,Simulation3
97,422,0.97142863,0.74286234,background,422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97142863,0.74286234,Simulation3,Simulation3
98,15,-0.28571427,2.0000052,background,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28571427,2.0000052,Simulation3,Simulation3
99,412,-0.17142856,0.74286234,sp1,412,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17142856,0.74286234,Simulation3,Simulation3
100,220,-1.5428572,1.3142909,sp1,220,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.5428572,1.3142909,Simulation3,Simulation3
101,1006,1.8857143,-1.0857092,background,1006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8857143,-1.0857092,Simulation3,Simulation3
102,926,0.97142863,-0.8571378,sp4,926,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97142863,-0.8571378,Simulation3,Simulation3
103,1194,-1.3142858,-1.7714235,sp3,1194,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.3142858,-1.7714235,Simulation3,Simulation3
104,306,0.057142973,1.0857195,sp2,306,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057142973,1.0857195,Simulation3,Simulation3
105,463,1.5428572,0.62857664,sp2,463,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5428572,0.62857664,Simulation3,Simulation3
106,772,-0.17142856,-0.39999485,background,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.17142856,-0.39999485,Simulation3,Simulation3
107,440,-1.0857143,0.62857664,sp1,440,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0857143,0.62857664,Simulation3,Simulation3
108,1262,-1.7714286,-1.9999949,sp3,1262,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7714286,-1.9999949,Simulation3,Simulation3
109,826,1.8857143,-0.5142807,sp4,826,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.8857143,-0.5142807,Simulation3,Simulation3
110,98,0.97142863,1.7714337,sp2,98,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97142863,1.7714337,Simulation3,Simulation3
111,1206,0.057142973,-1.7714235,background,1206,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.057142973,-1.7714235,Simulation3,Simulation3
112,95,0.6285715,1.7714337,sp2,95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6285715,1.7714337,Simulation3,Simulation3
113,877,-0.5142858,-0.7428521,background,877,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.5142858,-0.7428521,Simulation3,Simulation3
114,1280,0.2857144,-1.9999949,background,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857144,-1.9999949,Simulation3,Simulation3
115,403,-1.2,0.74286234,sp1,403,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,0.74286234,Simulation3,Simulation3
