section,obs_name,cluster,spatial_domain,x,y
Simulation5,529,4,sp2,0.8571429252624512,0.4000052213668823
Simulation5,478,7,sp1,-0.8571429252624512,0.5142909288406372
Simulation5,234,2,sp2,0.05714297294616699,1.3142908811569214
Simulation5,64,4,sp2,1.2000000476837158,1.8857194185256958
Simulation5,1087,1,sp3,-1.2000000476837158,-1.428566336631775
Simulation5,743,6,sp4,0.6285715103149414,-0.2857091426849365
Simulation5,539,5,sp2,2.0,0.4000052213668823
Simulation5,266,7,sp1,-0.3999999761581421,1.2000051736831665
Simulation5,963,8,sp4,1.085714340209961,-0.9714235067367554
Simulation5,959,0,background,0.6285715103149414,-0.9714235067367554
Simulation5,462,9,sp2,1.4285714626312256,0.6285766363143921
Simulation5,348,3,background,0.7428572177886963,0.9714337587356567
Simulation5,806,4,background,-0.3999999761581421,-0.5142806768417358
Simulation5,496,2,sp2,1.2000000476837158,0.5142909288406372
Simulation5,652,8,sp3,-1.5428571701049805,-0.05713772773742676
Simulation5,1179,6,sp4,1.085714340209961,-1.6571377515792847
Simulation5,861,6,sp4,1.7714285850524902,-0.6285663843154907
Simulation5,578,9,background,-1.7714285850524902,0.17143380641937256
Simulation5,63,2,sp2,1.085714340209961,1.8857194185256958
Simulation5,818,6,sp4,0.971428632736206,-0.5142806768417358
Simulation5,460,2,sp2,1.2000000476837158,0.6285766363143921
Simulation5,798,4,background,-1.3142857551574707,-0.5142806768417358
Simulation5,852,6,sp4,0.7428572177886963,-0.6285663843154907
Simulation5,142,4,sp2,1.8857142925262451,1.657148003578186
Simulation5,332,5,sp1,-1.085714340209961,0.9714337587356567
Simulation5,817,6,sp4,0.8571429252624512,-0.5142806768417358
Simulation5,725,9,sp3,-1.4285714626312256,-0.2857091426849365
Simulation5,1022,3,background,-0.3999999761581421,-1.1999949216842651
Simulation5,1112,3,background,1.6571428775787354,-1.428566336631775
Simulation5,46,7,sp1,-0.8571429252624512,1.8857194185256958
Simulation5,830,4,sp3,-1.7714285850524902,-0.6285663843154907
Simulation5,1015,1,sp3,-1.2000000476837158,-1.1999949216842651
Simulation5,104,2,sp2,1.6571428775787354,1.771433711051941
Simulation5,1201,0,sp3,-0.5142858028411865,-1.7714234590530396
Simulation5,1220,3,background,1.6571428775787354,-1.7714234590530396
Simulation5,696,3,background,-0.6285715103149414,-0.17142343521118164
Simulation5,490,2,sp2,0.5142858028411865,0.5142909288406372
Simulation5,319,2,sp2,1.5428571701049805,1.0857194662094116
Simulation5,893,6,sp4,1.3142857551574707,-0.7428520917892456
Simulation5,524,2,sp2,0.28571438789367676,0.4000052213668823
Simulation5,468,9,background,-2.0,0.5142909288406372
Simulation5,1239,1,sp3,-0.2857142686843872,-1.8857091665267944
Simulation5,992,3,background,0.28571438789367676,-1.0857092142105103
Simulation5,232,7,sp1,-0.17142856121063232,1.3142908811569214
Simulation5,61,9,sp2,0.8571429252624512,1.8857194185256958
Simulation5,1000,6,sp4,1.2000000476837158,-1.0857092142105103
Simulation5,79,7,sp1,-1.2000000476837158,1.771433711051941
Simulation5,404,7,sp1,-1.085714340209961,0.742862343788147
Simulation5,14,3,background,-0.3999999761581421,2.0000052452087402
Simulation5,16,3,background,-0.17142856121063232,2.0000052452087402
Simulation5,626,3,background,-0.3999999761581421,0.057148098945617676
Simulation5,853,6,sp4,0.8571429252624512,-0.6285663843154907
Simulation5,821,6,sp4,1.3142857551574707,-0.5142806768417358
Simulation5,1191,9,sp3,-1.6571428775787354,-1.7714234590530396
Simulation5,1005,3,background,1.7714285850524902,-1.0857092142105103
Simulation5,592,0,background,-0.17142856121063232,0.17143380641937256
Simulation5,562,4,sp2,0.5142858028411865,0.28571951389312744
Simulation5,1273,9,sp3,-0.5142858028411865,-1.9999948740005493
Simulation5,807,0,background,-0.2857142686843872,-0.5142806768417358
Simulation5,728,4,background,-1.085714340209961,-0.2857091426849365
Simulation5,452,0,sp2,0.28571438789367676,0.6285766363143921
Simulation5,1081,1,sp3,-1.8857142925262451,-1.428566336631775
Simulation5,1033,8,sp4,0.8571429252624512,-1.1999949216842651
Simulation5,937,9,sp3,-1.8857142925262451,-0.9714235067367554
Simulation5,600,4,sp2,0.7428572177886963,0.17143380641937256
Simulation5,170,2,sp2,0.971428632736206,1.5428622961044312
Simulation5,194,3,background,-0.3999999761581421,1.4285765886306763
Simulation5,702,6,sp4,0.05714297294616699,-0.17142343521118164
Simulation5,212,2,sp2,1.6571428775787354,1.4285765886306763
Simulation5,450,4,sp2,0.05714297294616699,0.6285766363143921
Simulation5,747,6,sp4,1.085714340209961,-0.2857091426849365
Simulation5,255,7,sp1,-1.6571428775787354,1.2000051736831665
Simulation5,1008,0,sp3,-2.0,-1.1999949216842651
