section,obs_name,cluster,spatial_domain,x,y
Simulation3,529,1,sp2,0.8571429252624512,0.4000052213668823
Simulation3,478,6,sp1,-0.8571429252624512,0.5142909288406372
Simulation3,234,0,sp2,0.05714297294616699,1.3142908811569214
Simulation3,64,1,sp2,1.2000000476837158,1.8857194185256958
Simulation3,1087,9,sp3,-1.2000000476837158,-1.428566336631775
Simulation3,743,4,sp4,0.6285715103149414,-0.2857091426849365
Simulation3,539,8,sp2,2.0,0.4000052213668823
Simulation3,266,6,sp1,-0.3999999761581421,1.2000051736831665
Simulation3,963,5,sp4,1.085714340209961,-0.9714235067367554
Simulation3,959,7,background,0.6285715103149414,-0.9714235067367554
Simulation3,462,3,sp2,1.4285714626312256,0.6285766363143921
Simulation3,348,2,background,0.7428572177886963,0.9714337587356567
Simulation3,806,1,background,-0.3999999761581421,-0.5142806768417358
Simulation3,496,0,sp2,1.2000000476837158,0.5142909288406372
Simulation3,652,5,sp3,-1.5428571701049805,-0.05713772773742676
Simulation3,1179,4,sp4,1.085714340209961,-1.6571377515792847
Simulation3,861,4,sp4,1.7714285850524902,-0.6285663843154907
Simulation3,578,3,background,-1.7714285850524902,0.17143380641937256
Simulation3,63,0,sp2,1.085714340209961,1.8857194185256958
Simulation3,818,4,sp4,0.971428632736206,-0.5142806768417358
Simulation3,460,0,sp2,1.2000000476837158,0.6285766363143921
Simulation3,798,1,background,-1.3142857551574707,-0.5142806768417358
Simulation3,852,4,sp4,0.7428572177886963,-0.6285663843154907
Simulation3,142,1,sp2,1.8857142925262451,1.657148003578186
Simulation3,332,8,sp1,-1.085714340209961,0.9714337587356567
Simulation3,817,4,sp4,0.8571429252624512,-0.5142806768417358
Simulation3,725,3,sp3,-1.4285714626312256,-0.2857091426849365
Simulation3,1022,2,background,-0.3999999761581421,-1.1999949216842651
Simulation3,1112,2,background,1.6571428775787354,-1.428566336631775
Simulation3,46,6,sp1,-0.8571429252624512,1.8857194185256958
Simulation3,830,1,sp3,-1.7714285850524902,-0.6285663843154907
Simulation3,1015,9,sp3,-1.2000000476837158,-1.1999949216842651
Simulation3,104,0,sp2,1.6571428775787354,1.771433711051941
Simulation3,1201,7,sp3,-0.5142858028411865,-1.7714234590530396
Simulation3,1220,2,background,1.6571428775787354,-1.7714234590530396
Simulation3,696,2,background,-0.6285715103149414,-0.17142343521118164
Simulation3,490,0,sp2,0.5142858028411865,0.5142909288406372
Simulation3,319,0,sp2,1.5428571701049805,1.0857194662094116
Simulation3,893,4,sp4,1.3142857551574707,-0.7428520917892456
Simulation3,524,0,sp2,0.28571438789367676,0.4000052213668823
Simulation3,468,3,background,-2.0,0.5142909288406372
Simulation3,1239,9,sp3,-0.2857142686843872,-1.8857091665267944
Simulation3,992,2,background,0.28571438789367676,-1.0857092142105103
Simulation3,232,3,sp1,-0.17142856121063232,1.3142908811569214
Simulation3,61,3,sp2,0.8571429252624512,1.8857194185256958
Simulation3,1000,4,sp4,1.2000000476837158,-1.0857092142105103
Simulation3,79,6,sp1,-1.2000000476837158,1.771433711051941
Simulation3,404,6,sp1,-1.085714340209961,0.742862343788147
Simulation3,14,2,background,-0.3999999761581421,2.0000052452087402
Simulation3,16,2,background,-0.17142856121063232,2.0000052452087402
Simulation3,626,2,background,-0.3999999761581421,0.057148098945617676
Simulation3,853,4,sp4,0.8571429252624512,-0.6285663843154907
Simulation3,821,4,sp4,1.3142857551574707,-0.5142806768417358
Simulation3,1191,3,sp3,-1.6571428775787354,-1.7714234590530396
Simulation3,1005,2,background,1.7714285850524902,-1.0857092142105103
Simulation3,592,7,background,-0.17142856121063232,0.17143380641937256
Simulation3,562,1,sp2,0.5142858028411865,0.28571951389312744
Simulation3,1273,3,sp3,-0.5142858028411865,-1.9999948740005493
Simulation3,807,7,background,-0.2857142686843872,-0.5142806768417358
Simulation3,728,1,background,-1.085714340209961,-0.2857091426849365
Simulation3,452,7,sp2,0.28571438789367676,0.6285766363143921
Simulation3,1081,9,sp3,-1.8857142925262451,-1.428566336631775
Simulation3,1033,5,sp4,0.8571429252624512,-1.1999949216842651
Simulation3,937,3,sp3,-1.8857142925262451,-0.9714235067367554
Simulation3,600,1,sp2,0.7428572177886963,0.17143380641937256
Simulation3,170,0,sp2,0.971428632736206,1.5428622961044312
Simulation3,194,2,background,-0.3999999761581421,1.4285765886306763
Simulation3,702,4,sp4,0.05714297294616699,-0.17142343521118164
Simulation3,212,0,sp2,1.6571428775787354,1.4285765886306763
Simulation3,450,1,sp2,0.05714297294616699,0.6285766363143921
Simulation3,747,4,sp4,1.085714340209961,-0.2857091426849365
Simulation3,255,6,sp1,-1.6571428775787354,1.2000051736831665
Simulation3,1008,7,sp3,-2.0,-1.1999949216842651
Simulation3,646,0,sp2,1.8857142925262451,0.057148098945617676
Simulation3,120,7,background,-0.6285715103149414,1.657148003578186
Simulation3,537,3,sp2,1.7714285850524902,0.4000052213668823
Simulation3,96,0,sp2,0.7428572177886963,1.771433711051941
Simulation3,223,6,sp1,-1.2000000476837158,1.3142908811569214
Simulation3,1,7,background,-1.8857142925262451,2.0000052452087402
Simulation3,627,2,background,-0.2857142686843872,0.057148098945617676
Simulation3,837,2,background,-0.971428632736206,-0.6285663843154907
Simulation3,1116,7,sp3,-2.0,-1.5428520441055298
Simulation3,643,1,sp2,1.5428571701049805,0.057148098945617676
Simulation3,915,2,background,-0.2857142686843872,-0.8571377992630005
Simulation3,889,4,sp4,0.8571429252624512,-0.7428520917892456
Simulation3,283,3,sp2,1.5428571701049805,1.2000051736831665
Simulation3,878,1,background,-0.3999999761581421,-0.7428520917892456
Simulation3,871,5,sp3,-1.2000000476837158,-0.7428520917892456
Simulation3,519,1,background,-0.2857142686843872,0.4000052213668823
Simulation3,43,6,sp1,-1.2000000476837158,1.8857194185256958
Simulation3,1158,9,sp3,-1.3142857551574707,-1.6571377515792847
Simulation3,482,2,background,-0.3999999761581421,0.5142909288406372
Simulation3,800,2,background,-1.085714340209961,-0.5142806768417358
Simulation3,169,0,sp2,0.8571429252624512,1.5428622961044312
Simulation3,347,3,sp2,0.6285715103149414,0.9714337587356567
Simulation3,53,5,background,-0.05714285373687744,1.8857194185256958
Simulation3,710,4,sp4,0.971428632736206,-0.17142343521118164
Simulation3,422,2,background,0.971428632736206,0.742862343788147
Simulation3,15,2,background,-0.2857142686843872,2.0000052452087402
Simulation3,412,6,sp1,-0.17142856121063232,0.742862343788147
Simulation3,220,3,sp1,-1.5428571701049805,1.3142908811569214
Simulation3,1006,2,background,1.8857142925262451,-1.0857092142105103
Simulation3,926,4,sp4,0.971428632736206,-0.8571377992630005
Simulation3,1194,3,sp3,-1.3142857551574707,-1.7714234590530396
Simulation3,306,0,sp2,0.05714297294616699,1.0857194662094116
Simulation3,463,1,sp2,1.5428571701049805,0.6285766363143921
Simulation3,772,7,background,-0.17142856121063232,-0.3999948501586914
Simulation3,440,6,sp1,-1.085714340209961,0.6285766363143921
Simulation3,1262,9,sp3,-1.7714285850524902,-1.9999948740005493
Simulation3,826,4,sp4,1.8857142925262451,-0.5142806768417358
Simulation3,98,0,sp2,0.971428632736206,1.771433711051941
Simulation3,1206,1,background,0.05714297294616699,-1.7714234590530396
Simulation3,95,0,sp2,0.6285715103149414,1.771433711051941
Simulation3,877,7,background,-0.5142858028411865,-0.7428520917892456
Simulation3,1280,2,background,0.28571438789367676,-1.9999948740005493
Simulation3,403,6,sp1,-1.2000000476837158,0.742862343788147
Simulation3,5,2,background,-1.4285714626312256,2.0000052452087402
Simulation3,372,6,sp1,-0.6285715103149414,0.8571480512619019
