section,cluster,count,fraction
Simulation1,0,159,0.12268518518518519
Simulation1,1,214,0.16512345679012347
Simulation1,2,114,0.08796296296296297
Simulation1,3,130,0.10030864197530864
Simulation1,4,101,0.0779320987654321
Simulation1,5,121,0.0933641975308642
Simulation1,6,113,0.08719135802469136
Simulation1,7,51,0.03935185185185185
Simulation1,8,40,0.030864197530864196
Simulation1,9,71,0.05478395061728395
Simulation1,10,81,0.0625
Simulation1,11,101,0.0779320987654321
Simulation2,0,159,0.12268518518518519
Simulation2,1,214,0.16512345679012347
Simulation2,2,116,0.08950617283950617
Simulation2,3,129,0.09953703703703703
Simulation2,4,101,0.0779320987654321
Simulation2,5,119,0.09182098765432099
Simulation2,6,113,0.08719135802469136
Simulation2,7,51,0.03935185185185185
Simulation2,8,40,0.030864197530864196
Simulation2,9,71,0.05478395061728395
Simulation2,10,80,0.06172839506172839
Simulation2,11,103,0.07947530864197531
Simulation3,0,159,0.12268518518518519
Simulation3,1,214,0.16512345679012347
Simulation3,2,116,0.08950617283950617
Simulation3,3,128,0.09876543209876543
Simulation3,4,101,0.0779320987654321
Simulation3,5,117,0.09027777777777778
Simulation3,6,113,0.08719135802469136
Simulation3,7,53,0.04089506172839506
Simulation3,8,40,0.030864197530864196
Simulation3,9,70,0.05401234567901234
Simulation3,10,80,0.06172839506172839
Simulation3,11,105,0.08101851851851852
Simulation4,0,159,0.12268518518518519
Simulation4,1,214,0.16512345679012347
Simulation4,2,117,0.09027777777777778
Simulation4,3,128,0.09876543209876543
Simulation4,4,101,0.0779320987654321
Simulation4,5,119,0.09182098765432099
Simulation4,6,113,0.08719135802469136
Simulation4,7,50,0.038580246913580245
Simulation4,8,40,0.030864197530864196
Simulation4,9,71,0.05478395061728395
Simulation4,10,81,0.0625
Simulation4,11,103,0.07947530864197531
Simulation5,0,159,0.12268518518518519
Simulation5,1,214,0.16512345679012347
Simulation5,2,117,0.09027777777777778
Simulation5,3,127,0.09799382716049383
Simulation5,4,101,0.0779320987654321
Simulation5,5,118,0.09104938271604938
Simulation5,6,113,0.08719135802469136
Simulation5,7,52,0.040123456790123455
Simulation5,8,40,0.030864197530864196
Simulation5,9,70,0.05401234567901234
Simulation5,10,81,0.0625
Simulation5,11,104,0.08024691358024691
