mode,k,section,neighbor_same_cluster_fraction
joint,5,Simulation1,0.6635802469135802
joint,5,Simulation2,0.6588220164609053
joint,5,Simulation3,0.6557355967078189
joint,5,Simulation4,0.661522633744856
joint,5,Simulation5,0.6545781893004116
joint,8,Simulation1,0.40522119341563784
joint,8,Simulation2,0.4050925925925926
joint,8,Simulation3,0.40573559670781895
joint,8,Simulation4,0.40753600823045266
joint,8,Simulation5,0.4053497942386831
joint,10,Simulation1,0.3686985596707819
joint,10,Simulation2,0.3686985596707819
joint,10,Simulation3,0.3681841563786008
joint,10,Simulation4,0.3724279835390947
joint,10,Simulation5,0.37371399176954734
joint,12,Simulation1,0.32960390946502055
joint,12,Simulation2,0.3316615226337449
joint,12,Simulation3,0.32767489711934156
joint,12,Simulation4,0.3315329218106996
joint,12,Simulation5,0.32960390946502055
independent,5,Simulation1,0.6975308641975309
independent,5,Simulation2,0.5322788065843621
independent,5,Simulation3,0.637474279835391
independent,5,Simulation4,0.6873713991769548
independent,5,Simulation5,0.5101594650205762
independent,8,Simulation1,0.40727880658436216
independent,8,Simulation2,0.4050925925925926
independent,8,Simulation3,0.3949331275720165
independent,8,Simulation4,0.4254115226337449
independent,8,Simulation5,0.38773148148148145
independent,10,Simulation1,0.3630401234567901
independent,10,Simulation2,0.40046296296296297
independent,10,Simulation3,0.3681841563786008
independent,10,Simulation4,0.3472222222222222
independent,10,Simulation5,0.3784722222222222
independent,12,Simulation1,0.3341049382716049
independent,12,Simulation2,0.33397633744855965
independent,12,Simulation3,0.3230452674897119
independent,12,Simulation4,0.32150205761316875
independent,12,Simulation5,0.34439300411522633
