section,cluster,count,fraction
Simulation1,0,68,0.05246913580246913
Simulation1,1,159,0.12268518518518519
Simulation1,2,214,0.16512345679012347
Simulation1,3,101,0.0779320987654321
Simulation1,4,126,0.09722222222222222
Simulation1,5,146,0.11265432098765432
Simulation1,6,93,0.07175925925925926
Simulation1,7,72,0.05555555555555555
Simulation1,8,118,0.09104938271604938
Simulation1,9,95,0.07330246913580248
Simulation1,10,40,0.030864197530864196
Simulation1,11,64,0.04938271604938271
Simulation2,0,66,0.05092592592592592
Simulation2,1,159,0.12268518518518519
Simulation2,2,214,0.16512345679012347
Simulation2,3,101,0.0779320987654321
Simulation2,4,125,0.09645061728395062
Simulation2,5,147,0.11342592592592593
Simulation2,6,93,0.07175925925925926
Simulation2,7,71,0.05478395061728395
Simulation2,8,120,0.09259259259259259
Simulation2,9,95,0.07330246913580248
Simulation2,10,40,0.030864197530864196
Simulation2,11,65,0.05015432098765432
Simulation3,0,66,0.05092592592592592
Simulation3,1,159,0.12268518518518519
Simulation3,2,214,0.16512345679012347
Simulation3,3,101,0.0779320987654321
Simulation3,4,125,0.09645061728395062
Simulation3,5,147,0.11342592592592593
Simulation3,6,93,0.07175925925925926
Simulation3,7,70,0.05401234567901234
Simulation3,8,119,0.09182098765432099
Simulation3,9,95,0.07330246913580248
Simulation3,10,40,0.030864197530864196
Simulation3,11,67,0.05169753086419753
Simulation4,0,67,0.05169753086419753
Simulation4,1,159,0.12268518518518519
Simulation4,2,214,0.16512345679012347
Simulation4,3,100,0.07716049382716049
Simulation4,4,125,0.09645061728395062
Simulation4,5,147,0.11342592592592593
Simulation4,6,94,0.07253086419753087
Simulation4,7,71,0.05478395061728395
Simulation4,8,120,0.09259259259259259
Simulation4,9,95,0.07330246913580248
Simulation4,10,40,0.030864197530864196
Simulation4,11,64,0.04938271604938271
Simulation5,0,66,0.05092592592592592
Simulation5,1,159,0.12268518518518519
Simulation5,2,214,0.16512345679012347
Simulation5,3,100,0.07716049382716049
Simulation5,4,126,0.09722222222222222
Simulation5,5,147,0.11342592592592593
Simulation5,6,94,0.07253086419753087
Simulation5,7,70,0.05401234567901234
Simulation5,8,119,0.09182098765432099
Simulation5,9,95,0.07330246913580248
Simulation5,10,40,0.030864197530864196
Simulation5,11,66,0.05092592592592592
