mode,k,section,neighbor_same_cluster_fraction
joint,5,Simulation1,0.5450102880658436
joint,5,Simulation2,0.5433384773662552
joint,5,Simulation3,0.5433384773662552
joint,5,Simulation4,0.5444958847736625
joint,5,Simulation5,0.5430812757201646
joint,8,Simulation1,0.38657407407407407
joint,8,Simulation2,0.38837448559670784
joint,8,Simulation3,0.3856738683127572
joint,8,Simulation4,0.387988683127572
joint,8,Simulation5,0.3861882716049383
joint,10,Simulation1,0.35262345679012347
joint,10,Simulation2,0.3504372427983539
joint,10,Simulation3,0.3497942386831276
joint,10,Simulation4,0.35262345679012347
joint,10,Simulation5,0.3513374485596708
joint,12,Simulation1,0.32253086419753085
joint,12,Simulation2,0.32150205761316875
joint,12,Simulation3,0.32137345679012347
joint,12,Simulation4,0.32175925925925924
joint,12,Simulation5,0.3211162551440329
independent,5,Simulation1,0.442772633744856
independent,5,Simulation2,0.49858539094650206
independent,5,Simulation3,0.7130915637860082
independent,5,Simulation4,0.4663065843621399
independent,5,Simulation5,0.5347222222222222
independent,8,Simulation1,0.3795010288065844
independent,8,Simulation2,0.3820730452674897
independent,8,Simulation3,0.37808641975308643
independent,8,Simulation4,0.36934156378600824
independent,8,Simulation5,0.35789609053497945
independent,10,Simulation1,0.3577674897119342
independent,10,Simulation2,0.3707561728395062
independent,10,Simulation3,0.3472222222222222
independent,10,Simulation4,0.36136831275720166
independent,10,Simulation5,0.3757716049382716
independent,12,Simulation1,0.32175925925925924
independent,12,Simulation2,0.35262345679012347
independent,12,Simulation3,0.3140432098765432
independent,12,Simulation4,0.3109567901234568
independent,12,Simulation5,0.319701646090535
