mode,k,section,cluster,count,fraction
independent,10,section1,0,102027,0.15333206091382764
independent,10,section1,1,64706,0.09724390929352163
independent,10,section1,2,62860,0.09446963400906824
independent,10,section1,3,67344,0.10120844786361266
independent,10,section1,4,101466,0.15248895775316765
independent,10,section1,5,67540,0.1015030079696543
independent,10,section1,6,45739,0.0687392076032576
independent,10,section1,7,57093,0.0858026537460982
independent,10,section1,8,30181,0.04535774775736062
independent,10,section1,9,66443,0.09985437309043145
independent,10,section2,0,34700,0.08598409665900987
independent,10,section2,1,54445,0.1349107822074868
independent,10,section2,2,33577,0.08320138367491568
independent,10,section2,3,29336,0.07269249163079866
independent,10,section2,4,29944,0.07419907176822454
independent,10,section2,5,46834,0.11605127328322963
independent,10,section2,6,55791,0.13824607310382767
independent,10,section2,7,41830,0.10365172228375744
independent,10,section2,8,31746,0.0786642977676348
independent,10,section2,9,45360,0.11239880762111491
independent,11,section1,0,65598,0.09858445834754787
independent,11,section1,1,50195,0.0754359414426532
independent,11,section1,2,63885,0.0960100631350513
independent,11,section1,3,59584,0.08954627223665801
independent,11,section1,4,64082,0.09630612609877683
independent,11,section1,5,82969,0.12469059917433
independent,11,section1,6,67631,0.10163976801888791
independent,11,section1,7,79208,0.11903835142523508
independent,11,section1,8,60461,0.09086427842542595
independent,11,section1,9,39865,0.059911421568111765
independent,11,section1,10,31921,0.0479727201273221
independent,11,section2,0,36445,0.09030808077053645
independent,11,section2,1,48987,0.12138625196066041
independent,11,section2,2,22480,0.055703818239035786
independent,11,section2,3,58462,0.14486461841149956
independent,11,section2,4,27015,0.06694122107328968
independent,11,section2,5,32115,0.07957865314709228
independent,11,section2,6,35135,0.08706199527706951
independent,11,section2,7,30276,0.07502174381695051
independent,11,section2,8,37097,0.09192368973369709
independent,11,section2,9,43071,0.10672683075504939
independent,11,section2,10,32480,0.08048309681511932
independent,12,section1,0,49874,0.07495352412612583
independent,12,section1,1,74085,0.11133921151068757
independent,12,section1,2,61404,0.09228147322133036
independent,12,section1,3,61934,0.0930779877937899
independent,12,section1,4,56640,0.08512185921529788
independent,12,section1,5,40571,0.06097243909293522
independent,12,section1,6,111838,0.16807659765043229
independent,12,section1,7,72195,0.10849881048814321
independent,12,section1,8,31256,0.04697331976753797
independent,12,section1,9,35920,0.053982648005181856
independent,12,section1,10,45779,0.06879932191061303
independent,12,section1,11,23903,0.03592280721792489
independent,12,section2,0,30129,0.07465748842188208
independent,12,section2,1,18873,0.046765932456642456
independent,12,section2,2,60869,0.1508289907647629
independent,12,section2,3,27247,0.06751610033625481
independent,12,section2,4,57763,0.14313254683903132
independent,12,section2,5,31102,0.07706851222733502
independent,12,section2,6,51123,0.12667910586451187
independent,12,section2,7,31457,0.07794817661678598
independent,12,section2,8,19242,0.04768028783609994
independent,12,section2,9,42572,0.10549034475410284
independent,12,section2,10,21218,0.05257667328273405
independent,12,section2,11,11968,0.029655840599856775
independent,13,section1,0,42388,0.06370313150455591
independent,13,section1,1,60389,0.09075607267218616
independent,13,section1,2,59769,0.0898243009081769
independent,13,section1,3,34653,0.052078527319698406
independent,13,section1,4,71609,0.10761813588538606
independent,13,section1,5,57196,0.08595744808753845
independent,13,section1,6,38628,0.05805238661314489
independent,13,section1,7,58462,0.08786006591533801
independent,13,section1,8,57663,0.08665928262591317
independent,13,section1,9,52058,0.07823576530773266
independent,13,section1,10,37206,0.05591532298665913
independent,13,section1,11,30936,0.04649240530869448
independent,13,section1,12,64442,0.09684715486497575
independent,13,section2,0,48839,0.12101951863773439
independent,13,section2,1,27399,0.06789274537061128
independent,13,section2,2,50787,0.12584652210435546
independent,13,section2,3,30301,0.07508369201339073
independent,13,section2,4,20061,0.04970971075148118
independent,13,section2,5,43869,0.10870421718542086
independent,13,section2,6,27537,0.06823469941496123
independent,13,section2,7,23313,0.05776793214442355
independent,13,section2,8,24896,0.061690491943017574
independent,13,section2,9,40334,0.09994474220877533
independent,13,section2,10,26713,0.06619288686029196
independent,13,section2,11,24596,0.06094711358573506
independent,13,section2,12,14918,0.03696572777980142
independent,14,section1,0,51903,0.07800282236673034
