mode,n_clusters,n_clusters_observed,cluster_asw,cluster_asw_scaled,dbi,calinski_harabasz,metric_n_obs,silhouette_sample_size,label_key,n_labeled,n_true_labels,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,section,spatial_neighbor_agreement
joint,2,2.0,0.11404883116483688,0.5570244155824184,2.791773817971744,135263.30336053338,1068962.0,10000.0,cell_type_common,956139.0,16.0,0.4528871160871462,0.3997281515182428,0.2870405556999097,0.658079970759465,0.3997281515182428,0.02469717524945736,0.5123485876247287,,
joint,2,2.0,0.11404883116483688,0.5570244155824184,2.791773817971744,135263.30336053338,1068962.0,10000.0,spatial_cluster,344594.0,8.0,0.20947672274013676,0.36052012421240637,0.2409235083070521,0.7158987708427591,0.36052012421240637,0.06080184876918793,0.530400924384594,,
joint,2,2.0,0.11404883116483688,0.5570244155824184,2.791773817971744,135263.30336053338,1068962.0,10000.0,codex_coarse_label,665399.0,10.0,0.16934767527846023,0.16793537051401822,0.11916712257438684,0.2842712328350076,0.16793537051401825,-0.006588565185666084,0.49670571740716696,,
joint,2,2.0,0.11404883116483688,0.5570244155824184,2.791773817971744,135263.30336053338,1068962.0,10000.0,section,1068962.0,2.0,0.0021930445843686757,0.0007190660203727768,0.0007334454035816206,0.000705239618731592,0.0007190660203727768,0.00887122843414545,0.5044356142170727,,
joint_section_spatial,2,,,,,,,,cluster,,,,,,,,,,section1,0.9505206650445823
joint_section_spatial,2,,,,,,,,cluster,,,,,,,,,,section2,0.9516304352315087
independent,2,2.0,0.11572034657001495,0.5578601732850075,2.777584899386211,85493.411494205,665399.0,10000.0,cell_type_common,611545.0,16.0,0.42872487943920806,0.3738013899122044,0.26292751240164985,0.6463684321146786,0.37380138991220446,0.016841620206832886,0.5084208101034164,section1,
independent,2,2.0,0.11572034657001495,0.5578601732850075,2.777584899386211,85493.411494205,665399.0,10000.0,codex_coarse_label,665399.0,10.0,0.19956899572178188,0.1707536317298483,0.12139622183188326,0.28774552494134836,0.1707536317298483,-0.006558096967637539,0.49672095151618123,section1,
independent_section_spatial,2,,,,,,,,cluster,,,,,,,,,,section1,0.9504297421547072
independent,2,2.0,0.1056177020072937,0.5528088510036469,2.9780023057362706,44369.39486849022,403563.0,10000.0,cell_type_common,344594.0,16.0,0.22561829534317626,0.13655267705741758,0.10363639431337042,0.2001103613955212,0.13655267705741758,-0.0017710962565615773,0.4991144518717192,section2,
