section,cluster,count,fraction
section1,0,49874,0.07495352412612583
section1,1,74085,0.11133921151068757
section1,2,61404,0.09228147322133036
section1,3,61934,0.0930779877937899
section1,4,56640,0.08512185921529788
section1,5,40571,0.06097243909293522
section1,6,111838,0.16807659765043229
section1,7,72195,0.10849881048814321
section1,8,31256,0.04697331976753797
section1,9,35920,0.053982648005181856
section1,10,45779,0.06879932191061303
section1,11,23903,0.03592280721792489
section2,0,30129,0.07465748842188208
section2,1,18873,0.046765932456642456
section2,2,60869,0.1508289907647629
section2,3,27247,0.06751610033625481
section2,4,57763,0.14313254683903132
section2,5,31102,0.07706851222733502
section2,6,51123,0.12667910586451187
section2,7,31457,0.07794817661678598
section2,8,19242,0.04768028783609994
section2,9,42572,0.10549034475410284
section2,10,21218,0.05257667328273405
section2,11,11968,0.029655840599856775
