section,spot_index,obs_name,cluster
section2,0,0,8
section2,1,1,5
section2,2,2,11
section2,3,3,4
section2,4,4,13
section2,5,5,0
section2,6,6,17
section2,7,7,19
section2,8,8,16
section2,9,9,19
section2,10,10,8
section2,11,11,3
section2,12,12,10
section2,13,13,7
section2,14,14,15
section2,15,15,18
section2,16,16,11
section2,17,17,14
section2,18,18,12
section2,19,19,15
section2,20,20,6
section2,21,21,14
section2,22,22,17
section2,23,23,13
section2,24,24,0
section2,25,25,8
section2,26,26,10
section2,27,27,18
section2,28,28,4
section2,29,29,17
section2,30,30,0
section2,31,31,1
section2,32,32,16
section2,33,33,16
section2,34,34,4
section2,35,35,9
section2,36,36,6
section2,37,37,4
section2,38,38,13
section2,39,39,2
section2,40,40,8
section2,41,41,1
section2,42,42,15
section2,43,43,11
section2,44,44,8
section2,45,45,16
section2,46,46,17
section2,47,47,10
section2,48,48,11
section2,49,49,12
section2,50,50,7
section2,51,51,4
section2,52,52,14
section2,53,53,11
section2,54,54,9
section2,55,55,6
section2,56,56,2
section2,57,57,4
section2,58,58,1
section2,59,59,3
section2,60,60,14
section2,61,61,15
section2,62,62,16
section2,63,63,15
section2,64,64,8
section2,65,65,17
section2,66,66,5
section2,67,67,2
section2,68,68,9
section2,69,69,17
section2,70,70,6
section2,71,71,16
section2,72,72,2
section2,73,73,16
section2,74,74,19
section2,75,75,11
section2,76,76,2
section2,77,77,19
section2,78,78,0
section2,79,79,18
section2,80,80,12
section2,81,81,13
section2,82,82,14
section2,83,83,17
section2,84,84,9
section2,85,85,12
section2,86,86,10
section2,87,87,9
section2,88,88,7
section2,89,89,10
section2,90,90,11
section2,91,91,6
section2,92,92,2
section2,93,93,4
section2,94,94,12
section2,95,95,6
section2,96,96,8
section2,97,97,9
section2,98,98,0
section2,99,99,6
section2,100,100,15
section2,101,101,13
section2,102,102,9
section2,103,103,1
section2,104,104,13
section2,105,105,14
section2,106,106,11
section2,107,107,3
section2,108,108,0
section2,109,109,16
section2,110,110,2
section2,111,111,12
section2,112,112,9
section2,113,113,2
section2,114,114,17
section2,115,115,0
section2,116,116,9
section2,117,117,11
section2,118,118,17
section2,119,119,14
section2,120,120,1
section2,121,121,1
section2,122,122,17
section2,123,123,17
section2,124,124,15
section2,125,125,5
section2,126,126,15
section2,127,127,6
section2,128,128,6
section2,129,129,6
section2,130,130,3
section2,131,131,6
section2,132,132,17
section2,133,133,15
section2,134,134,0
section2,135,135,2
section2,136,136,10
section2,137,137,15
section2,138,138,0
section2,139,139,18
section2,140,140,10
section2,141,141,0
section2,142,142,8
section2,143,143,18
section2,144,144,7
section2,145,145,13
section2,146,146,19
section2,147,147,16
section2,148,148,13
section2,149,149,1
section2,150,150,15
section2,151,151,10
section2,152,152,18
section2,153,153,18
section2,154,154,6
section2,155,155,6
section2,156,156,11
section2,157,157,16
section2,158,158,0
section2,159,159,7
section2,160,160,1
section2,161,161,6
section2,162,162,18
section2,163,163,16
section2,164,164,0
section2,165,165,18
section2,166,166,10
section2,167,167,8
section2,168,168,9
section2,169,169,16
section2,170,170,9
section2,171,171,7
section2,172,172,2
section2,173,173,2
section2,174,174,4
section2,175,175,8
section2,176,176,4
section2,177,177,16
section2,178,178,0
section2,179,179,9
section2,180,180,7
section2,181,181,2
section2,182,182,3
section2,183,183,4
section2,184,184,9
section2,185,185,7
section2,186,186,6
section2,187,187,5
section2,188,188,7
section2,189,189,1
section2,190,190,9
section2,191,191,16
section2,192,192,10
section2,193,193,10
section2,194,194,6
section2,195,195,4
section2,196,196,6
section2,197,197,19
section2,198,198,16
section2,199,199,17
section2,200,200,8
section2,201,201,3
section2,202,202,4
section2,203,203,5
section2,204,204,19
section2,205,205,2
section2,206,206,1
section2,207,207,3
section2,208,208,14
section2,209,209,9
section2,210,210,9
section2,211,211,6
section2,212,212,16
section2,213,213,9
section2,214,214,6
section2,215,215,15
section2,216,216,10
section2,217,217,19
section2,218,218,3
section2,219,219,14
section2,220,220,4
section2,221,221,9
section2,222,222,8
section2,223,223,14
section2,224,224,15
section2,225,225,16
section2,226,226,9
section2,227,227,6
section2,228,228,16
section2,229,229,6
section2,230,230,3
section2,231,231,14
section2,232,232,16
section2,233,233,4
section2,234,234,5
section2,235,235,8
section2,236,236,17
section2,237,237,9
section2,238,238,19
section2,239,239,18
section2,240,240,4
section2,241,241,2
section2,242,242,5
section2,243,243,2
section2,244,244,6
section2,245,245,16
section2,246,246,9
section2,247,247,2
section2,248,248,1
section2,249,249,7
section2,250,250,16
section2,251,251,1
section2,252,252,16
section2,253,253,0
section2,254,254,19
section2,255,255,8
section2,256,256,8
section2,257,257,19
section2,258,258,0
section2,259,259,16
section2,260,260,16
section2,261,261,8
section2,262,262,14
section2,263,263,17
section2,264,264,1
section2,265,265,17
section2,266,266,12
section2,267,267,18
section2,268,268,11
section2,269,269,1
section2,270,270,7
section2,271,271,3
section2,272,272,18
section2,273,273,16
section2,274,274,0
section2,275,275,4
section2,276,276,6
section2,277,277,3
section2,278,278,4
section2,279,279,10
section2,280,280,3
section2,281,281,7
section2,282,282,13
section2,283,283,11
section2,284,284,2
section2,285,285,9
section2,286,286,7
section2,287,287,7
section2,288,288,15
section2,289,289,7
section2,290,290,6
section2,291,291,4
section2,292,292,2
section2,293,293,6
section2,294,294,5
section2,295,295,6
section2,296,296,10
section2,297,297,18
section2,298,298,16
section2,299,299,2
section2,300,300,3
section2,301,301,16
section2,302,302,13
section2,303,303,5
section2,304,304,7
section2,305,305,15
section2,306,306,14
section2,307,307,16
section2,308,308,4
section2,309,309,16
section2,310,310,7
section2,311,311,2
section2,312,312,14
section2,313,313,13
section2,314,314,0
section2,315,315,10
section2,316,316,3
section2,317,317,18
section2,318,318,16
section2,319,319,11
section2,320,320,19
section2,321,321,5
section2,322,322,9
section2,323,323,7
section2,324,324,11
section2,325,325,19
section2,326,326,19
section2,327,327,17
section2,328,328,18
section2,329,329,17
section2,330,330,11
section2,331,331,8
section2,332,332,3
section2,333,333,15
section2,334,334,10
section2,335,335,0
section2,336,336,15
section2,337,337,15
section2,338,338,10
section2,339,339,1
section2,340,340,3
section2,341,341,10
section2,342,342,9
section2,343,343,3
section2,344,344,19
section2,345,345,5
section2,346,346,13
section2,347,347,6
section2,348,348,7
section2,349,349,10
section2,350,350,19
section2,351,351,9
section2,352,352,15
section2,353,353,14
section2,354,354,9
section2,355,355,2
section2,356,356,6
section2,357,357,16
section2,358,358,16
section2,359,359,0
section2,360,360,7
section2,361,361,15
section2,362,362,13
section2,363,363,17
section2,364,364,18
section2,365,365,9
section2,366,366,9
section2,367,367,10
section2,368,368,12
section2,369,369,16
section2,370,370,6
section2,371,371,14
section2,372,372,1
section2,373,373,5
section2,374,374,9
section2,375,375,9
section2,376,376,11
section2,377,377,18
section2,378,378,15
section2,379,379,13
section2,380,380,19
section2,381,381,10
section2,382,382,9
section2,383,383,18
section2,384,384,18
section2,385,385,4
section2,386,386,2
section2,387,387,6
section2,388,388,17
section2,389,389,11
section2,390,390,5
section2,391,391,19
section2,392,392,16
section2,393,393,16
section2,394,394,12
section2,395,395,7
section2,396,396,12
section2,397,397,17
section2,398,398,11
section2,399,399,11
section2,400,400,0
section2,401,401,17
section2,402,402,2
section2,403,403,13
section2,404,404,1
section2,405,405,18
section2,406,406,11
section2,407,407,17
section2,408,408,15
section2,409,409,10
section2,410,410,7
section2,411,411,10
section2,412,412,6
section2,413,413,11
section2,414,414,11
section2,415,415,19
section2,416,416,4
section2,417,417,3
section2,418,418,3
section2,419,419,5
section2,420,420,9
section2,421,421,18
section2,422,422,16
section2,423,423,6
section2,424,424,10
section2,425,425,10
section2,426,426,4
section2,427,427,0
section2,428,428,16
section2,429,429,16
section2,430,430,1
section2,431,431,8
section2,432,432,4
section2,433,433,13
section2,434,434,19
section2,435,435,5
section2,436,436,16
section2,437,437,11
section2,438,438,5
section2,439,439,0
section2,440,440,4
section2,441,441,10
section2,442,442,15
section2,443,443,8
section2,444,444,11
section2,445,445,2
section2,446,446,2
section2,447,447,7
section2,448,448,12
section2,449,449,12
section2,450,450,9
section2,451,451,0
section2,452,452,5
section2,453,453,14
section2,454,454,12
section2,455,455,4
section2,456,456,18
section2,457,457,5
section2,458,458,8
section2,459,459,6
section2,460,460,16
section2,461,461,0
section2,462,462,16
section2,463,463,10
section2,464,464,6
section2,465,465,16
section2,466,466,19
section2,467,467,3
section2,468,468,8
section2,469,469,11
section2,470,470,7
section2,471,471,19
section2,472,472,1
section2,473,473,19
section2,474,474,13
section2,475,475,2
section2,476,476,17
section2,477,477,8
section2,478,478,10
section2,479,479,7
section2,480,480,13
section2,481,481,15
section2,482,482,8
section2,483,483,16
section2,484,484,19
section2,485,485,11
section2,486,486,18
section2,487,487,1
section2,488,488,2
section2,489,489,17
section2,490,490,18
section2,491,491,11
section2,492,492,7
section2,493,493,11
section2,494,494,12
section2,495,495,9
section2,496,496,14
section2,497,497,7
section2,498,498,10
section2,499,499,19
section2,500,500,1
section2,501,501,0
section2,502,502,2
section2,503,503,15
section2,504,504,16
section2,505,505,7
section2,506,506,19
section2,507,507,6
section2,508,508,15
section2,509,509,5
section2,510,510,0
section2,511,511,12
section2,512,512,2
section2,513,513,2
section2,514,514,9
section2,515,515,14
section2,516,516,1
section2,517,517,16
section2,518,518,11
section2,519,519,12
section2,520,520,8
section2,521,521,10
section2,522,522,15
section2,523,523,17
section2,524,524,15
section2,525,525,6
section2,526,526,18
section2,527,527,3
section2,528,528,11
section2,529,529,2
section2,530,530,15
section2,531,531,5
section2,532,532,4
section2,533,533,6
section2,534,534,16
section2,535,535,7
section2,536,536,17
section2,537,537,9
section2,538,538,14
section2,539,539,8
section2,540,540,9
section2,541,541,2
section2,542,542,13
section2,543,543,4
section2,544,544,18
section2,545,545,16
section2,546,546,6
section2,547,547,19
section2,548,548,8
section2,549,549,4
section2,550,550,1
section2,551,551,7
section2,552,552,10
section2,553,553,5
section2,554,554,19
section2,555,555,19
section2,556,556,1
section2,557,557,3
section2,558,558,11
section2,559,559,0
section2,560,560,18
section2,561,561,18
section2,562,562,2
section2,563,563,19
section2,564,564,14
section2,565,565,8
section2,566,566,17
section2,567,567,4
section2,568,568,9
section2,569,569,6
section2,570,570,9
section2,571,571,16
section2,572,572,1
section2,573,573,8
section2,574,574,12
section2,575,575,0
section2,576,576,9
section2,577,577,7
section2,578,578,14
section2,579,579,2
section2,580,580,19
section2,581,581,2
section2,582,582,19
section2,583,583,0
section2,584,584,0
section2,585,585,10
section2,586,586,1
section2,587,587,19
section2,588,588,6
section2,589,589,2
section2,590,590,4
section2,591,591,13
section2,592,592,2
section2,593,593,13
section2,594,594,14
section2,595,595,5
section2,596,596,10
section2,597,597,8
section2,598,598,2
section2,599,599,7
section2,600,600,16
section2,601,601,6
section2,602,602,1
section2,603,603,6
section2,604,604,16
section2,605,605,15
section2,606,606,17
section2,607,607,7
section2,608,608,12
section2,609,609,13
section2,610,610,7
section2,611,611,19
section2,612,612,16
section2,613,613,2
section2,614,614,9
section2,615,615,9
section2,616,616,12
section2,617,617,2
section2,618,618,12
section2,619,619,7
section2,620,620,16
section2,621,621,5
section2,622,622,10
section2,623,623,10
section2,624,624,7
section2,625,625,8
section2,626,626,2
section2,627,627,15
section2,628,628,6
section2,629,629,17
section2,630,630,11
section2,631,631,1
section2,632,632,17
section2,633,633,12
section2,634,634,19
section2,635,635,1
section2,636,636,7
section2,637,637,16
section2,638,638,18
section2,639,639,17
section2,640,640,5
section2,641,641,12
section2,642,642,7
section2,643,643,14
section2,644,644,19
section2,645,645,1
section2,646,646,6
section2,647,647,9
section2,648,648,3
section2,649,649,6
section2,650,650,2
section2,651,651,13
section2,652,652,4
section2,653,653,7
section2,654,654,9
section2,655,655,15
section2,656,656,1
section2,657,657,9
section2,658,658,13
section2,659,659,17
section2,660,660,3
section2,661,661,8
section2,662,662,5
section2,663,663,8
